Particulars, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,357,307","4,610,689",4*,"14,560,015","35,407,236","66,296,718","86,960,656","80,763,189","41,135,694",1*,2*,2*,1*,5*,"8,953,245","3,023,138","2,979,032"
Loan and advances to bank and financial institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"326,158,876",,"56,926,140","694,588,180","654,014,102","731,206,720","218,603,756","923,452,110","654,014,102","731,206,720","654,981,996","683,788,514","502,623,128","375,532,139",2*,4*,"437,046,123"
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,531,030,215","21,712,787,178","4,124,178,870","14,023,803,638",,"19,318,289,019",,"15,504,366,283","29,927,803,762","35,986,464,616","14,841,279,923","18,420,349,859","19,148,189,384","20,543,797,463","2,091,449,813","214,007,617","19,148,189,384"
Other assets,,,,,"307,107","436,444",2.0,"356,421",5.0,,"669,663","751,654","875,704","809,504","772,564","1,366,232","1,338,827","1,364,084","1,516,345","1,477,164","1,212,218","1,360,786","1,069,193",1.0,"1,353,041","1,037,691","2,010,342","2,465,566","1,415,484","1,830,216","1,446,131","1,873,429",2*,"2,619,263",1.0,2.0,"552,262,975",,"2,510,054,995","1,986,436,534",,,,,,,"981,221,184","1,099,743,385","4,130,199,968","4,391,918,824",3*,"271,860,005","517,204,567"
Due to bank and financial institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,726,164,658","974,315,664","2,324,777,099","1,144,953,835","4,052,444,148","955,813,020",,"1,144,953,835","4,052,444,148","957,774,446","1,991,923,867",,,"482,369,738","1,744,287,317","1,102,321,867","1,966,342,110"
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114,855,048","291,634,145",,"33,844,428","50,513,535","964,006,870","624,363,951","4,007,426,847","6,397,208,188","5,839,852,715","8,292,739,899","3,235,027,256",1*,1*,"7,144,435,318","20,563,741,279","20,352,031,336"
Deposit from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1*,"20,292,002,955",3*,"11,464,205,557","15,338,609,037",2*,1*,1*,3*,4*,"2,797,640,728","8,086,769,651","8,432,270,652",1*,"1,662,015,823","13,575,507,123",2*
Borrowings,,,,,,"1,505,000",4.0,"45,000",7.0,,,"108,900","103,900","180,000","787,466","285,347","161,500","67,000","106,415","35,000","12,000","60,000","65,000",1.0,"189,350","250,000","505,714","660,000","600,000","504,014","910,000","445,752","859,894",,,1.0,,,,,,,,,,,"963,600,000","949,600,000","975,200,000","1,022,800,000","1,022,800,000","1,022,800,000","6,179,450,000"
Other liabilities,2.0,4.0,"260,880",3.0,"427,612","704,447",3.0,"575,393",4.0,"488,240","610,823","734,330","911,081","779,695","871,561","1,588,062","1,633,165","1,623,512","1,239,532","1,360,527","1,267,275","1,130,588","653,946",1.0,"1,150,827","1,077,684","2,945,744","2,968,201","2,955,649","2,901,285","1,120,443","2,098,624",2*,"2,798,820",3.0,2.0,"153,128,894","496,218,377",2*,"2,597,283,218","5,740,477,914","5,576,007,317","2,551,464,723","1,939,379,366","2,862,047,789","6,129,821,540","2,551,464,723","1,939,379,366","2,862,047,789","432,740,291","908,146,224",2*,"838,450,561"
Net cash flow from operating activities before tax paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,009,852,130","1,600,563,113","2,222,018,363","1,285,779,590","2,866,140,159","2,721,883,741","2,264,332,549","4,870,837,389","9,889,833,508",1*,"2,037,743,663","6,652,775,220","5,565,558,860",1*,"6,561,714,864",,"3,645,391,938"
Income taxes paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"870,563,812","1,240,591,608","12,334,202","577,910,240","631,536,732",,"19,632,715","501,334,311","962,016,073",,"48,787,141","785,003,993","962,016,073",,,"700,086,114","984,828,138"
Net cash flow from operating activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,009,852,130","1,600,563,113","2,222,018,363","1,285,779,590","2,866,140,159","2,721,883,741","2,264,332,549","4,870,837,389","9,889,833,508",1*,"2,037,743,663","6,652,775,220","5,565,558,860",1*,"6,561,714,864",,"3,645,391,938"
Purchase of investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,299,963,991","19,354,480,439","349,159,329","2,030,162,225",,,"349,159,329",,,"16,524,508,512","180,642,582","298,424,714",,"17,758,908,704","205,616,034","219,577,869","146,522,281"
Receipts from sale of investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1*,"12,249,154,138",,,,,,,,"164,970,250","2,412,303,155","9,278,224,269",,,"6,772,885,863","10,413,059,824","134,453,227"
Purchase of property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"212,700,450",,"63,666,769","109,124,166","177,188,488","273,204,277","81,641,575","89,474,700","143,310,134","216,449,791","91,305,219","147,290,596","361,080,218","218,630,604",,"226,702,075","304,761,940"
Receipt from the sale of property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1*,"31,481,322",8*,,,,"8,803,517",,,,,"4,915,101","4,915,101","4,915,101",,"4,915,101","4,915,101"
Purchase of intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,644,581","23,813,170","1,005,500","624,326","52,395,451","81,597,262",,"624,326","52,395,451","10,611,866",,,,"14,609,102","109,045",,"104,768,490"
Purchase of investment properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,325,996",,,,,,,,,,,,,,,
Receipt from the sale of investment properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,286,831",,,,3*,,,,,,,,,,,
Interest received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,802,001,604","12,276,037,549",3*,"6,850,159,899","9,211,437,675",1*,"3,186,788,979","6,949,428,953",1*,1*,"3,821,340,420","8,177,841,582","9,932,493,584",1*,"6,290,545,507","11,696,787,721",1*
Dividend received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221,982","182,867",,"397,886",8*,"1,128,873","3,940","3,940","124,907","128,782","3,940","3,940","474,442,369","128,782",,,
Net cash used in investing activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4*,"180,034,304","552,573,477","1,664,909,365","1,955,695,375","4,048,115,514","2,132,228,097","1,109,921,850","653,110,255","15,300,563,541","2,920,118,230",1*,"358,160,732","16,046,607,960","7,495,686,491","11,645,244,703","2,250,653,012"
Receipt from issue of debt securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,162,559,000",1*,2*,"2,500,000,000","2,500,000,000","2,500,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","4,000,000,000",,,
Repayment of debt securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"303,520,000",,,,"303,520,000",,,"500,000,000","500,000,000",,,"500,000,000"
Receipt from issue of shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"507,452,378","879,849,932",,,,,,,,,,,,,,,
Dividends paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"750,693,838","25,000,000",,"1,387,232,230","750,693,838","750,693,838",0*,"50,000,000","343,633,014","343,633,014","80,000,000","162,217,244","162,217,244","162,217,244",,"132,402,774","132,402,774"
Interest paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,066,471,278","2,275,045,000","4,530,447,200",,,,,,,,,,"13,462,311,457","4,430,000,060","8,816,557,171","13,354,655,916"
Other receipt/payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"805,000","7,638,028","3,150,151","30,350,489","41,920,595","53,632,553","13,166,567","38,789,127","41,109,267","53,220,203","13,166,567","11,981,342","16,901,800","17,102,477","934,225",,"15,010,671"
Net cash from financing activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1*,"793,423,600","2,397,978,404","850,630,969",7*,"254,323,966","2,854,131,683","2,651,514,976","2,227,140,774","2,082,328,088","216,725,153","434,607,933","1,057,929,995","2,817,738,297","301,115,427","728,464,157","1,014,850,065"
