,Q1 2068,Q1 2069,Q1 2070,Q1 2071,Q1 2072,Q1 2073,Q2 2067,Q2 2068,Q2 2069,Q2 2070,Q2 2071,Q2 2072,Q2 2073,Q3 2069,Q3 2070,Q3 2071,Q3 2072,Q3 2073,Q3 2074,Q4 2067,Q4 2068,Q4 2069,Q4 2070,Q4 2071,Q4 2072,Q4 2073,Q4 2074
net interest income,-0.623230 -0.152844,-0.477899 0.005331,,-0.460166 -0.899089,-0.392420 -1.123294,-0.091879 -1.247525,-1.258784 -0.708180,-1.184441 -0.060749,-1.135732 -0.259137,-1.194409 -0.721225,-1.170420 -1.226996,-1.172441 -1.026696,-1.080787 -1.081508,-0.897756 -0.373253,-0.984084 -0.946955,-0.894917 -0.756382,-0.861774 -1.285757,-0.763916 -1.075053,-0.475092 -1.249456,-0.870695 -0.368609,-0.772697 0.108347,-0.613807 -0.379803,-0.729161 -0.888493,-0.638642 -0.748070,-0.552209 -1.321646,-0.483633 -1.002116,0.088221 -1.164224
net fee and commission income,-0.566277 0.127537,-0.504751 0.038791,,-0.064139 0.051563,-0.257091 -0.397993,-0.188544 -0.542719,-0.981474 0.068522,-0.976668 0.262399,-0.943563 -0.106555,-0.861259 0.252198,-0.892517 -0.421470,-0.903790 -0.459764,-0.839926 -0.379454,-0.788257 -0.093463,-0.556630 0.084118,-0.681471 -0.384820,-0.713182 -0.496888,-0.539565 -0.458738,-0.315525 -0.520109,-0.705505 0.043907,-0.693655 0.020459,-0.600378 -0.018013,-0.313470 0.054626,-0.443316 -0.357466,-0.510651 -0.555224,-0.281238 -0.549413,0.088881 -0.504791
total operating income,-0.689058 -0.157516,-0.562836 -0.092296,,-0.439776 -0.861395,-0.414667 -1.190474,-0.141745 -1.340923,-1.303296 -0.549454,-1.254863 -0.319831,-1.205360 -0.377389,-1.236363 -0.748542,-1.222748 -0.992935,-1.213134 -1.370097,-1.132442 -1.547475,-0.972717 -0.452584,-0.995262 -0.874275,-0.947376 -1.163729,-0.903233 -1.279488,-0.802108 -1.583669,-0.516024 -1.406361,-0.922721 -0.294582,-0.846506 0.009239,-0.698430 -0.441091,-0.718915 -0.822328,-0.670571 -1.125675,-0.589656 -1.325239,-0.503329 -1.605382,0.047168 -1.298435
staff expenses,-0.679045 -0.092894,-0.597287 0.160473,,-0.510003 -0.516308,-0.311171 -0.469677,-0.209272 -0.635414,-1.086219 0.303515,-1.058357 0.222549,-1.053090 -0.151471,-1.037445 -0.457833,-1.009847 -0.545567,-0.985547 -0.667453,-0.959341 -0.848317,-0.895097 0.028357,-0.854496 -0.430756,-0.785904 -0.468531,-0.756285 -0.603879,-0.704689 -0.762861,-0.274344 -0.584393,-0.830976 0.380026,-0.747313 0.422387,-0.722696 -0.076922,-0.679869 -0.424732,-0.558754 -0.438344,-0.535618 -0.632591,-0.414161 -0.772606,0.091677 -0.728067
operating profit,-0.582017 -0.114752,-0.587603 0.026051,,-0.530806 -0.921133,-0.712993 -1.017267,-0.082186 -1.186858,-1.159489 -0.972940,-1.118718 -0.444946,-1.188591 -0.813658,-1.107036 -0.683194,-1.140969 -1.337679,-1.109031 -1.372541,-0.980089 -1.184477,-0.984020 -0.493653,-1.077492 -1.266146,-0.876183 -0.924623,-0.779461 -1.180811,-0.687893 -1.440180,-0.707638 -1.500930,-0.829064 -0.351500,-1.013518 -0.431252,-0.824646 -0.562308,-0.826484 -0.991344,-0.749977 -0.862013,-0.575259 -1.237526,-0.474814 -1.488151,0.017497 -1.146142
non operating income expense,-0.240358 -0.436215,-0.219671 -0.366846,-0.243866 -1.063485,-0.225821 -0.371134,-0.195208 -0.396932,-0.019418 -0.410741,-0.243287 -0.522374,-0.243457 -0.697361,-0.243704 -0.649744,-0.242066 -0.403355,-0.236644 -0.506108,-0.242885 -0.583854,-0.221627 -0.331541,-0.243520 -0.429165,-0.241191 -0.469138,-0.234921 -0.484413,-0.237378 -0.507305,-0.213367 -0.384299,-0.029486 -0.422030,-0.241247 -0.392096,-0.220159 0.008191,-0.241551 -0.819078,-0.219453 -0.870507,-0.186771 -0.435086,0.020408 -0.261416,-0.202381 -0.402667,-0.016587 -0.523584
profit for the period,-0.672201 -0.172982,-0.674493 -0.175552,,-0.549244 -1.070421,-0.526559 -1.174635,0.216600 -1.085129,-1.167162 -0.983362,-1.122058 -0.389109,-1.164956 -0.817803,-1.114121 -0.924755,-1.140264 -1.384269,-1.109864 -0.690947,-0.939595 -1.028224,-1.016946 -0.628496,-1.084746 -1.471565,-0.854727 -1.179358,-0.800013 -1.418021,-0.667338 -1.394084,-0.282012 -1.040007,-0.855195 -0.343629,-1.038341 -0.520255,-0.880492 -0.725343,-0.834171 -1.116887,-0.721062 -1.109641,-0.522242 -1.381375,-0.482122 -1.329970,0.150539 -1.074472
capital fund to rwa,0.706344 -0.102036,0.152083 -0.216131,,-0.482029 -0.430987,-0.857799 -0.494851,-0.435057 -0.379586,-0.505514 -0.043195,0.227237 -0.153499,-0.078076 0.089652,-0.482029 -0.090015,-0.777948 -0.032413,-0.754462 -0.246406,-0.759159 -0.790027,-0.627640 -0.439374,-0.529000 -0.328483,-0.759159 0.014044,-0.679308 -0.334528,-0.693399 -0.986636,0.720436 0.482058,0.368151 -0.150087,-0.106259 -0.202451,-0.627640 -0.770989,-0.571274 -0.405507,-0.923559 -0.150668,-0.665217 -0.233879,-0.702794 -1.156597,0.537248 0.153031
non performing loan to total loan,-0.049324 -0.007380,-0.018152 0.793752,,0.008288 1.199346,-0.003680 0.441551,-0.049602 -0.221184,-0.047654 -0.116007,-0.019266 0.221646,0.042520 2.111644,0.019420 1.356845,0.041407 0.398470,0.000495 0.712338,-0.045427 -0.209457,0.041407 1.605721,0.038067 1.599879,0.026378 0.539978,-0.009525 0.536773,-0.048767 -0.180648,-0.035686 0.241879,,0.043634 1.611035,0.053931 2.028347,0.022203 1.378556,0.030274 0.614014,-0.023997 0.019935,-0.045427 -0.076512,-0.045984 -0.000662
total loan loss provision to npl,-0.171463 -0.321517,-0.202701 -0.445906,,-0.198788 -0.298597,-0.208175 -0.413184,-0.149184 -0.268571,-0.194048 -0.418188,-0.232136 -0.661577,-0.246263 -0.962083,-0.215276 -0.341218,-0.227042 -0.317818,-0.211948 -0.378993,-0.162057 -0.305480,-0.241523 -0.583543,-0.218966 -0.341678,-0.224384 -0.332231,-0.200386 -0.357221,-0.145653 -0.263659,-0.204058 -0.365732,,-0.245129 -0.793876,-0.240863 -0.382669,-0.207831 -0.302233,-0.227693 -0.438797,-0.191176 -0.425447,-0.156834 -0.314237,-0.173545 -0.506118
cost of fund,1.819013 0.488353,1.212276 0.068346,,-0.076370 0.986155,-0.629414 0.917011,-0.946206 0.472584,1.636455 0.676992,1.427050 -0.240255,0.455196 0.357504,0.202836 0.494507,-0.613306 1.047985,-0.688477 0.946176,-0.962314 1.112807,0.315593 0.498494,0.084711 0.734109,-0.672369 1.076514,-0.795864 1.056427,-0.790495 0.914921,0.890114 0.828811,1.765320 0.477545,1.308924 -0.044867,0.229683 0.353954,-0.001199 0.864435,-0.677738 1.065956,-0.897882 1.132168,-0.457595 0.545608,1.341140 1.119323
base rate,,,,0.128797 0.847954,0.009544 0.886982,-0.890817 0.621116,,,,0.575996 0.329586,-0.187224 1.154771,-0.658274 0.697340,-0.682124 1.909575,0.760838 0.477449,0.218237 0.493072,-0.354178 1.116077,-0.926593 0.743827,-0.342253 1.567748,1.506170 1.051804,,,0.808539 0.514784,-0.085859 0.245517,-0.324365 1.169871,-1.123361 1.021794,0.987419 1.512787,1.774489 0.875489
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,-0.428323 -0.460524,-0.674560 -0.180485,,-0.647352 -1.065221,-0.776593 -1.298446,0.174348 -0.358398,-1.732974 -1.760874,-1.235057 -0.508966,-0.844614 -0.390872,-0.637829 -0.512365,-0.746663 -0.810485,-0.757547 -0.750105,0.608324 -0.022636,-0.354859 -0.142954,-0.976576 -1.538670,-0.191608 -0.673562,-0.754826 -1.183643,0.224683 -0.319636,-0.762988 -0.899754,-0.548040 -0.702317,-1.346612 -0.520333,-0.350778 -0.476446,-0.715373 -1.054902,-0.522192 -1.021370,-0.356220 -1.012616,0.065513 -0.356200,-0.832370 -1.024132
return on total assets,-0.216390 0.094134,-0.519190 0.262499,,-0.620124 -1.408861,-0.764315 -1.224140,0.288279 -0.289250,-1.672717 -1.250547,-1.023858 -0.400744,-0.721058 -0.135701,-0.576867 -0.321454,-0.721058 -0.800057,-0.749896 -0.988465,0.648756 0.185789,-0.245228 0.265780,-0.937344 -1.360559,-0.173132 -0.454363,-0.749896 -1.760455,0.273860 -0.541589,-0.173132 -0.665028,-0.447095 -0.230202,-1.196888 -0.394755,-0.259647 -0.073020,-0.692219 -1.354235,-0.490352 -0.776024,-0.360580 -1.733882,0.144088 -0.679819,-0.374999 -0.998794
credit to deposit ratio,0.020819 0.902999,-0.067495 1.316567,,-0.040006 2.051921,-0.082820 0.371149,-0.088350 -0.488738,0.056998 0.444463,0.033458 1.485375,-0.015360 0.581037,-0.054541 0.415981,-0.067653 0.077471,-0.091193 0.062124,-0.065284 -0.547718,-0.044745 -0.157672,-0.080766 -0.414695,-0.035582 0.201758,-0.071919 0.122348,-0.040006 -0.242264,-0.048695 -0.607672,0.098074 0.918517,-0.063072 0.312969,-0.030843 0.357309,-0.044271 0.454233,-0.004301 0.918014,-0.046641 0.203290,-0.093089 -0.124219,-0.019152 0.446845
debt ratio,0.168329 0.143902,-0.314964 -0.921446,,-0.222547 -0.457006,-0.187702 -0.177150,,0.050157 -0.439995,0.050157 1.878231,,,-0.263453 -0.862451,,-0.257393 -0.942781,,,-0.246788 -0.570877,-0.184672 -0.486033,0.039552 0.366897,-0.246788 -0.796175,0.241050 -0.457132,-0.301328 -0.715910,,-0.181642 -0.058355,-0.316479 -0.453561,-0.207397 -0.674350,0.039552 0.844553,-0.019534 0.314240
interest income to assets ratio,0.442601 0.675264,0.350320 0.622202,,0.219808 0.702411,0.137414 0.480811,0.134778 1.184167,-0.115700 0.021148,-0.106472 0.233124,-0.126905 0.528739,-0.147998 0.221146,-0.172387 -0.383093,-0.175682 -0.092191,-0.181615 0.129811,0.004925 0.331819,-0.032647 -0.277444,-0.057694 0.432749,-0.066263 0.506893,-0.075492 0.336008,0.004925 0.299630,0.246174 0.749657,0.196738 0.359375,0.144006 0.502136,0.089955 0.433535,0.043156 0.558819,0.035246 1.087764,0.058975 0.602157,0.136755 -0.258118
interest income margin,0.684348 0.380195,0.638268 0.848771,,0.415544 -0.918961,0.311862 -1.296787,0.457785 -0.510452,-0.402389 -1.171223,-0.291027 0.247999,-0.283347 -0.069730,-0.387029 -0.842132,-0.387029 -2.044536,-0.417749 -0.671897,-0.371668 -0.594244,0.012338 -0.348234,-0.160465 -0.300904,-0.106704 -0.326613,-0.141265 -1.307928,-0.137425 -0.517803,-0.129745 -0.917131,0.273462 -0.148747,0.277302 0.669569,0.361783 -0.137063,0.116019 -1.218034,0.127539 -0.261987,0.131380 -1.055508,0.092979 -0.394295,0.100659 -0.906712
return on investment,0.414281 0.155907,0.229706 0.196152,,0.222607 -1.435983,0.116121 -1.282251,0.684045 -0.085669,-0.473099 -1.354157,-0.395010 -0.462223,-0.480198 -1.248250,-0.423406 -1.157452,-0.466000 -2.199506,-0.451802 -0.521891,-0.324019 -0.897734,-0.288524 -0.951046,-0.395010 -0.334713,-0.160741 -1.299177,-0.160741 -1.867570,-0.111048 -1.310244,-0.040058 -0.660330,0.094824 -0.175357,-0.281425 -0.747217,-0.111048 -1.165081,-0.111048 -1.907230,-0.040058 -1.291238,0.094824 -1.906546,0.045131 -1.040330,0.137418 -0.887992
commission to operating income,-0.041032 0.662429,-0.066766 0.452728,,0.170164 1.562184,0.025965 1.024550,-0.059667 0.943998,0.201666 1.235034,0.021528 0.818583,-0.003762 0.462628,0.352521 0.956450,0.198560 -0.206037,0.133338 0.151216,0.093849 1.803336,-0.052124 0.640387,0.324124 1.738259,0.068559 0.923482,-0.022397 1.040341,0.077433 1.710982,0.046375 0.922299,0.007774 0.733972,-0.050350 0.170771,-0.065435 0.780484,0.215864 1.582440,0.054361 0.943657,-0.056118 0.690389,0.062791 1.344307,0.003780 1.029633
staff expense to income ratio,-0.327052 -0.087224,-0.353917 0.287622,,-0.351768 0.967045,0.161885 0.297063,-0.147596 0.349054,0.324148 1.359714,0.047979 0.616900,-0.405497 0.333447,0.124274 0.790684,0.337043 -0.115105,0.532618 0.453576,0.010368 0.339647,-0.414094 0.787359,-0.047660 1.392043,0.128573 0.333002,0.081291 0.343080,-0.076673 0.616166,0.558408 1.153236,-0.245384 1.073262,-0.112135 0.246527,-0.472122 0.793767,-0.244309 1.257204,0.078067 0.214599,-0.078823 0.331125,0.084515 0.854566,0.154363 0.619524
net profit margin,-0.214353 -0.020896,-0.440620 0.040094,,-0.330387 -1.233046,-0.317333 -0.692872,0.619647 0.802835,-1.168254 -1.555666,-0.790175 -0.405527,-1.389687 -1.315059,-0.792592 -1.034203,-1.114105 -0.556952,-0.849642 -0.444405,0.114896 -0.400555,-0.880585 -0.866237,-1.166804 -2.481471,-0.212419 -0.750145,-0.118141 -2.145872,0.073800 -1.064384,0.411751 0.585670,-0.287358 -0.194257,-1.142630 -1.013332,-0.802745 -1.194078,-0.636912 -1.700129,-0.388888 -0.923160,-0.012259 -1.454734,-0.079462 -0.637601,0.223195 0.007034
income tax portion of operating profit,,,,,,,,-0.046141 -1.187778,,,,,,,,,,,,,,,,,,,
loan to deposit ratio,-0.036881 0.234488,-0.040318 0.595154,,-0.039373 0.999100,-0.040537 0.757605,-0.041673 -0.398140,-0.035395 0.304458,-0.036798 0.566758,-0.038243 0.328696,-0.040838 0.132691,-0.040913 0.249245,-0.041858 -0.249890,-0.041009 -0.580266,-0.039948 0.140057,-0.042248 -0.081200,-0.038058 0.274379,-0.041454 0.132310,-0.038305 0.206480,-0.035545 0.183732,-0.033793 0.295834,-0.040256 0.124369,-0.039441 0.327311,-0.040242 0.228305,-0.037449 1.038728,-0.039571 0.318172,-0.035504 0.601130,-0.033053 0.986196
