Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,177,154","1,795,246","2,495,801","590,377","1,256,503","1,933,983","2,670,280","697,250","1,555,402","2,443,438","3,408,443","826,182","1,804,676","2,769,593","3,763,408",775458,1869507,"2,910,584","4,227,028","1,312,805","2,493,438",1259998.024,1288911.745,1322932.103,1261376.956,1268910.52,921897.879,943608.445,824740.955,956256.767,1083141.373,1117048.232,811602.77,1452084.502,1769433.252,1814409.575,1848994.345,2879185.571,,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,"297,504","456,148","657,823","172,899","363,718","548,599","710,744","145,779","298,199","472,361","594,296","162,236","340,884","484,567","713,468",148240,309739,"474,033",693151,186871,359343,142265.895,252290.914,176465.435,200516.575,145339.742,164440.439,156240.728,137037.122,204282.591,211958.863,202202.778,213187.249,211840.567,287748.468,223019.117,205758.814,210925.758,,,,
total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,784,424","2,678,746","3,745,176","896,089","1,901,794","2,942,825","4,056,196","1,028,419","2,238,233","3,508,424","4,722,705","1,168,716","2,516,309","3,778,046","5,216,016",1111052,2610219,"3,960,576","5,753,569","1,759,217","3,309,410",1598081.43,1782030.164,1713623.876,1667417.46,1600956.93,1391601.54,1279218.463,1113463.964,1369306.738,3426847.017,1521215.666,1206030.959,1829281.675,2237559.59,2180228.592,2170458.04,3204444.127,,,,
staff expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,"317,792","480,054","713,823","183,209","360,822","609,677","910,246","208,757","411,762","644,656","908,344","240,855","475,988","750,954","1,058,219",257985,510222,"829,689","1,057,831",377412,753644,416753.107,415293.787,414728.925,454609.917,416425.339,358472.37,375681.39,370249.542,425097.873,693585.411,413475.15,342469.176,381953.378,493359.455,419112.561,429150.813,679770.035,,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,"853,538","1,226,464","1,786,913","415,013","916,988","1,385,819","665,491","506,476","1,261,775","2,055,544","2,990,680","684,369","1,609,071","2,397,244","2,491,178",445324,1404656,"2,126,360",2656851,926230,1950402,915073.379,1161787.761,990587.027,1127126.337,969418.653,262152.538,519558.651,476852.422,895621.041,2209787.905,652649.08,417563.711,935954.048,1542353.341,796312.053,603730.911,1131292.141,,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,460,"14,653","15,033",-,"1,786","18,201","23,209",208,"9,580","21,460","22,276",119,928,"5,895","26,807",223,45293,"47,179","69,981",1950,1950,3883.421,24964.005,1458.507,229985.731,-149502.928,64554.849,2404.484,-44761.479,4952.821,322970.88,-814.305,840.516,-8771.777,451968.17,-28686.922,3291.99,700,,,,
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,"544,488","792,852","1,102,806","268,630","589,500","901,516","1,095,595","322,785","802,218","1,319,323","1,915,628","438,461","1,027,879","1,535,151","2,176,487",410113,1105877,"1,611,802","2,474,590",649659,1367043,647032.601,832930.102,694431.874,1048408.705,574767.513,225292.838,100478.165,292882.302,635242.876,1821459.649,456206.076,292838.753,648269.225,1090411.038,537171.06,424927.543,777394.878,,,,
capital fund to rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,12.21,11.21,11.58,11.03,11.06,11.02,11.45,11.09,11.26,10.95,10.91,11.27,11.25,11.74,12.23,11.98,12.38,12.44,13.03,12.24,11.36,11.82,12.73,14.08,14.73,13.42,14.67,15.12,13.84,13.19,13.85,12.69,11.61,12.4,11.63,12.67,12.12,12.93,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,2.84,2.58,2.18,2.12,2.02,3.22,3.35,3.16,2.98,1.23,1.17,0.94,0.9,0.87,1.24,1.32,1.19,0.91,1.46,1.25,1.31,1.12,1.16,1.28,1.11,1.01,1.23,2.13,0.81,0.48,0.58,0.72,0.99,0.77,2.31,3.77,4.56,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,88.83,112.76,117.93,107.99,110.8,115.64,109.41,102.4,106.64,107.56,159.02,167.32,196.79,197.36,186.55,144.84,133.74,158.38,184.52,143.72,170.45,166.67,187.54,179.37,147.6,155.79,218.11,193.22,102.34,222.12,394.94,317.45,251.16,196.56,242.75,114.32,86.09,91.45,,,,
cost of fund,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,4.42,4.26,3.53,3.42,3.38,3.36,2.79,2.45,2.26,2.27,2.62,2.71,3.25,3.99,6.59,6.38,6.35,6.42,6.14,6.73,6.68,6.55,6.42,6.34,6.48,6.18,5.09,4.64,4.6,4.61,5.49,6.98,7.77,8,8.56,8.82,8.92,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,,,,,7.87,7.78,8.63,7.33,7.05,7.32,7.78,5.98,5.2,5.48,5.68,5.45,6,7.93,9.57,9.45,9.35,9.42,9.66,9.22,9.11,9.1,9.05,8.93,8.92,8.87,8.38,7.16,6.83,6.75,6.75,7.01,8.75,9.5,9.88,10.43,10.86,11.06,,,,
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,4.58,4.93,4.32,4.32,4.28,4.35,4.48,4.51,4.54,4.59,4.4,4.45,4.57,4.44,4.13,4.06,4,4.09,,,4.5,4.47,5.36,5.32,5.04,3.77,4.78,3.76,3.35,3.32,2.64,2.27,3.37,4,3.89,4.16,4.72,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,890,829,951,870,826,835,813,1250,940,1310,1500,1622,902,1018,886,893,660,610,551,552,456,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,,,,,,,,,,,18.68,18.57,18.85,17.02,18.48,18.4,16.53,17.84,21.8,23.09,24.2,18.81,21.34,20.52,21.24,13.69,18.05,17.18,19.1,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.55,1.6,1.38,1.54,1.56,1.37,1.48,1.8,1.97,2.06,1.68,1.98,1.96,2.09,1.48,2,1.93,2.19,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,69.51,70.56,70.67,75.99,76.3,79.12,73.51,73.46,71.52,78.81,77.27,78.16,79.22,79.9,79.07,77.74,79.3,78.74,77.02,78.77,78.45,79.01,75.59,74.98,73.94,76.08,66.85,64.97,71.17,78.99,76.77,93.54,92.74,91.81,88.8,90.4,87.12,90.5,,,,
