Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
net interest income,,,,,,,,,,"173,464","358,247","582,257","817,078","191,596","405,192","681,336","1,008,193","246,046","470,169","695,160","996,716","367,082","769,410","1,186,424","1,623,535","398,640","833,434","1,276,356","1,745,044","468,643","967,063","1,504,535","2,047,484","566,970","1,141,457","1,739,284","2,416,532","693,415","1,452,790","2,199,169","2,922,288","904,187","1,889,500",,"4,079,378","1,065,487","2,198,979",1173662.253,1395521.752,1041170.479,1070906.761,,1115221.105,603757.034,586381.838,782079.61,912968.324,849325.404,873955.902,1146118.372,1559694.166,1304573.778,1381879.876,1464768.788,,,,
net fee and commission income,,,,,,,,,,"25,014",50171,"90,789","130,550","54,336","113,026",178771,"247,165",63346,"128,560","208,870","255,326","73,357","144,392","232,650","313,697","102,970","177,164","247,069","320,425","116,619","227,223","337,658","340,354","106,223","229,713","427,069","465,797","121,906","228,705","472,212","508,723","225,290","428,648",,"454,252","228,263","438,437",222623.809,228032.412,220996.017,231342.181,,162313.816,204555.374,224781.372,315762.988,269174.783,318404.924,397283.043,282910.499,255340.407,301376.878,302369.936,282878.223,,,,
total operating income,,,,,,,,,,"239,105","489,381","785,523","1,096,851","279,975","591,065","978,340","1,421,064","354,723","699,518","1,065,841","1,494,942","501,075","1,035,211","1,603,591","2,196,903","564,928","1,149,775","1,739,488","2,390,543","657,330","1,344,376","2,073,090","2,814,998","762,936","1,548,347","2,380,609","3,336,783","944,684","1,983,723","3,035,801","4,098,100","1,169,258","2,428,167",,"5,316,692","1,382,028","2,786,281",1472965.727,1723635.35,1347634.833,1391677.882,,1339222.9,879638.009,913841.103,1204721.968,1270302.526,1222773.552,1340433.487,1507401.017,1900053.526,1684969.971,1774358.215,1819493.98,,,,
staff expenses,,,,,,,,,,"34,234","63,246","92,237","130,362","46,628","87,257","169,782","255,430","80,008","147,260","214,900","289,153","82,948","152,891","312,934","416,560","120,732","225,502","331,067","443,078","127,688","239,657","390,552","552,231","169,714","312,436","449,277","568,869","190,657","338,609","579,279","790,473","314,362","641,246",,"1,025,639","403,299","736,349",388522.135,542552.726,434796.317,364671.755,,698468.635,399847.011,336819.803,372297.823,465878.111,399527.746,412296.759,403871.922,623324.756,450361.254,447294.899,440734.665,,,,
operating profit,,,,,,,,,,"132,241","261,634","436,883","562,302","140,538","287,128","459,359","674,252","146,265","288,923","443,407","666,527","246,829","567,742","821,182","1,175,055","321,067","651,675","986,104","1,358,470","388,272","820,480","1,227,703","1,630,334","442,649","927,139","1,432,294","2,040,912","538,831","1,164,755","1,754,970","2,361,052","604,458","1,311,528",,"3,069,283","698,289","1,434,347",776934.047,936670.736,627859.147,793627.742,,150199.877,288667.714,453597.019,537822.202,106486.09,547556.43,601012.248,737708.977,531738.091,894442.258,779738.362,898637.203,,,,
non operating income expense,,,,,,,,,,67,2186,"2,297","2,549",574,2615,2720,3114,53,16,356,"2,266",642,"1,527","1,193",287,155,"2,506","3,616","8,728","1,073","2,179",6076,"10,709",497,970,"4,254","9,918",38,785,"4,886","5,608",36770,36971,,"11,388","3,360","32,247",50855.337,112973.93,550.178,15087.281,,10176.216,692.018,1063.744,2074.842,-1590.6,516.297,463.492,1205.893,769.892,385.802,11312.392,675.927,,,,
profit for the period,,,,,,,,,,"86,834","202,096",305384,"400,153","94,499","202,255","316,954","464,565","95,985","204,701","319,006","475,629","162,131","381,856","549,409","775,990","222,797","459,045","674,714","922,984","256,210","532,780","827,945","1,065,438","302,071","623,928","950,300","1,331,995","354,415","758,796","1,107,713","1,539,325","439,135","914,198",,"1,949,160","491,154","1,026,616",579452.569,706155.899,439886.527,566120.466,,94532.66,202551.812,318262.535,376501.663,84175.365,383650.908,421033.019,738914.87,345814.21,625557.487,554669.023,628987.562,,,,
capital fund to rwa,,,,,,,,,,10.9,10.85,13.43,14.28,11.38,11.58,11.16,11.74,11.29,10.1,10.76,11.37,11.21,11.5,13.14,12.86,12.48,12.63,13.32,13.7,13.18,13.29,13.54,13.57,14.33,14.52,13.75,13.33,13.02,12.06,13.02,15.92,15.75,15.13,,15.48,14.22,12.8,13.30%,14.01%,13.69%,12.98%,,15.44%,15.27%,14.60%,14.15%,13.93%,13.13%,13.28%,13.29%,13.32%,13.09%,12.66%,12.71%,,,,
non performing loan to total loan,,,,,,,,,,1.85,1.68,1.47,1.47,2.55,1.37,1.29,1.1,1.59,1.18,0.84,0.54,0.49,0.43,0.48,0.37,0.35,0.32,0.35,0.26,0.23,0.22,0.18,0.19,0.18,0.17,0.14,0.14,0.13,0.12,0.12,0.1,0.13,0.13,,0.2,0.2,0.19,0.19%,0.20%,0.17%,0.17%,,0.23%,0.25%,0.19%,0.23%,0.23%,0.17%,0.14%,0.14%,0.15%,0.36%,0.47%,0.97%,,,,
total loan loss provision to npl,,,,,,,,,,159.49,164,173,181,101.31,130.53,130.79,147.52,110.55,135.44,170.39,223.55,273.78,312.25,290.11,373.31,385.21,385.59,361.61,476.42,517.27,549.21,651.41,657.59,651,702,814.45,829.87,928,988,1003,1132.98,889,869.73,,628,628.31,648.05,652.40%,627.41%,700.07%,689.22%,,647.16%,597.30%,746.39%,573.04%,742.70%,951.92%,1193.31%,1288.16%,1497.07%,606.02%,464.69%,248.50%,,,,
cost of fund,,,,,,,,,,,4.14%,4.32,4.61,4.67,4.97,5.04,5.12,5.42,5.36%,5.40%,5.49%,4.82%,4.60%,4.50%,4.44%,4.40%,4.25%,4.09%,3.99%,3.42%,3.23%,3.17,3.17%,2.87%,2.70%,2.56%,2.55%,2.46%,2.53%,2.96%,3.54%,5.19,5.14,,5.45%,6.2,5.91,5.86,6.51,7.17,7.09,,6.85,6.19,5.85,5.34,5.27,5.11,5.54,5.82,6.12,7.85,7.95,8.1,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,8.76%,9.31%,9.86%,9.66%,8.31%,8.02%,8.78%,8.17%,6.89%,7.28,7.71%,6.47%,5.97%,5.55%,5.98%,6.08%,6.48%,8.21%,8.98%,9.32,9.5,,10.12%,10.43,9.82,9.73%,9.72%,9.94%,9.94%,,9.25%,8.37%,7.49%,7.46%,7.37%,8.11%,8.95%,9.26,9.61,10.22,10.75,11.08,,,,
net interest spread,,,,,,,,,,,,3.13%,2.82%,3.07%,2.89%,3.04%,3.24,3.55,3.57%,3.33%,2.58%,3.98%,4.20%,4.30%,4.43%,4.44%,4.37%,4.17%,4.93,4.39,5.34,5.34,5.43,4.32,4.4,5.2,4.99,4.54,4.74,4.33,4.45,,,,4.99,,,4.8,4.43,5.18,5.22,,3.87,3.94,4.05,3.33,3.18,3.09,3.13,4.06,4.36,4.01,4.4,4.17,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,389,412,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,22.02%,20.11%,15.34%,16.22,16.51,15.68,13.28,13.96%,14.37%,14.43%,19.99%,23.07%,21.55%,22.13%,22.86%,23.16%,22.64%,22.85%,22.02%,22.33%,22.68,21.51%,21.29%,21.54%,21.47%,22.16%,20.36%,21.35%,20.41%,20.54%,,,,16.65%,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,1.16,1.12,0.87,0.92,0.95,1.01,0.76,0.77,0.78,0.82,1.07,1.27,1.22,1.27,1.41,1.45,1.46,1.5,1.63,1.69,1.75,1.7,1.93,1.96,1.94,2,1.7,1.77,1.67,1.7,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,73.55,71.52,66.08,67.41,70.52,68.18,65.74,65.47%,68.72%,73.09%,80.05%,76.57%,79.89%,75.18%,74.67%,76.64%,76.40%,75.23%,78.17%,79.84%,77.97,79.11,74.82%,76.86,74.49,76.57%,79.51%,79.32%,72.09,75.00%,76.37,77.03,,74.38,75.42,77.77,75.58%,74.38%,78.58%,77.60%,,63.20%,66.33%,70.89%,76.98%,74.86%,95.08%,95.06%,95.35%,86.86%,84.57%,87.35%,81.37%,,,,
