Particulars,Bank,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
net interest income,Global Bank,,,,,,,,,,-0.071073 -0.609312 -1.338677,-0.068348 -0.680374 -1.262373,-0.063837 -0.548526 -1.136028,-0.058525 -0.539144 -0.987273,-0.068589 -0.032691 -1.269113,-0.063132 -0.010421 -1.116298,-0.058101 -0.139647 -0.975419,-0.053216 -0.178077 -0.838608,-0.068925 -0.073123 -1.278522,-0.064667 -0.151834 -1.159284,-0.059789 -0.167182 -1.022670,-0.045392 0.261899 -0.619524,-0.065324 0.351176 -1.177677,-0.054578 0.477101 -0.876765,-0.043322 0.436275 -0.561545,-0.031560 0.286781 -0.232170,-0.063125 0.611207 -1.116098,-0.049697 0.510053 -0.740060,-0.036122 0.530002 -0.359910,-0.019896 0.551508 0.094450,-0.056716 0.978271 -0.936612,-0.038474 0.887868 -0.425796,-0.020700 0.827341 0.071956,-0.003492 0.699947 0.553829,-0.055952 0.411732 -0.915233,-0.033217 0.834030 -0.278570,-0.010141 0.782313 0.367631,0.015503 0.594858 1.085753,-0.048551 0.730127 -0.707986,-0.021967 0.621339 0.036460,0.008453 0.698771 0.888323,0.038175 0.653919 1.720638,-0.052255 0.162280 -0.811697,-0.019801 0.352395 0.097130,0.007812 0.243297 0.870385,0.046254 0.329221 1.946882,-0.036223 0.476774 -0.362743,0.001040 0.447661 0.680750,-0.032231 0.638089 -0.250974,-0.026453 1.179397 -0.089144,-0.023805 -0.248356 -0.015005,-0.010623 2.235948 0.354128,0.003901 2.841028 0.760852,-0.004287 2.351988 0.531579,0.008384 2.636173 0.886400,-0.004729 2.280753 0.519201,-0.004532 1.517065 0.524716,-0.004998 1.566584 0.511650,0.002932 1.852979 0.733728,0.005793 2.258630 0.813844,0.012434 1.967166 0.999811,0.031979 2.126910 1.547147,0.028879 2.176288 1.460337,0.032714 2.543963 1.567726,0.092305 2.936433 3.236469,,,,
net fee and commission income,Global Bank,,,,,,,,,,-0.065983 -0.060348 -1.292098,-0.064283 -0.513975 -1.233723,-0.063486 -0.486959 -1.206371,-0.053239 0.144154 -0.854484,-0.064821 0.050769 -1.252208,-0.061789 -0.167966 -1.148078,-0.058954 -0.213069 -1.050738,-0.057809 -0.311639 -1.011393,-0.064748 0.218633 -1.249703,-0.057857 0.479622 -1.013043,-0.052087 0.442188 -0.814928,-0.039083 0.913915 -0.368359,-0.057133 1.515778 -0.988208,-0.049138 1.208414 -0.713631,-0.041400 1.034557 -0.447922,-0.040080 0.443140 -0.402588,-0.059261 0.660407 -1.061268,-0.049524 0.286102 -0.726883,-0.036452 0.500547 -0.278013,-0.030734 0.294083 -0.081642,-0.059483 -0.204647 -1.068907,-0.049439 0.039825 -0.723968,-0.039567 0.039227 -0.384953,-0.018101 0.462211 0.352185,-0.059130 -0.159563 -1.056767,-0.050221 -0.010248 -0.750829,-0.040003 -0.097627 -0.399925,-0.012562 0.474127 0.542387,-0.053810 0.446322 -0.874093,-0.040612 0.163862 -0.420839,-0.025422 0.107331 0.100787,0.000583 0.334250 0.993802,-0.048616 0.250915 -0.695732,-0.034767 -0.065797 -0.220136,-0.016952 -0.013862 0.391630,0.005130 0.201342 1.149950,-0.021327 0.521871 0.241406,0.017670 -0.048803 1.580593,-0.026859 0.374277 0.051441,-0.010145 0.781360 0.625383,0.002239 -0.246182 1.050680,-0.008134 0.812048 0.694466,-0.010386 0.978612 0.617120,-0.028428 0.339212 -0.002459,0.012307 1.636038 1.396404,-0.000256 1.520834 0.965009,0.013242 1.598758 1.428536,-0.011332 1.008602 0.584649,0.046384 2.165648 2.566635,-0.003567 1.106350 0.851283,0.003977 1.505045 1.110363,0.015428 0.352411 1.503604,0.028725 1.703659 1.960205,0.007153 1.724410 1.219425,0.024524 1.132626 1.815947,,,,
total operating income,Global Bank,,,,,,,,,,-0.072167 -0.593005 -1.383401,-0.068953 -0.600615 -1.292494,-0.064622 -0.495771 -1.170004,-0.058375 -0.408907 -0.993323,-0.069563 0.070972 -1.309752,-0.064641 -0.040944 -1.170547,-0.059836 -0.159176 -1.034640,-0.054781 -0.191910 -0.891670,-0.070124 -0.308990 -1.325610,-0.065288 -0.106657 -1.188851,-0.060167 -0.139148 -1.043986,-0.045443 0.319793 -0.627552,-0.065966 0.449975 -1.208021,-0.055591 0.497542 -0.914581,-0.044660 0.462748 -0.605405,-0.031387 0.412377 -0.229980,-0.063953 0.693458 -1.151091,-0.050580 0.434704 -0.772851,-0.036691 0.479957 -0.379993,-0.017820 0.610541 0.153757,-0.057184 0.981338 -0.959636,-0.038980 0.907037 -0.444741,-0.019998 0.868838 0.092162,0.000522 0.786324 0.672544,-0.055456 1.054828 -0.910756,-0.032365 0.926647 -0.257630,-0.008770 0.838950 0.409729,0.019902 0.763174 1.220706,-0.048384 0.864443 -0.710712,-0.020513 0.727702 0.077580,0.009551 0.782664 0.927934,0.040998 0.742386 1.817389,-0.050173 0.232701 -0.761319,-0.017515 0.456041 0.162381,0.045224 1.417537 1.936916,0.047760 0.366257 2.008629,-0.035433 0.544102 -0.344413,0.001933 0.328477 0.712458,-0.033677 0.605341 -0.294751,-0.026185 1.140526 -0.082834,-0.022363 -0.248096 0.025265,-0.013201 2.011980 0.284406,-0.001475 2.370379 0.616050,-0.006995 2.296527 0.459936,0.005988 2.575331 0.827137,-0.001100 2.422455 0.626677,0.006111 1.974780 0.830639,0.001776 1.581466 0.708024,0.008054 1.974676 0.885579,0.008270 2.551644 0.891688,0.001929 1.812625 0.712345,0.017937 1.682806 1.165120,0.019514 1.994018 1.209723,0.025880 2.652022 1.389773,0.069940 2.809876 2.635998,,,,
staff expenses,Global Bank,,,,,,,,,,-0.064478 -0.344814 -1.285683,-0.062713 -0.398309 -1.223109,-0.060603 -0.398281 -1.148290,-0.058339 -0.460608 -1.068029,-0.063903 -0.286916 -1.265304,-0.061555 -0.350366 -1.182058,-0.058581 -0.166285 -1.076628,-0.053850 -0.242256 -0.908877,-0.063492 -0.336031 -1.250720,-0.060851 -0.365501 -1.157081,-0.057649 -0.285642 -1.043572,-0.048094 0.553775 -0.704783,-0.061015 0.681527 -1.162910,-0.056345 0.707758 -0.997336,-0.050750 0.438861 -0.798962,-0.042800 0.452039 -0.517092,-0.059020 0.766542 -1.092181,-0.052781 0.354883 -0.870955,-0.046185 0.329314 -0.637095,-0.035599 0.460679 -0.261775,-0.054213 0.399731 -0.921741,-0.044246 0.232483 -0.568352,-0.032205 0.157026 -0.141415,-0.014595 0.207397 0.482978,-0.050059 0.657383 -0.774441,-0.037477 0.392493 -0.328344,-0.024962 0.321200 0.115388,-0.011512 0.177599 0.592256,-0.043719 0.970692 -0.549671,-0.032599 0.386058 -0.155386,-0.016224 0.330446 0.425209,-0.000128 0.195806 0.995911,-0.044789 0.269617 -0.587608,-0.024991 0.332789 0.114356,-0.003421 0.278807 0.879135,0.015981 0.192375 1.567055,-0.029330 0.722657 -0.039476,0.001911 0.468268 1.068189,-0.032013 0.393661 -0.134623,-0.031756 0.067995 -0.125495,-0.019651 -0.248555 0.303691,-0.011741 2.144253 0.584167,0.004005 2.547268 1.142446,-0.022858 0.472403 0.190003,0.006804 2.346252 1.241699,0.003046 2.533200 1.108438,-0.001124 1.356143 0.960606,0.006164 1.495724 1.218978,0.012934 1.622917 1.459020,0.009798 2.021007 1.347856,0.005108 1.403975 1.181562,0.010471 0.842946 1.371696,0.017656 1.441336 1.626449,0.012127 1.527302 1.430405,0.044310 2.180760 2.571502,,,,
operating profit,Global Bank,,,,,,,,,,-0.073273 -0.500379 -1.253461,-0.074738 -0.953811 -1.291940,-0.071217 -0.698198 -1.199481,-0.066057 -0.686080 -1.063963,-0.069739 0.247233 -1.160666,-0.066295 -0.124007 -1.070208,-0.064344 -0.395390 -1.018967,-0.065929 -0.679821 -1.060599,-0.072134 -0.107084 -1.223557,-0.068586 -0.001836 -1.130369,-0.063380 -0.006985 -0.993653,-0.054133 0.083806 -0.750811,-0.071184 -0.075680 -1.198600,-0.060006 0.227828 -0.905036,-0.054665 -0.094725 -0.764775,-0.040513 -0.034397 -0.393098,-0.069008 -0.048727 -1.141471,-0.054960 0.075573 -0.772510,-0.041443 0.152530 -0.417517,-0.024519 0.156662 0.026951,-0.060202 0.501985 -0.910190,-0.043821 0.466848 -0.479993,-0.025459 0.509723 0.002268,-0.013955 0.471136 0.304371,-0.055102 0.985414 -0.776244,-0.025340 1.014421 0.005392,-0.009733 0.437993 0.415259,0.015778 0.209308 1.085256,-0.049722 0.452243 -0.634952,-0.017931 0.330011 0.199960,0.021348 0.564542 1.231547,0.059188 0.605529 2.225326,-0.057039 -0.199881 -0.827112,-0.018260 0.131688 0.191313,0.013839 0.090125 1.034331,0.060459 0.298215 2.258694,-0.039510 -0.208716 -0.366773,0.011788 0.287854 0.980449,-0.030253 0.909580 -0.123644,-0.011483 1.286944 0.369315,-0.023731 -0.248142 0.047641,-0.007382 1.546217 0.477015,-0.002433 2.057992 0.606976,-0.043419 0.766606 -0.469436,0.000206 1.806403 0.676276,0.026384 2.421849 1.363801,0.029312 2.011162 1.440692,-0.029111 0.530581 -0.093666,0.005743 1.537080 0.821703,0.036877 2.694408 1.639365,-0.003253 1.199352 0.585455,0.033135 1.425143 1.541091,0.003982 0.994250 0.775446,0.036223 2.262582 1.622196,0.034030 2.897650 1.564606,,,,
non operating income expense,Global Bank,,,,,,,,,,,,-0.139362 -0.772791 -0.380644,-0.138197 -0.477512 -0.371573,-0.138904 -0.499465 -0.377078,-0.138904 -0.748420 -0.377078,-0.139122 -0.400202 -0.378777,-0.139140 -0.449419 -0.378921,,-0.129873 0.402659 -0.306757,-0.129938 -0.061891 -0.307260,-0.121326 -0.323558 -0.240195,-0.069566 2.607391 0.162867,-0.138836 -0.422021 -0.376551,-0.138836 -0.843282 -0.376551,-0.138655 -1.025303 -0.375139,-0.045051 2.960238 0.353771,0.101270 3.430307 1.493187,-0.044550 2.793960 0.357673,0.012955 -0.029843 0.805469,-0.139061 -0.548428 -0.378298,-0.138523 -0.501356 -0.374110,-0.138560 -0.574943 -0.374397,-0.085921 -0.306624 0.035510,-0.112471 0.275122 -0.171238,-0.102970 -0.402248 -0.097256,-0.068764 -0.339516 0.169114,-0.033527 -0.404836 0.443503,-0.117364 -0.317243 -0.209343,-0.014379 -0.255454 0.592617,-0.024909 -0.295326 0.510616,0.132409 -0.186263 1.735671,0.075629 0.048871 1.293523,0.125441 0.076112 1.681411,0.185152 0.070412 2.146392,0.353378 0.555511 3.456391,-0.132255 -0.429296 -0.325307,-0.121790 -0.564155 -0.243809,-0.110397 -0.154287 -0.155091,-0.032920 0.066179 0.448232,-0.129853 -0.270307 -0.306602,-0.117277 -0.146256 -0.208668,-0.116713 0.414387 -0.204271,-0.306747 -2.135648 -1.684101,-0.125456 0.488017 -0.272356,-0.120595 0.133107 -0.234506,-0.133330 -0.070082 -0.333670,-0.134135 -0.278521 -0.339939,-0.108274 0.260451 -0.138560,-0.074305 0.956658 0.125960,-0.124704 0.157735 -0.266506,-0.630376 -0.557575 -4.204244,-0.134732 0.092724 -0.344594,-0.135624 0.338606 -0.351538,-0.135039 0.409530 -0.346983,,,,
profit for the period,Global Bank,,,,,,,,,,-0.075469 -0.592682 -1.294940,-0.076773 -1.014853 -1.328468,-0.073636 -0.754613 -1.247840,-0.071142 -0.838119 -1.183727,-0.072332 0.226846 -1.214324,-0.069266 -0.167503 -1.135507,-0.067525 -0.478972 -1.090781,-0.062807 -0.398345 -0.969501,-0.074455 -0.141050 -1.268886,-0.071158 -0.148909 -1.184148,-0.066524 -0.084089 -1.065049,-0.054085 0.110461 -0.745357,-0.072612 -0.047053 -1.221514,-0.061527 0.304761 -0.936622,-0.053537 0.088447 -0.731268,-0.040361 0.119343 -0.392628,-0.059702 1.517612 -0.889715,-0.041715 1.268757 -0.427436,-0.028326 1.000899 -0.083321,-0.007697 0.950466 0.446868,-0.063001 0.288756 -0.974505,-0.041090 0.580660 -0.411356,-0.022472 0.568493 0.067132,-0.008811 0.417172 0.418255,-0.056918 -0.031452 -0.818150,-0.026001 0.785423 -0.023564,-0.006745 0.362870 0.471342,0.018574 0.040281 1.122067,-0.049478 0.137068 -0.626940,-0.015224 0.201150 0.253416,0.024303 0.507942 1.269316,0.065007 0.555806 2.315445,-0.054516 -0.190411 -0.756437,-0.012248 0.218343 0.329918,0.022165 0.169495 1.214352,0.070540 0.396317 2.457661,-0.041671 -0.203225 -0.426296,0.009283 0.337918 0.883280,-0.031938 0.948156 -0.176144,-0.011556 1.233537 0.347689,-0.024389 -0.248325 0.017867,-0.009945 1.428409 0.389099,-0.004092 2.140056 0.539532,-0.048813 0.616130 -0.609862,-0.002274 1.785063 0.586253,0.022477 2.490633 1.222388,0.029764 2.121382 1.409670,-0.034682 0.233147 -0.246665,0.005050 1.616409 0.774488,0.038308 2.816948 1.629254,-0.005406 1.165893 0.505764,0.016068 1.402165 1.057663,0.000905 0.995252 0.667957,0.040701 2.406856 1.690767,0.029135 2.788419 1.393508,,,,
capital fund to rwa,Global Bank,,,,,,,,,,-1.102049 -0.494185 -1.758256,-0.674611 -0.207951 -0.586476,-1.022198 -0.587770 -1.539352,-0.684005 -0.568677 -0.612229,-1.036290 -0.763345 -1.577982,-0.824919 -0.722254 -0.998530,-0.815525 -0.625238 -0.972777,-0.608851 -0.618927 -0.406202,-0.909467 -0.625704 -1.230311,-1.087958 -0.627190 -1.719626,-1.139626 -0.789783 -1.861270,-0.125047 -0.428072 0.920099,-0.867193 -0.800687 -1.114421,-0.998713 -0.961993 -1.474969,-0.815525 -1.122771 -0.972777,-0.430360 -0.988563 0.083113,-0.843707 -0.788500 -1.050037,-0.679308 -0.660674 -0.599352,0.044049 0.964105 1.383661,0.086324 0.621018 1.499551,-0.026408 0.867203 1.190510,0.053444 0.931867 1.409414,-0.054590 0.832425 1.113250,0.015867 0.871715 1.306401,-0.040499 0.756291 1.151880,-0.223687 0.431634 0.649689,-0.078076 0.578202 1.048867,-0.251870 -0.074906 0.572428,-0.467937 -0.196098 -0.019900,-0.505514 -0.597476 -0.122914,-0.312932 -0.511299 0.405031,-0.350509 -1.347304 0.302017,-0.928256 -1.610907 -1.281818,-0.608851 -1.468472 -0.406202,-0.529000 -1.233028 -0.187298,-0.477332 -1.287921 -0.045654,-0.787342 -0.856508 -0.895517,-0.773251 -1.229159 -0.856887,-0.435057 -0.673777 0.070237,-0.261264 -0.657554 0.546675,-0.435057 -0.839592 0.070237,-0.754462 -1.355372 -0.805380,-0.853102 -1.598953 -1.075791,-0.289447 -1.163138 0.469415,-0.247172 -1.026773 0.585305,-0.195504 -1.020658 0.726949,0.086324 -0.123696 1.499551,0.067535 -0.493056 1.448045,-0.176716 -0.683659 0.778456,-0.162624 -0.424196 0.817086,-0.186110 -0.860001 0.752702,-0.157927 -0.685384 0.829962,-0.120350 -0.693225 0.932976,-0.204898 -0.541551 0.701195,-0.129744 -0.137823 0.907223,,,,
non performing loan to total loan,Global Bank,,,,,,,,,,-0.076877 -0.920892 -1.999515,-0.076877 -0.886073 -1.999515,-0.075485 -0.928525 -1.938091,-0.057673 0.100373 -1.151865,-0.059900 -0.424323 -1.250143,-0.013978 0.387039 0.776844,-0.000340 0.699861 1.378798,-0.010360 1.201604 0.936547,-0.003680 0.684212 1.231381,-0.000062 0.501707 1.391083,-0.027893 -0.309503 0.162606,-0.037634 -0.038647 -0.267361,-0.019266 0.155657 0.543434,-0.022049 -0.122545 0.420586,-0.016483 0.102749 0.666281,-0.034851 -0.196560 -0.144514,-0.008411 0.427499 1.022540,0.009123 0.744417 1.796481,-0.002010 0.602282 1.305090,-0.017596 0.414648 0.617142,-0.000340 -0.037811 1.378798,-0.008968 0.019526 0.997970,-0.009525 0.022858 0.973401,-0.019544 0.110131 0.531149,-0.025389 0.073899 0.273169,-0.034851 -0.132355 -0.144514,-0.026780 -0.025251 0.211745,-0.028450 0.193576 0.138036,-0.032903 0.062588 -0.058520,-0.035686 0.243875 -0.181368,-0.037913 0.187542 -0.279646,-0.036800 0.309992 -0.230507,-0.036800 0.089297 -0.230507,-0.035686 0.241879 -0.181368,-0.044592 0.052334 -0.574481,-0.061291 -0.368247 -1.311567,-0.051272 -0.079388 -0.869315,-0.059621 -0.268783 -1.237859,-0.059343 -0.562610 -1.225574,-0.065188 -0.601057 -1.483554,-0.057117 -0.422222 -1.127296,-0.046819 -0.123311 -0.672759,-0.048489 -0.331765 -0.746468,-0.030120 0.396826 0.064328,-0.028450 0.543333 0.138036,-0.030955 0.381043 0.027473,-0.035130 0.663568 -0.156798,-0.039861 0.260332 -0.365640,-0.034295 0.922273 -0.119944,-0.048210 -0.198336 -0.734183,-0.039583 0.620559 -0.353355,-0.046262 0.500438 -0.648189,-0.020936 0.595702 0.469725,0.001886 0.720173 1.477077,0.030831 0.865211 2.754693,,,,
total loan loss provision to npl,Global Bank,,,,,,,,,,0.459152 1.840981 4.486401,0.443454 1.214631 4.371110,0.259335 0.613116 3.018886,-0.171481 -0.491299 -0.145156,-0.098819 -0.172283 0.388498,-0.232098 -0.488896 -0.590346,-0.228669 -0.472985 -0.565158,-0.197868 -0.325928 -0.338945,-0.205331 0.130585 -0.393758,-0.214012 0.083889 -0.457512,-0.208175 0.343174 -0.414645,-0.188360 -0.208606 -0.269116,-0.227572 -0.626888 -0.557103,-0.205219 -0.295161 -0.392939,-0.220666 -0.337474 -0.506386,-0.178759 -0.277884 -0.198603,-0.215322 -0.341395 -0.467137,-0.235788 -0.414297 -0.617445,-0.223139 -0.336487 -0.524543,-0.212181 -0.308435 -0.444065,-0.218241 -0.299763 -0.488571,-0.212311 -0.310960 -0.445021,-0.214458 -0.391457 -0.460789,-0.208984 -0.415705 -0.420584,-0.199318 -0.354310 -0.349594,-0.188927 -0.333416 -0.273280,-0.192356 -0.430865 -0.298467,-0.184623 -0.296429 -0.241675,-0.178638 -0.342844 -0.197716,-0.176463 -0.276450 -0.181743,-0.177569 -0.347418 -0.189866,-0.180748 -0.284375 -0.213211,-0.187309 -0.425847 -0.261402,-0.191808 -0.351865 -0.294440,-0.176937 -0.526604 -0.185225,-0.107518 -0.338231 0.324607,-0.164343 -0.428190 -0.092733,-0.118885 -0.170537 0.241126,-0.123737 -0.271438 0.205494,-0.060991 -0.151973 0.666315,-0.133960 -0.330100 0.130408,-0.174716 -0.449270 -0.168910,-0.159120 -0.281422 -0.054371,-0.186789 -0.577673 -0.257580,-0.177244 -0.639215 -0.187477,-0.181603 -0.534814 -0.219491,-0.181900 -0.583379 -0.221675,-0.146861 -0.477642 0.035664,-0.172940 -0.629812 -0.155873,-0.124936 -0.472841 0.196688,-0.159901 -0.457958 -0.060105,-0.126822 -0.402265 0.182832,-0.195916 -0.504113 -0.324611,-0.223362 -0.652757 -0.526182,-0.232675 -0.630186 -0.594578,,,,
cost of fund,Global Bank,,,,,,,,,,,0.755880 1.042259 0.663759,0.288746 0.590379 0.160963,0.702187 0.198830 0.605966,1.341140 0.390082 1.293698,1.346510 0.153267 1.299478,1.410942 0.055618 1.368829,1.561284 0.160299 1.530648,1.609608 -0.001754 1.582662,1.593500 0.230563 1.565324,1.298186 -0.060702 1.247464,1.249861 0.119605 1.195451,0.347809 0.136368 0.224535,0.127665 0.095088 -0.012415,0.304854 0.517318 0.178301,0.251161 0.490934 0.120508,-0.076370 -0.155856 -0.232027,-0.602567 -0.749007 -0.798394,-0.801234 -0.872763 -1.012227,-0.715324 -0.514241 -0.919759,-1.096548 -0.329521 -1.330086,-1.058963 -0.050649 -1.289632,-1.075071 -0.120745 -1.306969,-1.064332 -0.089946 -1.295411,-1.316692 -0.390432 -1.567036,-1.671070 -0.775462 -1.948467,-1.740871 -0.674022 -2.023598,-0.554243 1.044200 -0.746381,-1.601268 -0.384007 -1.873337,-1.139503 0.211870 -1.376321,-0.430748 0.586041 -0.613458,0.492782 1.006198 0.380575,0.567953 0.336608 0.461485,0.433719 0.175438 0.317003,1.099519 0.793306 1.033632,0.465935 0.064768 0.351679,0.616277 0.289764 0.513498,0.750511 0.407807 0.657980,0.428350 -0.005796 0.311224,0.541106 0.094706 0.432588,0.514259 0.163614 0.403692,0.331701 -0.316862 0.207197,0.358548 -0.135380 0.236094,0.020278 0.024067 -0.128000,-0.420009 -0.431725 -0.601899,-0.564982 -0.166411 -0.757940,-0.822711 -0.478841 -1.035344,-0.811972 -0.462856 -1.023786,-0.618675 -0.366801 -0.815732,-0.006569 -0.419378 -0.156896,0.439088 -0.135971 0.322782,0.702187 0.275805 0.605966,1.072673 -0.078777 1.004735,1.367987 0.036452 1.322595,1.314294 0.308354 1.264802,,,,
base rate,Global Bank,,,,,,,,,,,,,,,,,,,,,,,0.558108 0.099931 0.600308,0.593884 0.085466 0.639397,0.796614 0.344793 0.860906,0.391154 -0.104477 0.417888,-0.109709 -0.272382 -0.129369,-0.258776 -0.175073 -0.292243,-0.431693 -0.622280 -0.481177,-0.533058 0.177428 -0.591931,-0.622498 0.370401 -0.689656,-0.705975 -0.017461 -0.780865,-0.628460 0.233511 -0.696171,-0.914668 0.079454 -1.008889,-1.403605 -0.341469 -1.543116,-1.588448 -0.162558 -1.745080,-1.487082 -0.260267 -1.634326,-1.403605 -0.024446 -1.543116,-0.896780 0.298619 -0.989344,-0.050083 0.051381 -0.064219,1.047046 0.357358 1.134535,1.130523 0.529437 1.225744,0.993382 0.298380 1.075900,1.810265 0.921593 1.968450,1.136485 0.118347 1.232259,1.160336 0.336321 1.258319,0.862203 0.234655 0.932571,0.570033 0.008682 0.613337,0.534257 -0.126279 0.574248,0.474631 -0.206534 0.509098,0.593884 0.119609 0.639397,0.456743 -0.014472 0.489553,-0.133560 -0.302358 -0.155428,-0.831191 -0.773185 -0.917679,-1.123361 -0.434303 -1.236913,-1.338016 -0.858489 -1.471451,-1.218763 -0.438167 -1.341152,-0.735788 -0.159484 -0.813440,-0.389954 -0.745883 -0.435572,0.182461 -0.544035 0.189865,0.450780 -0.205647 0.483038,0.921830 -0.205815 0.997720,1.285552 -0.426101 1.395133,1.219963 -0.307730 1.323469,,,,
net interest spread,Global Bank,,,,,,,,,,,,,-0.814181 0.254517 -1.248608,-0.207613 0.907327 -0.551807,-0.375387 1.071957 -0.744539,-0.620595 0.719275 -1.026225,-1.007766 0.201585 -1.470991,-0.504444 0.535150 -0.892795,-1.046483 0.062769 -1.515468,-0.736747 0.225268 -1.159655,0.140840 0.712846 -0.151517,0.140840 0.259443 -0.151517,0.321520 0.187648 0.056041,0.089218 -0.110990 -0.210819,0.192463 -0.137425 -0.092215,,2.463865 1.246283 2.517083,2.218657 1.118135 2.235397,1.663712 0.310156 1.597898,0.902276 0.812752 0.723191,0.760314 0.466887 0.560109,0.244086 -0.013150 -0.032913,0.076312 -0.199280 -0.225645,0.553822 0.692267 0.322901,0.824842 0.742863 0.634237,0.747408 0.235405 0.545284,0.605445 0.375702 0.382203,0.244086 0.202355 -0.032913,0.115029 0.048588 -0.181168,1.134579 1.203719 0.990050,-0.891615 -0.690493 -1.337561,-1.033578 -1.064614 -1.500643,0.089218 0.397158 -0.210819,-1.382031 -1.929453 -1.900933,1.044239 0.809964 0.886272,,-0.310859 -0.989415 -0.670412,0.747408 0.406942 0.545284,0.540917 0.611263 0.308075,1.212013 0.591783 1.079004,1.624995 1.026291 1.553422,1.457221 0.868040 1.360689,0.489294 1.021642 0.248773,1.263635 2.269232 1.138306,0.824842 1.941079 0.634237,0.153746 0.941224 -0.136692,-0.517350 0.061534 -0.907620,-0.723841 0.397622 -1.144829,-0.685124 1.294994 -1.100353,-0.685124 -0.474014 -1.100353,0.269897 0.185354 -0.003262,0.115029 0.547059 -0.181168,0.424766 0.844551 0.174645,1.483032 2.000733 1.390340,,,,
market share price,Global Bank,,,,,,,,,,-0.076179 -0.634068 0.937181,,,,-0.645062 -0.725298 -1.003252,-0.674024 -0.832080 -1.102038,-0.723672 -0.621412 -1.271385,-0.698848 -0.458738 -1.186711,-0.810555 -0.460167 -1.567742,-0.781594 -0.453484 -1.468956,-0.800212 -0.464532 -1.532461,,-0.609895 -0.237161 -0.883298,-0.303733 -0.059280 0.161008,-0.069973 0.138455 0.958350,-0.237535 -0.133330 0.386804,,-0.241673 -0.494537 0.372692,,0.306524 -0.212120 2.242564,0.296180 -0.049599 2.207283,-0.038943 -0.313465 1.064191,-0.210643 -0.481902 0.478533,-0.140308 -0.409489 0.718442,-0.055493 -0.450265 1.007743,-0.479569 -0.752957 -0.438762,-0.138239 -0.662776 0.725498,-0.065836 -0.607437 0.972462,-0.069973 -0.604040 0.958350,-0.256153 -0.644802 0.323299,-0.245810 -0.522662 0.358579,-0.328557 -0.531508 0.076334,-0.332694 -0.351857 0.062222,-0.479569 -0.408280 -0.438762,-0.487844 -0.256891 -0.466987,-0.531286 -0.372180 -0.615166,-0.473363 -0.307388 -0.417594,-0.572659 -0.546080 -0.756288,-0.603689 -1.239442 -0.862130,,,,,,,,,,,,,,,,,,,,
return on equity,Global Bank,,,,,,,,,,,,-1.256824 -1.175439 -1.996536,-1.409192 -1.362181 -2.287752,0.683148 0.477260 1.711263,-0.163039 -0.206144 0.093976,-0.626945 -0.779486 -0.792671,-0.626945 -0.661529 -0.792671,-0.530355 0.144752 -0.608061,-0.879985 0.002429 -1.276297,-0.628306 0.079134 -0.795271,-0.443287 0.009147 -0.441652,-1.054120 -0.593683 -1.609115,0.106326 0.373592 0.608804,-0.031077 -0.087434 0.346190,-0.044682 -0.106490 0.320189,1.132090 1.301066 2.569310,0.713078 0.906302 1.768466,-0.413358 -0.607518 -0.384449,-0.122226 -0.374081 0.171981,-0.448729 -0.473200 -0.452053,-0.444648 -1.134266 -0.444252,-0.311326 -0.692879 -0.189439,-0.428323 -0.810023 -0.413051,-0.082774 -0.122500 0.247385,0.264136 -0.189197 0.910420,-0.044682 -0.649923 0.320189,-0.111343 -0.579112 0.192782,0.192033 -0.243142 0.772613,0.279101 -0.276209 0.939022,0.299507 -0.121991 0.978024,0.007015 -0.151387 0.418994,-0.675921 -0.281163 -0.886276,-0.180725 0.111657 0.060175,-0.224258 0.041728 -0.023030,-0.112703 0.045024 0.190182,0.192033 1.192584 0.772613,,,,,,,,,,,,,,,,,,,,,,
