Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Assets ,,,,,,,,,,,,,"17,243,028","17,747,836",,,"17,930,991",,,"21,749,340","31,197,078",,,,,,,,"62,313,673",,,,"71,045,925","74,437,291",,"84,206,499","90,627,981","94,371,656",,"101,609,015","121,652,930",,,"124,161,722",,,"137,062,107",,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,"300,000","73,900",,,"230,000",,,"230,000","1,343,468",,,,,,,,"513,391",,,,"181,268","27,186","154,092","57,060",,"27,186","154,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,"2,270,487",,,,"2,920,247",,,"3,442,959","4,247,060",,"4,710,335",,,,,,"8,663,837",,,,"10,738,215","11,597,636","14,525,460","15,011,161","18,041,083","16,790,485","18,168,869","17,080,845","10,555,045",,"19,937,935","18,480,103",,"14,358,219",,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,,,,"12,163,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,,,"2,464,443","2,502,065",,,,,,"2,851,822",,,"2,560,597",,,,,,,,,,,,"3,481,190","3,562,570",,,"3,464,260","3,464,780",,,"3,669,570","3,560,422",,,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,,,"162,965",,,"65,521","74,530",,,,,,,,"334,820",,,,"619,680","3,445,130",,"826,880","3,593,480","3,440,890",,14193.650,"3,654,850",,"1,151,790","1,225,048",,,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,,"163,737",,,"162,817","163,082",,,,,,,,"137,390",,,,"296,190","736,450",,"689,640","659,340","541,210",,"495,130","414,700",,"386,950","309,547",,,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,,,"1,655,273",,,"1,592,742","2,118,194",,,,,,,,"1,283,280",,,,"1,500,940","1,676,550",,"1,662,260","1,701,500","1,524,120",,"1,493,370","1,870,110",,"1,809,040","1,709,205",,,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,"505,028","15,649",,,"429,780",,,"283,587","302,271",,"235,075",,,,,,"723,520",,,,"512,140","49,090","564,360","657,890","1,268,410","1,413,190","111,950","1,503,080","2,021,590",,"2,064,250","1,959,345",,,,,,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,,"1,015,661","1,050,649",,,"937,984",,,"961,532","1,489,116",,"1,561,801",,,,,,"4,403,920",,,,"6,455,680","6,914,480","7,250,160","7,495,410","1,985,340","8,528,590","8,926,400","9,744,110","11,212,840",,"11,874,630","12,226,754",,,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,"1,466,442","1,560,963",,,"1,604,364",,,"1,732,740","3,365,810",,"2,516,794",,,,,,"5,038,678",,,,"7,413,690","8,002,917","8,134,528","8,233,974","8,140,654","10,052,044","10,976,942","12,263,865","16,372,924",,"16,120,295","16,604,279",,,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,,,"284,378","275,958",,,"231,580",,,"218,817","685,421",,"686,813",,,,,,"822,398",,,,"904,903","945,998","952,510","959,553","947,349","957,451","990,010","987,507","1,060,509",,"1,162,988","1,171,123",,,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,"245,049","411,998",,,"245,543",,,"432,351","521,804",,"1,271,586",,,,,,"1,439,879",,,,"1,180,999","1,184,962","1,447,150","1,831,427","1,707,349","1,518,133","1,635,672","2,417,127","2,590,755",,"2,917,541","3,398,345",,"4,138,366",,,,,,,,,,,,,,,,,,,,,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,,,"1,465,260","489,515",,,"1,963,604",,,"1,601,449","2,966,892",,"1,559,294",,,,,,"3,809,521",,,,"4,660,495","1,174,693","2,402,287","3,626,918","4,988,277","1,423,185","3,009,010","2,050,508","7,452,050",,"5,500,777","8,327,831",,"3,237,242","6,564,734","3,442,264,534",,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,,"962,010","312,920",,,"1,182,000",,,"1,139,225","2,037,418",,"927,965",,,,,,"2,052,545",,,,"2,371,095","587,949","1,077,645","1,553,323","2,082,373","596,239","1,317,745","2,373,427","3,810,308",,"3,740,695","5,671,540",,"2,010,157","4,128,232","2,085,637,792",,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,,,,"503,250","502,968",,,"675,553",,,3.13.2,"929,474",,3.13.2,,,,,,"1,756,976",,,,"2,289,400","586,744",3.13.2,3.13.2,"2,905,904","826,946",3.13.2,3.13.2,"3,641,742",,3.13.2,3.13.2,,3.13.2,"2,436,502","1,356,626,742",,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,,,,"75,453","75,488",,,"84,979",,,"35,724","92,877",,"43,054",,,,,,"286,001",,,,"386,009","98,180","218,561","334,837","498,436","150,394","298,459","421,071","540,831",,"299,120","454,495",,"161,093","288,608","39,699,502",,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,,,,"35,363","35,363",,,"30,936",,,"34,304","50,541",,"32,271",,,,,,"138,418",,,,"200,436","86,022","143,061","206,555","251,095","58,755","138,261","198,996","279,708",,"158,629","247,225",,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,,,,,,,,,,,,,"708,391","668,437",,,"858,986",,,"633,335","1,250,269",,"825,045",,,,,,"2,407,756",,,,"3,176,323","830,712","1,798,298","2,786,971","3,988,408","1,127,070","2,294,902","3,554,676","4,872,376",,"2,420,531","5,049,452",,"1,669,731","3,235,454","1,743,304,653",,,,,,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,,,,,,,"100,257","100,257",,,"155,004",,,"108,670","225,211",,"124,575",,,,,,"377,602",,,,"633,791","201,249","354,703","507,343","671,382","278,568","414,199","613,919","810,236",,"506,988","770,066",,"454,071",,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,"249,109","209,346",,,"235,260",,,"189,432","371,738",,"169,400",,,,,,"640,485",,,,"749,630","151,690","322,223","492,298","849,236","193,794","418,101","644,008","958,001",,"519,763","818,328",,"257,964","546,923","230,060,409",,,,,,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,,,,,,,"359,025","358,835",,,"468,722",,,"335,233","653,319",,"531,070",,,,,,"1,389,669",,,,"1,792,902","477,773","1,121,372","1,787,330","2,467,790","704,708","1,462,602","2,296,069","3,126,279",,"1,393,780","2,056,838",,"752,925",,,,,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,,,,,,,,,,"145,838","195,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Operating Profit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,,,,440,210,,,133,,,"3,127","5,929",,232,,,,,,"49,617",,,,"17,448","8,810","11,901","23,030","34,494","7,218","40,724","37,298","88,481",,"86,214","105,641",,"2,373",,,,,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,,,,,,,,,,,,"138,113",,,"166,245",,,,"211,753",,"48,863",,,,,,"410,949",,,,"472,851","45,490","143,203","209,570","252,229","107,533","195,054","279,593","390,055",,"235,172","356,137",,"107,533",,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,,,,,,,,,,,,,"213,627","164,209",,,"381,903",,,"270,745","673,299",,"384,853",,,,,,"1,518,297",,,,"1,762,798","490,228",,,"2,163,753","660,062","1,427,446","2,307,174","3,238,165",,"1,506,360","2,299,384",,"660,062",,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,,,"93,481",,,,"118,506",,,,,,,,"33,102",,,,"176,229","175,476","5,509","43,608","46,738","47,205","2,119","125,439","31,610",,"1,888","1,888",,"47,205",,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,,,,,,,"213,627","138,113",,,,,,,,,,,,,,,"1,551,399",,,,"1,586,569","490,228",,,"2,210,491","660,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,,,,,,,,,,"19,421","12,556",,,"26,220",,,"24,613","50,435",,"34,987",,,,,,"140,509",,,,"144,233","45,110","109,283","149,138","201,444","60,824","130,778","212,874","298,174",,"138,298","209,938",,"60,824",,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,,,"105,190","87,890",,,"226,316",,,"172,292","353,050",,"244,906",,,,,,"1,027,148",,,,"1,010,970","311,892","761,160","1,040,986","1,408,914","420,004","917,768","1,492,170","2,083,664",,"961,023","1,461,093",,"420,004",,,,,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,,,,11.49,10.74,,,11.65,,,10.52,12.68,,10.82,,,,,,13.13,,,,12.98,12.86,12.47,12.78,12.41,11.95,11.87,12.28,12.2,,11.65,11.82,,11.27,11.30,12.02,,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,,,,0.82,0.74,,,2.52,,,1.89,1.54,,2.10,,,,,,2.26,,,,2.19,1.98,1.64,1.93,1.0,1.1,1.61,1.15,1.57,,1.61,1.29,,1.05,,0.76,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Yield,,,,,,,,,,,,,10.90,12.56,,,12.35,,,12.07,12.66,,10.71,,,,,,10.18,,,,9.41,8.98,8.93,8.62,8.40,8.20,9.06,11.44,11.89,,12.62,12.52,,8.20,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,7.48,8.67,,,9.08,,,8.59,8.50,,6.41,,,,,,4.84,,,,4.19,3.72,3.06,2.93,5.14,3.19,4.05,5.37,7.09,,6.98,8.22,,,7.57,6.97,,,,,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,,,,,,,,3.42,3.89,,,3.27,,,3.48,4.16,,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,,,,,,77.32,,,,,,,,,,,,79.71,,,,1847,,,,77.70,,,77.64,79.06,78.76,,,,,,,,,,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity,,,,,,,,,,,,,6.47,21.85,,,12.22,,,12.21,13.57,,17.61,,,,,,15.93,,,,13.68,16.22,18.77,16.50,16.01,18.24,18.88,19.03,16.88,,15.50,15.18,,18.24,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,9.58,,,,,,7.92,,,,7.59,7.11,6.29,5.98,0.15,0.29,7.14,8.56,10.40,,10.31,11.68,,10.59,10.09,9.60,,,,,,,,,,,,,,,,,,,,
CCD Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.35,,,,75.91,75.97,,77.99,76.81,78.85,,78.85,72.44,,,15.29,,,,,,,,,,,,,,,,,,,,,,,,
Credit Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to total NPL,,,,,,,,,,,,,154.79,232.97,,,126.40,,,115.31,136.63,,118.49,,,,,,111.00,,,,114.44,124.84,136.02,132.33,140.65,147.09,149.43,148.24,144.82,,132.92,148.92,,162.47,211.38,206.16,,,,,,,,,,,,,,,,,,,,
