Particulars, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Other Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,274,255",,,3,8,1,9,1,,2,9,1,3,1,2,6,6,1,2,6
-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,000",,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,223,608",,"4,731,489",,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,2,"159,391",,,,3.2,"359,808",,"822,289",,"299,796","524,165","959,543","483,373","428,874","057,999","260,090","575,616",,,"380,089","776,516",,"4,654,627","999,871","1,549,556","2,344,106","740,029",,,,,,,,,,,,,,,,,,
Other Operating Income,"69,515",,"40,185","49,469",,"21,487","48,846",,"85,982","18,585","34,854","53,301","103,899","21,465","40,404","67,509","151,053","48,537","79,190","109,135","32,286","67,422","100,397","227,163","55,788","103,661","144,400","227,163","111,527",,"451,815","129,882",,,,,,,,,,,,,,,,,,
Total Operating Income,,"280,640",,,"957,801","235,019",,,,"288,909",,"843,470",,"184,041","506,652","823,904",,"658,040",,,"392,983","824,441","4,279,414","2,346,815","534,386","1,082,521","1,645,134","2,346,815","1,390,145","2,145,014","3,177,600",,,,,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"578,859",,,,,,,,,,,,,,,,,,,
Other Operating Expenses,"169,294","32,268",,,"194,843","34,504","81,056","126,703","240,503","43,308","99,672","165,677",,"49,590","106,731",,"322,380","118,277","145,026","221,000","76,699","156,173","246,897","477,361","100,590","218,814",,,"260,083","416,429","573,134","161,688",,,,,,,,,,,,,,,,,,
Operating Profit before provision,"602,964","163,724","163,724","453,936","584,673","153,325","305,650",,"818,953",,"311,625","535,343",,"82,626","286,182",,,47326,"403,517","884,007","239,458","514,209","800,350",4456073,"349,531","681,049","1,012,532","1,456,073","881,281","1,344,286","2,002,361",,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,899,,,,,"10,187",,,,,"10,187",,,,"53,741","15,756",,,,,,,"49,084",,,"43,807",,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,"1,325",,,,10,"2,656","3,398",,,0,,,243,,,,,,,107,,"18,032",,,"86,486",,"160,872","126,144",,"164,289",,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,,899,,,,,"10,187",,,,,"10,187",,,,"53,741","15,756",,,,,,,"49,084",,,"43,807",,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,,116,"299,.439",,"559,699","146,283",,,,,"253,756","435,600","741,180",,229.149,"369,310","647,727","281,407","278,429",,"88,782","476,541","691,723",,"243,471","625,072","880,639",,"860,543","1,308,048","1,889,000",,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,2.348,"2,348",,,,1200,,,,,,300,300,800,,",",,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,3.11,,,,"146,283",,,,3.11,"254,956",,,,,,,"268,696",,,,,,,,"638,618",,,"815,996",,"1,832,826",,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,,,"13,298",,,,"12,454","23,178",,,,"20,832",,"58,884","24,427","25,312","34,290",,"43,322","62,884",,"19,406","58,056",,"143,211","74,181","114,662","166,621",,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,13.21%,,"43,259",,11.76%,11.61%,11.17%,11.71%,12.27%,11.30%,12.00%,12.91%,11.99%,10.74%,10.92%,11.37%,10.87%,13.37%,10.39%,10.76%,10.84%,11.36%,10.41%,14.19%,10.88%,10.89%,11.04%,14.19%,13.46%,12.97%,12.54%,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,0.12%,,,,0.62%,1.01%,1.26%,1.73%,1.26%,1.21%,130%,1.41%,1.15%,2.04%,2.14%,2.21%,1.30%,1.78%,1.18%,1.33%,0.91%,1.14%,1.28%,0.93%,1.68%,1.31%,1.79%,0.93%,1.29%,1.16%,1.29%,,,,,,,,,,,,,,,,,,,
Average Yield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.18%,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95%,,,,,,,,,,,,,,,,,,,
Net Interest Spread,2.71%,,,,2.50%,2.82%,2.44%,2.60%,3.55%,4.10%,,4.16%,3.77%,3.39%,,3.77%,3.72%,2.94%,3.32%,3.62%,,3.49%,3.43%,,3.85%,3.65%,3.55%,2.74%,2.95%,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.07%,78.04%,77.56%,,,,,,,,,,,,,,,,,
Earning Per Share(Annualized),,,,,,,,,,,,,,,,,,,,,,,,,,,,25.43,,,15.00,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,,,,,,,,,"331,",,,510,575,,390,,763,480,390,262,,,,,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,93,,,,,,,,,,24.28,289.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Return on Equity(Annualized),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.04%,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,145.80,,,,"5,916,914",,,,163.86,,,,174.76,138,145.55,158.51,,153.77,158.28,,210.43,,,,122.94,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48%,,,,,,,,,,,,,,,,,,,
