Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,190",,,,"65,870",,,,,,"63,709",,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,,,,,,,"803,866",,"654,952",,,,"498,083",,"633,723",,"849,258",,,,"1,683,705",,"2,949,449",,,,"2,949,449",,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,"101,530",,,,"101,530",,,,"104,978",,"52,948",,,,"28,540",,"459,056",,"489,356",,,,"347,621",,"463,985",,,264058,"463,985",,,"266,716","269,831",,,,,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,,"503,732",,,,"503,732",,,,"1,523,582",,"2,000,625",,,,"2,822,708",,"3,420,567",,"3,878,664",,,,"5,073,711",,"6,572,777",,,7771090,"6,572,777",,,"10,971,092","8,700,877",,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,"1,085,335",,,,"1,313,895",,,,"2,303,397",,"3,251,666",,,,"4,729,421",,"6,527,428",,"8,569,929",,,,"10,834,462",,"14,017,857",,,17859111,"14,017,857",,,"23,227,325","23,227,325",,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,"234,818",,,"325,503",,,,"366,000",,,,"479,013",,"491,840",,,"490,070","488,842",,"502,236","514,519","542,882",,,"602,679","591,341",,"655,355","657,833",,721341,"655,355","720,237",,"879,521","947,642",,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"281,481",,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,"140,031",,,"79,251",,,,"133,300",,,,"290,608",,"186,218",,,"610,131","665,141",,"1,261,707","1,257,156","1,408,551",,,"1,052,070","1,006,052",,"818,857","1,129,438",,1269080.,"818,857","2,228,027",,"2,172,670","519,160",,,,,,,,,,,,,,,,,,,,,,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,"121,831",,,"615,526",,,,"1,038,060",,,,"1,172,145",,"759,574",,,"476,888","971,462",,"2,018,506","560,718","1,159,513",,,"324,533","1,510,925",,"3,273,293","1,013,137",,3498996,"3,273,293","1,769,073",,"5,704,188","5,060,299",,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,"77,971",,,"399,298",,,,"683,000",,,,"753,562",,"463,491",,,"309,337","608,677",,"1,199,788","315,726","621,891",,,"200,098","774,197",,"1,550,408","478,745",,1799145,"1,550,408","1,174,494",,"3,609,931","2,194,000",,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,3.13.2,,,"216,228",,,,"355,059",,,,"418,584",,3.13.2,,,"167,551",3.13.2,,"818,718","244,992",3.13.2,,,"124,435",3.13.2,,"1,722,885","534,392",,1699851,3.13.2,"594,578",,"2,094,257",3.13.2,,,,,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,"10,642",,,"30,740",,,,"34,221",,,,"43,426",,"42,203",,,"16,704","37,948",,"85,438","31,273","65,117",,,"20,098","93,423",,"242,140","235,621",,214332,"242,140","19,644",,"390,422","519,160",,,,,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,"3,647",,,"5,607",,,,158,,,,,,"9,469",,,"35,753","75,966",,"146,889","54,404","93,325",,,"54,404","87,742",,"153,694","47,131",,141341,"153,694","68,193",,"208,116","282,481",,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,,,,,,,,,,"58,535",,,"256,483",,,,"394,972",,,,"474,281",,"356,700",,,"228,517","493,756",,"1,091,503","342,946","720,652",,,"429,563","955,252",,"2,207,262","692,140",,2159192,"2,207,262","821,262",,"2,820,998","3,926,654",,,,,,,,,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,,,,"9,104",,,"41,791",,,,"55,836",,,,"79,571",,"53,498",,,"38,988","70,994",,"134,381","49,200","94,353",,,"66,428","125,093",,"259,435","86,428",,258051,"259,435","122,172",,"382,078","540,365",,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,"15,125",,,"66,964",,,,"84,777",,,,"147,513",,"76,174",,,"48,632","96,727",,"206,356","62,575","130,047",,,"231,382","141,857",,"329,405","231,382",,308571,"329,405","110,434",,"373,304","481,469",,,,,,,,,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,,,,"34,306",,,"147,728",,,,"254,359",,,,"247,197",,"227,029",,,"140,896","326,035",,"750,766","231,171","496,253",,,"266,796","688,301",,"1,618,422","511,714",,1592570,"1,618,422","594,656",,"2,065,616","2,855,939",,,,,,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,,,,,,,"6,042",,,"11,352",,,,"13,272",,,,"52,835",,"42,653",,,"6,518","26,772",,"55,212","27,966","63,867",,,"25,086","61,239",,"141,732","65,314",,115381,"141,732","96,224",,"199,052","246,812",,,,,,,,,,,,,,,,,,,,,,,
"Operating Profit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,"10,851",,,34,,,,348,,,,678,,"1,180",,,637,"6,483",,"13,082","1,935","3,453",,,"9,261","4,368",,"154,295","22,000",,42494,"154,295","30,423",,"22,706","25,612",,,,,,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,,,,,,,,,,,"2,497",,,,"2,161",,,,"2,161",,"19,561",,,612,960,,"1,527",599,"1,175",,,595,"9,753",,"9,964","1,442",,2365,"9,964","1,368",,"7,480","140,000",,,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,,,,,,,,,,"28,264",,,"138,907",,,,"243,595",,,,"195,040",,"205,116",,,,"306,706",,"710,163","205,739","437,014",,,"277,897","641,182",,"1,640,948","425,755",,1522049,"1,640,948","530,223",,,"2,642,342",,,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,308,,"8,482",308,308,,,"1,609",,,609,"425,755",,,609,"529,915",,319,609,,,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,"135,628",,,,,,,,"277,897",,,,"425,755",,,,"529,915",,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,,,,,,,"2,570",,,"12,628",,,,"22,145",,,,"17,299",,"18,647",,,"12,330","27,854",,"65,331","18,704","39,729",,,"25,261","58,289",,"148,670","38,803",,138368,"148,670","38,803",,"172,403","240,146",,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,20.34,,18.89,17.64,,14.08,29.37,30.51,,,24.57,21.80,,16.27,15.23,,14.00,13.94,13.21,12.55,11.72,11.03,10.65,,11.72,11.26,11.12,12.65,12.45,13.12,13.42,13.20,13.85,13.42,13.46,12.91,13.85,,,,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,0.20,,0.11,0.08,,0.06,0.05,0.004,,,0.87,0.48,,0.19,0.06,,0.09,0.10,0.05,0.02,0.05,0.04,0.10,,1.41,0.05,0.12,0.02,0.05,0.01,0.04,0.04,0.14,0.03,0.17,0.03,0.14,,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Yield,,,,,,,,,,,,,,,,,,,,13.93,13.48,,11.76,11.44,,11.49,11.03,10.67,10.44,10.00,9.46,9.11,,9.24,8.85,8.62,8.45,8.63,,8.99,,11.80,11.47,11.53,11.63,11.80,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,7.78,9.38,,10.01,10.35,10.48,,,10.38,9.91,,7.67,7.45,,7.06,6.91,6.57,6.29,5.20,4.93,4.96,,4.65,4.18,3.91,3.83,6.28,4.09,4.68,4.68,7.43,7.24,7.32,7.42,7.43,,,,,,,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,,,,,,,,,,,,,,,3.55,3.57,,4.09,3.99,,4.43,4.12,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,83.86,79.14,,83.38,79.71,75.41,,,75.05,72.19,,79.34,78.47,,73.24,78.38,78.96,75.20,77.66,78.18,77.75,,79.13,78.01,77.66,76.07,79.26,18.62,75.17,72.04,79.17,78.99,18.18,76.99,79.17,,,,,,,,,,,,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share,,,,,,,,,,,,,,,,,,,,,6.00,,12.98,,,15.11,17.48,,20.47,20.15,21.88,,,22.68,26.74,,34.17,20.19,23.65,23.95,,16.72,20.56,20.22,134.31,,,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,17.54,29.97,24.06,31.17,24.32,24.64,24.97,,29.63,25.06,27.32,21.95,32.29,22.80,19.88,,20.76,16.54,17.70,15.31,20.76,,,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity,,,,,,,,,,,,,,,,,,,,4.80,5.40,,11.58,12.13,,13.35,14.81,15.68,15.77,17.33,17.93,17.50,,19.24,21.32,22.02,23.36,16.94,18.51,18.03,14.35,14.22,16.64,15.77,,14.22,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,108.98,111.10,,112.11,116.13,,113.20,118.07,123.78,129.78,116.24,122.01,127.70,,117.88,125.44,134.01,146.27,119.24,126.69,132.81,131.32,117.55,123.55,128.24,76.31,117.55,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,10.36,10.10,,9.73,9.54,8.40,8.22,7.85,7.19,7.62,,7.85,6.19,5.58,6.07,,7.20,9.11,10.20,10.27,9.71,10.63,10.66,10.27,,,,,,,,,,,,,,,,,,,,,,
CCD Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to total NPL,,,,,,,,,,557.54,,1068.79,1233.12,,1895.61,2131.54,22587.90,,,147.41,237.92,,559.38,1848.95,,"1,147.13","1,046.30","1,977.81","5,832.14","2,322.48","2,705.74","1,306.81",,"2,456.41","2,304.23",912.70,"5,982.92","2,067.80","11,201.06",2938.08,"2,938.08",831.91,"4,181.94",689.32,"4,082.07",831.91,,,,,,,,,,,,,,,,,,,,,,
