,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,"9,133",7,"3,100","8,737","7,353","1,858","2,568",1679,"13,413",3,"4,891","8,968","22,882","32,397","55,060","25,455","33,489","19,895",32438,40827,53181,13675,22177,5967.322,-103350.755,12779.861,-35593.072,-3082.033,-11636.314,365.809,-39699.876,-8655.662,4668.256,11070.272,-,25062.597,-5014.954,-17265.04,25.275,-29908.145,,,,
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,"619,986","144,948","385,355","627,311","814,706","154,263","360,615","574,759","692,474","157,391","502,061","759,532","1,070,091","261,046","721,404","1,138,783","1,471,304","277,923",572111,932753,1190929,752697,1511459,782010.651,1218277.494,1076791.331,1071501.893,508884.789,706064.111,1100133.433,1151501.506,1235796.253,437472.916,1371748.891,1441943.719,1361487.517,1061054.231,1849144.761,1634528.196,845163.925,,,,
capital fund to rwa,,,,,,,,,,,,,,,,,,,,,,,,,14.18,14.29,13.77,13.84,14.89,13.88,13.91,13.27,13.16,12.54,12.44,11.76,12.66,12.55,12.45,13.69,13.95,12.18,13.82,13.18,12.54,12.48,11.97,13.3,13.60%,12.67%,12.99,12.31%,13.80%,12.65%,12.52%,11.72%,12.46%,12.26%,12.51%,13.21%,13.54%,13.23%,13.31%,12.76%,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,2.32,2.9,2.96,2.77,2.25,2.62,2.41,2.14,1.99,1.83,1.4,1.11,0.82,0.9,0.72,0.46,0.36,0.29,0.28,0.22,0.06,0.26,0.3,0.45%,0.44%,0.44%,0.46,0.75%,0.76%,0.44%,0.44%,0.53%,0.49%,0.56%,0.50%,0.58%,0.56%,0.83%,0.84%,1.12%,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,113.89,97.93,99.33,103.8,118.73,97.25,109.96,119.82,134.88,139.18,157.36,189.03,220.62,193.85,220.92,306.65,371,438,477,525,1550.48,445,376,295.52%,276%,281%,279,214%,223%,351.20%,1069.00%,254.40%,349.70%,310.40%,351.20%,309.87%,353.99%,325.81%,227.04%,184.59%,,,,
cost of fund,,,,,,,,,,,,,,,,,,,,,,,,,6.88%,6.54%,6.40%,6.18%,5.99%,5.03%,5.06%,5.03%,5.12%,5.11%,4.85%,4.55%,4.41,4.15%,4.49%,5.29%,6.07,8.03,7.6,7.84,7.67,7.15,7.16,7.09,6.97,7.06,7.04,7.13,5.87,5.04,5.21,5.05,5.34,5.8,7.16,7.34,7.53,8.22,8.55,8.15,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,,,9.59%,9.36%,8.69%,8.03%,7.88%,7.35%,7.78%,7.57%,7.96%,7.30%,6.69%,6.27%,6.44,6.50%,7.39%,10.00%,11.27,10.78%,10.74,11.5,11.16,10.77,9.33,9.30%,9.48%,9.56%,9.85,9.69%,8.03%,6.56%,16.87%,6.79%,6.88%,7.54%,9.54%,9.49%,9.39%,10.79%,11.19%,10.67%,,,,
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,3.81%,3.68%,4.20%,4.37%,4.06,3.27%,3.63,3.58,3.52,3.01,3.21,3.48,3.49,3.36,3.32,3.53,3.39,3.47,4.27,4.77,5.1,4.99,4.98,4.96,4.41,5.18,5.24,5.15,5.01,4.42,4.59,4.55,4.11,4.12,3.93,4.67,4.64,4.65,4.38,4.2,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,,,,,,,,316,,386,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,,,,,,,,,12.77%,10.83%,13.78%,16.68%,15.66%,12.27%,13.78%,14.75%,13.27%,11.13%,17.40%,17.19%,16.5,13.60%,18.10%,18.70%,17,10.41%,10.71,12.15,,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.27,1.66,1.8,1.58,1.15,1.33,1.4,1.24,1.03,1.59,1.53,1.52,1.26,1.69,1.76,1.6,0.9,0.82,1.02,,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,72.35,77.57,77.39,76.72,74.92,75.71,76.72,78.61,73.1,76.46,75.93,77.71,78.52,78.13,78.4,78.26,76.34,77.51,78.19,76.18,74.12,77.68,78.71,77.55%,74.84%,79.05%,78.31,77.73%,70.70%,74.94%,78.09%,87.81%,84.74%,91.19%,92.75%,92.99%,86.27%,85.99%,85.12%,86.50%,,,,
