,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,3.13.2,,,,,"815,028","1,222,529",,3.13.2,,,3.13.2,"560,074","1,153,847","1,847,886",,"599,385",,3.13.2,3607616.0,,"3,607,616","1,809,081,636","1,825,887,233","1,965,251,418",,"1,907,021,957","2,334,262,630","2,162,624,900","2,192,980,075","3,185,077,772","3,050,340,451","3,147,237,278","2,911,148,594","3,360,346,166","3,912,847,311","3,705,859,811","3,167,818,689","3,156,134,843",,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"663,496,982","630,913,119","707,488,701",,"596,913,158","633,468,783","447,558,575","550,645,998","625,841,631","441,411,057","648,799,885","500,119,817","528,898,050","839,824,836","673,720,602","533,243,149","914,318,348",,,,
total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,"478,938",,,,,"1,063,639","1,612,274",,"512,730",,,"2,632,471","745,281","1,562,342","2,489,894",,"901,844",,3483469,4611139.0,,"4,611,139",,,"2,781,857,782",,"2,941,483,801","2,980,344,519","2,752,500,825","2,885,498,152","3,913,031,099","3,659,225,187","4,073,510,856","3,518,985,607","3,990,479,669","4,778,087,917","4,567,430,052","3,813,799,826","4,148,763,117",,,,
staff expenses,,,,,,,,,,,,,,,,,,,,,,,,,"356,442","92,055","167,753","244,346","373,887","111,186","204,559","306,309","421,778","125,493","232,585","366,502","543,319","197,449","375,877","585,558",,"223,201",,921880,,,,,,"730,369,841",,"721,744,141","989,312,869","766,565,013","723,551,249","1,114,652,552",,,,"1,199,063,406","1,752,412,264",,,,,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,111,190,751","1,425,793,723","1,525,493,470",,"733,174,310","988,112,264","1,571,253,380","1,684,702,027","1,775,060,572","731,617,179","1,948,571,001","2,059,919,599","1,919,919,570","1,496,761,067","2,658,901,118","2,334,949,169","1,239,961,846",,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,"360,615","574,759",4,4,4,4,"1,070,091","261,046","721,404","1,138,783",,"277,923",,932753,,,,,,"1,076,791,331",,"508,884,789","706,064,111","1,100,133,433","1,151,501,506","1,235,796,253",,,,,,,,,,,,
capital fund to rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.97,,"11.97,",,13.60%,12.67%,,12.31%,13.80%,12.65%,12.52%,11.72%,12.46%,12.26%,12.51%,13.21%,13.54%,13.23%,13.31%,12.76%,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45%,0.44%,0.44%,,0.75%,0.76%,0.44%,0.44%,0.53%,0.49%,0.56%,0.50%,0.58%,0.56%,0.83%,0.84%,1.12%,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,,,,,,,,,,,,,,,6.88%,6.54%,6.40%,6.18%,5.99%,5.03%,5.06%,5.03%,5.12%,5.11%,4.85%,4.55%,4.41,4.15%,4.49%,5.29%,,,,7.84,7.16,,"7.16,",,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,,,9.59%,9.36%,8.69%,8.03%,7.88%,7.35%,7.78%,7.57%,7.96%,7.30%,6.69%,6.27%,6.44,6.50%,7.39%,10.00%,,10.78%,,11.5,9.33,,"9.33,",9.30%,9.48%,9.56%,,9.69%,8.03%,6.56%,16.87%,6.79%,6.88%,7.54%,9.54%,9.49%,9.39%,10.79%,11.19%,10.67%,,,,
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,3.81%,3.68%,4.20%,4.37%,,3.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,,,,,,,,,12.77%,10.83%,13.78%,16.68%,15.66%,12.27%,13.78%,14.75%,13.27%,11.13%,17.40%,17.19%,16.5,13.60%,18.10%,18.70%,,10.41%,,12.15,,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.71,,"78.71,",77.55%,74.84%,79.05%,,77.73%,70.70%,74.94%,78.09%,87.81%,84.74%,91.19%,92.75%,92.99%,86.27%,85.99%,85.12%,86.50%,,,,
