,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,177,154","1,795,246","2,495,801","590,377","1,256,503","1,933,983","2,670,280","697,250","1,555,402","2,443,438","3,408,443","826,182","1,804,676","2,769,593","3,763,408",,,"2,910,584","4,227,028","1,312,805","2,493,438","1,259,998,024","1,288,911,745","1,322,932,103","1,261,376,956","1,268,910,520","921,897,879","943,608,445","824,740,955","956,256,767","1,083,141,373","1,117,048,232","811,602,770","1,452,084,502","1,769,433,252","1,814,409,575","1,848,994,345","2,879,185,571",,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"142,265,895","252,290,914","176,465,435","200,516,575","145,339,742","164,440,439","156,240,728","137,037,122","204,282,591","211,958,863","202,202,778","213,187,249","211,840,567","287,748,468","223,019,117","205,758,814","210,925,758",,,,
total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,784,424","2,678,746","3,745,176","896,089","1,901,794","2,942,825","4,056,196","1,028,419","2,238,233","3,508,424","4,722,705","1,168,716","2,516,309","3,778,046","5,216,016",,,"3,960,576","5,753,569","1,759,217","3,309,410","1,598,081,430","1,782,030,164","1,713,623,876","1,667,417,460","1,600,956,930","1,391,601,540","1,279,218,463","1,113,463,964","1,369,306,738","3,426,847,017","1,521,215,666","1,206,030,959","1,829,281,675","2,237,559,590","2,180,228,592","2,170,458,040","3,204,444,127",,,,
staff expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,"317,792","480,054","713,823","183,209","360,822","609,677","910,246","208,757","411,762","644,656","908,344","240,855","475,988","750,954","1,058,219",,,"829,689","1,057,831",,,"416,753,107","415,293,787","414,728,925","454,609,917","416,425,339","358,472,370","375,681,390","370,249,542","425,097,873","693,585,411","413,475,150","342,469,176","381,953,378","493,359,455","419,112,561","429,150,813",4,,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"915,073,379","1,161,787,761","990,587,027","1,127,126,337","969,418,653","262,152,538","519,558,651","476,852,422","895,621,041","2,209,787,905","652,649,080","417,563,711","935,954,048","1,542,353,341","796,312,053","603,730,911","1,131,292,141",,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,"544,488","792,852","1,102,806","268,630","589,500","901,516","1,095,595","322,785","802,218","1,319,323","1,915,628","438,461","1,027,879","1,535,151","2,176,487","2,137,0.4",,"1,611,802","2,474,590",,,"647,032,601","832,930,102",,,,,,,,,,,,,,,,,,,
capital fund to rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,12.21,11.21,11.58,11.03,11.06,11.02,11.45,11.09,11.26,10.95,10.91,11.27,11.25,11.74,12.23,,,12.44,13.03,12.24,11.36,11.82,12.73,14.08,14.73,13.42,14.67,15.12,13.84,13.19,13.85,12.69,11.61,12.4,11.63,12.67,12.12,12.93,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,1.12,1.16,1.28,1.11,1.01,1.23,2.13,0.81,0.48,0.58,0.72,0.99,0.77,2.31,3.77,4.56,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,4.42,4.26,3.53,3.42,3.38,3.36,2.79,2.45,2.26,2.27,2.62,2.71,3.25,3.99,,,6.35,6.42,6.14,6.73,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,,,,,7.87,7.78,8.63,7.33,7.05,7.32,7.78,5.98,5.20,5.48,5.68,5.45,6.00,7.93,9.57,,,9.42,,9.22,9.11,9.1,9.05,8.93,8.92,8.87,8.38,7.16,6.83,6.75,6.75,7.01,8.75,9.5,9.88,10.43,10.86,11.06,,,,
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,4.58,4.93,4.32,4.32,4.28,4.35,4.48,4.51,4.54,4.59,4.40,4.45,4.57,4.44,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,,,,,,,,,,,18.68,18.57,18.85,17.02,18.48,18.40,16.53,17.84,21.80,23.09,24.20,18.81,21.34,20.52,21.24,,,17.18,,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,69.51,70.56,70.67,75.99,76.30,79.12,73.51,73.46,71.52,78.81,77.27,78.16,79.22,,,,,,,78.77,78.45,79.01,75.59,74.98,73.94,76.08,66.85,64.97,71.17,78.99,76.77,93.54,92.74,91.81,88.8,90.4,87.12,90.5,,,,
