,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
net interest income,,,,,,,,,,,,,3.13.2,3.13.2,"362,450","536,156",3.13.2,,"331,071","473,805",3.13.2,"199,730","359,808","608,998",3.13.2,3.13.2,"299,796","524,165",3.13.2,"192,449","428,874","657,999",,"260,090","575,616","897,930",3.13.2,"380,089","776,516","1,173,216","1,654,627","483,373","999,871",,"2,281,259","740,029","1,454,331","819,518","1,013,316","955,669","970,964","958,050","874,706","874,553","864,662","971,536","1,016,341","1,027,311","851,853","1,073,558","1,657,169","1,620,825","1,354,428","1,504,046",,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"187,917","287,510","200,399","256,684","196,794","170,439","227,039","260,714","300,802","282,753","313,769","292,314","295,180","262,415","267,958","242,613","253,146",,,,
total operating income,,,,,,,,,,,,,"929,920","235,640","461,434","680,983","957,801",,"475,059","690,903","1,266,829","288,909","514,440","843,470","1,240,978","184,041","506,652","823,994","1,447,266","314,641","677,274","1,007,981",,"392,983","824,441","1,279,414","2,346,815","534,386","1,082,521","1,645,134","2,346,815","658,040","1,390,145","2,145,614","3,177,600","1,010,219","2,007,003","1,142,955","1,400,922","1,297,569","1,344,088","1,233,291","1,175,924","1,319,493","1,336,017","1,514,504","1,507,987","1,684,452","1,382,682","1,314,605","2,006,606","1,982,643","1,763,196","1,815,756",,,,
staff expenses,,,,,,,,,,,,,"157,662","39,648","76,191","114,271","178,285","47,190","88,353","128,686","207,373","58,408","103,143","142,451","239,997","51,826","113,740","160,514","272,858","54,240","128,730","202,964",,"76,826","154,059","232,168","413,382","84,265","182,658","290,475","413,382","120,313","248,781","384,899","578,859",,,"287,451","407,510","342,556","358,607","320,956","375,882","367,312","402,519","407,507","420,355","472,443","431,883","410,653","803,347","506,941","526,183","474,398",,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"490,200","895,493","640,367","764,715","308,562","566,668","512,949","788,067","793,138","433,477","852,450","440,676","213,007","1,054,783","716,558","783,226","438,570",,,,
non operating income expense,,,,,,,,,,,,,"874,271,637,654","5,834",10,"2,656","3,398","12,972",0,0,"8,769","26,253",243,"6,141","6,189","23,888","14,387","16,459","22,672",,107,"17,991","18,032","160,872","23,863","86,486","95,351","160,872","96,556","126,144","154,827","164,289",,"44,334",,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,"377,586","100,458","191,782","280,357","356,172",,"277,876","250,064","450,205",,"162,245","277,964","471,851","5,190","145,822","233,566","411,968","52,330","177,182","240,033",,"101,043","303,254","440,187","1,002,477","135,845","406,393","569,100",,"170,988","519,270","802,633",,,,,,,,,,,,,,,,,,,,,,,,
capital fund to rwa,,,,,,,,,,,,,13.21%,13.89%,13.25%,13.23%,11.76%,11.61%,11.17%,11.71%,12.27%,11.30%,12.00%,12.91%,11.99%,10.74%,10.92%,11.37%,10.87%,10.86%,10.39%,10.76%,,10.84%,11.36%,10.41%,14.19%,10.88%,10.89%,11.04%,14.19%,13.37%,13.46%,12.97%,12.54%,12.36%,11.66%,11.64%,11.38%,11.93%,13.13%,12.67%,12.45%,13.16%,12.74%,11.67%,11.81%,12.82%,12.14%,12.44%,12.68%,12.69%,12.89%,13.07%,,,,
non performing loan to total loan,,,,,,,,,,,,,0.90%,0.87%,0.82%,0.96%,0.62%,1.01%,1.26%,1.73%,1.26%,1.21%,1.30%,1.41%,1.15%,2.04%,2.14%,2.21%,1.30%,1.69%,1.18%,1.33%,,0.91%,1.14%,1.28%,0.93%,1.68%,1.31%,1.79%,0.93%,1.78%,1.29%,1.16%,1.29%,,1.11%,,,,,,,,,,,,,,,,,,,,,
total loan loss provision to npl,,,,,,,,,,,,,136.58%,137.60%,149.00%,128.48%,212.56%,,106.60%,82.26%,140.41%,123.56%,121.65%,125.07%,140.62%,104.85%,96.35%,99.93%,142.80%,108.30%,146.78%,147.00%,,208.64%,168.03%,152.35%,173.52%,119.61%,149.91%,114.11%,173.52%,110.91%,139.55%,149.70%,,,164.71%,165.53%,152.20%,159.88%,176.07%,107.08%,175.19%,226.20%,257.14%,233.51%,169.83%,311.42%,214.50%,192.42%,216.45%,136.56%,150.95%,142.41%,,,,
cost of fund,,,,,,,,,,,,,9.15%,8.83%,8.88%,9.17%,8.69%,9.00%,8.92%,8.77%,6.62%,6.70%,5.85%,5.97%,5.05%,6.43%,6.25%,5.92%,4.56%,4.83%,4.71%,4.48%,,4.67%,4.01%,3.94%,7.40%,4.27%,5.25%,6.76%,7.40%,7.46%,7.42%,7.73%,7.95%,7.64%,7.68%,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,10.12%,,9.65%,9.47%,8.89%,9.88%,9.32%,9.41%,7.90%,8.07%,7.96%,7.67%,,7.64%,6.99%,6.65%,10.33%,6.73%,7.58%,9.88%,10.33%,10.66%,10.88%,11.35%,11.48%,11.28%,10.36%,10.31%,10.48%,10.16%,9.86%,9.84%,9.38%,8.26%,7.42%,6.90%,7.35%,7.79%,8.87%,10.01%,10.70%,10.44%,11.53%,11.29%,,,,
net interest spread,,,,,,,,,,,,,2.71%,2.97%,2.75%,2.84%,2.50%,2.82%,2.44%,2.60%,3.55%,4.10%,4.78%,4.16%,3.77%,3.39%,3.75%,3.77%,3.72%,3.50%,3.32%,3.62%,,3.39%,3.49%,3.43%,2.74%,3.85%,3.65%,3.55%,2.74%,2.94%,2.95%,,,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,312.00,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,17.97%,20.47%,19.10%,18.21%,15.22%,16.56%,15.72%,14.58%,16.89%,13.87%,12.50%,14.22%,15.35%,0.76%,10.46%,10.71%,10.57%,6.54%,10.69%,9.00%,,9.20%,13.26%,12.38%,11.69%,9.03%,12.45%,10.72%,11.69%,6.84%,10.43%,10.44%,11.04%,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.79%,77.07%,78.04%,77.56%,80.69%,79.57%,80.21%,81.22%,77.99%,74.41%,74.64%,75.05%,81.90%,82.81%,,,,,90.47%,88.40%,87.79%,,,,
