,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
total operating income,,,,,,,,,,,,,,,,,,"159,607",,,,"298,627","585,376","913,345",,"303,283","667,254","1,004,992","1,409,528","386,659","789,157","1,192,528","2,235,244",,"928,554","1,519,447","2,154,987","608,554","1,202,631","1,753,746","2,431,223","700,279","1,418,927","2,112,892","2,989,240","1,032,040","1,885,646","805,802,060","1,025,324,651","951,308,748","941,846,540","1,079,662,630","862,232,562","1,199,351,279","1,131,315,264","1,329,143,270","1,391,315,783","1,731,384,252","1,500,594,151","1,533,297,696","1,650,360,133","1,653,943,893","1,731,764,225","1,815,760,994",,,,
staff expenses,,,,,,,,,,,,,,"20,837","40,397",,"81,689","28,825","51,303","77,035","108,814","39,753","69,215",3.6,"144,227","42,299","78,999",3.6,"165,209","53,994","108,154",3.6,"247,877",,"145,059",3.6,"297,663","107,561","213,739","327,297","411,296","114,353","251,409","364,311","517,684",,,"202,241,297","314,182,677","251,031,244","267,444,785","276,847,144","143,841,040","292,465,861","275,890,653","336,839,630",4.36,"413,898,360","446,470,016","469,611,972","481,576,023","478,912,913","457,301,267","486,594,623",,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"439,564,948","657,836,847","494,615,026","482,268,607","581,059,153","51,933,120","744,277,320","466,019,206","830,919,337","208,154,426","930,965,322","781,981,085","489,645,529","873,900,013","677,296,890","533,468,741","588,345,820",,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,,"59,123","110,359",,"198,354","52,745","72,237","100,437","222,974","67,057","100,975","228,585",,"103,787","236,461","304,056","561,269","110,343","279,872","457,883","723,890",,"418,483","728,893","1,101,302","340,651","611,993","869,120","1,208,652","320,215","616,412","988,971","1,405,557",,,"300,936,111","446,320,178","351,051,018","346,790,569","408,519,156","39,293,347","523,211,764","383,150,146","682,537,099","755,083,311","688,376,381","560,159,374","345,583,383","653,576,049","475,033,600","376,585,003","401,207,642",,,,
capital fund to rwa,,,,,,,,,,,,,,10.49%,15.98%,,15.31%,16.30%,16.47%,16.33%,15.58%,13.30%,12.56%,4.1,13.33%,10.55%,13.69%,4.1,13.64%,12.49%,12.26%,4.1,13.45%,,12.39%,4.1,13.77%,13.42%,13.37%,13.83%,16.99%,16.11%,15.18%,15.80%,15.64%,15.67%,13.72%,,13.37,12.93,12.96%,14.37%,15.73,14.54,13.84,13.98,14.0,13.12,13.66,13.73,,12.56,12.01,12.04,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,0.98,0.99%,0.97%,1.46,1.43,2.42,1.83,2.77,1.91,1.87,1.72,,2.89,2.99,3.98,,,,
total loan loss provision to npl,,,,,,,,,,,,,,331.84%,481.95%,,165.83%,65.76%,69.18%,75.28%,99.71%,104.00%,66.04%,4.3,109.76%,88.42%,108.57%,4.3,101.62%,101.63%,129.63%,4.3,156.23%,,113.99%,4.3,169.57%,144.21%,152.14%,133.64%,161.43%,135.31%,,155.64%,174.30%,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,,,,8.80%,9.78%,,9.60%,9.56%,9.40%,8.62%,7.74%,6.44%,6.21%,4.4,6.72%,6.44%,5.64%,4.4,5.24%,4.58%,4.55%,4.4,5.00%,,4.45%,4.4,4.30%,4.34%,5.20%,7.10%,11.17%,8.02%,8.16%,8.35%,8.45%,8.74%,8.21%,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,8.92%,4.6,9.72%,,7.88%,4.6,8.16%,7.59%,7.46%,4.6,7.30%,,7.27%,4.6,6.05%,7.02%,7.78%,10.03%,11.17%,10.72%,11.02%,11.15%,11.78%,11.47%,10.79%,,10.52,10.75,10.35%,9.88%,9.04,8.81,8.25,7.44,7.55,8.11,9.08,9.81,,11.14,11.39,11.14,,,,
net interest spread,,,,,,,,,,,,,,,,,,,,,,,5.81%,5.2,4.82%,4.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,17.68%,10.30%,,,,,,,,8.48%,5.3,14.97%,16.72%,18.08%,15.11%,19.08%,15.39%,18.43%,18.99%,19.20%,,20.82%,5.2,22.92%,21.66%,19.47%,17.77%,17.17%,13.94%,12.87%,,13.92%,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,89.67%,87.39%,,82.38%,72.08%,71.70%,,,79.79%,78.28%,4.5,72.05%,75.72%,75.46%,4.5,74.98%,76.61%,78.77%,4.5,74.74%,,76.92%,4.5,77.74%,77.40%,79.40%,67.19%,77.34%,76.55%,77.60%,78.38%,77.87%,79.62%,78.86%,,76.79,78.41,77.58%,78.78%,70.76,73.5,72.91,78.13,77.42,87.39,89.69,90.69,,86.86,86.94,86.86,,,,
