Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"916,034","895,138","905,887","692,158","1,394,062","1,445,748","1,596,478","2,576,222                     1,596,478                      926,488",,,,"2,592,244                      2,658,712","2,514,985","2,501,141                        2,514,985","2,561,549",,,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,236,414","1,313,298","1,510,211","1,664,734","1,631,466","1,674,673","1,626,223","1,645,731                     1,626,223                   1,299,036","1,640,275                      1,645,731                    1,631,466","1,677,249                       1,640,275                     1,674,673",,"1,708,480                      1,649,017","1,684,792","1,947,163                        1,684,792","1,832,434","1,784,480",,,,,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,313,957","8,728,219","9,660,579","10,667,342","11,081,559","11,093,223","12,976,584","14,551,775                   12,976,584                   7,787,773","17,798,752                    14,551,775                  11,081,559","18,749,980                     17,798,752                   11,093,223",,"19,212,118                    19,216,813","18,619,733","18,760,871                      18,619,733","18,675,817","19,727,837",,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"164,746","300,382","440,378","585,132","166,999","282,560","429,619","633,670","164,838","297,415",,"659,808","171,906","330,937","507,599","481,673","32,189",-,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"409,102","410,335","419,790","422,998","440,107","423,867","413,192","437,113                        413,192                      417,822","436,624                         437,113                       440,107","433,441                          436,624                        423,867",,"437,177                         422,147","445,372                              437,177                             436,624","510,054                           445,372","518,775                           510,054","591,928",,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"234,426","226,793","226,366","199,718","192,550","175,600","146,730","143,438                        146,730                      199,718","136,938                         143,438                       192,550","132,456                          136,938                        175,600",,"120,190                         130,700","119,519                              120,190                             136,938","119,519                           119,519","87,679                           119,519","87,019",,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,790,448","9,924,652","10,260,090","11,143,553","11,836,569","8,993,303","11,929,492","10,907,471","13,954,984","13,915,643",,"6,460,712","13,342,387","6,449,462","9,754,898                        6,449,462","12,912,279","16,885,318","23,448,145",,,,,,,,,,,,,,,,,,,,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,081,114","2,308,101","3,557,628","5,060,439","1,130,223","2,650,233","4,154,818","6,349,743","1,566,952","3,309,407",,"7,562,262","2,036,715","4,248,797","6,606,328","5,932,908","1,244,998","3,167,249",,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"484,625","921,489","1,354,653","1,743,980","431,033","839,870","1,247,122","1,658,478","392,573","763,093",,"1,728,360","642,689","1,308,468","2,013,840","2,831,226","907,689","1,835,350",,,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,932,908","1,244,998","3,167,249",,,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,143","100,044","160,719","257,577","52,417","129,480","185,343","254,453","63,993","183,541",,"376,106","206,163","353,510","652,737","763,905",,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,897","158,389","251,360","361,556","79,175","156,873","250,473","403,943","107,214","216,315",,"414,637","94,168","192,708","292,003","20,118","133,886","280,294",,,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,319","48,981","108,478","14,989","30,319","47,914","19,893","34,592","18,521","49,499",,"121,512","48,084","75,281","124,437","183,797",,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,118","1,443,053","3,994,362",,,,,,,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"444,936","952,022","1,704,405","2,437,221","472,767","1,043,125","1,525,902","2,182,252","540,894","1,125,391",,"2,356,203","612,360","1,220,199","1,772,620","2,464,887",,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"164,746","300,382","440,378","585,132","166,999","282,560","429,619","633,670","164,838","297,415",,"659,808","171,906","330,937","507,599","553,353","174,228","275,620",,,,,,,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,563,422",,,,,,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"320,941","154,335","278,855","380,287","465,653","461,929","415,171","629,315","69,568","271,355",,"251,357","292,916","238,327","318,915","481,673",,,,,,,,,,,,,,,,,,,,,,,
"Operating Profit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,094","222,888","230,916","513,201","10,734","438,063","782,515","1,735,412","1,189,443","1,193,213",,"1,248,913","473,014","494,928","507,899","522,432",,,,,,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"320,941","154,335","278,855","380,287","465,653","461,929","415,171","629,315","69,568","271,355",,"251,357","292,916","238,327","318,915","481,673",,,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,217,802",,,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,237,920",,,,,,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,"118,974","185,926","382,050","133,041","216,131",,"362,900","111,008","185,035","290,614","24,017",,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,399,718",,,,,,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.40%,61.87%,68.75%,65.38%,65.05%,64.97%,68.08%,66.16%,66.16%,75.89%,,70.79%,69.84%,75.30%,76.48%,69.63%,7.79,8.77,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28%,4.78%,4.58%,7.80%,7.83%,9.11%,9.55%,11.41%,12.12%,12.21%,,15.61%,16.59%,16.41%,18.02%,17.60%,23.92%,15.98%,,,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48%,,,,,,,,,,,,,,2.78%,2.74%,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Yield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85%,7.44%,7.51%,7.56%,6.78%,7.46%,7.52%,7.95%,7.61%,7.99%,,8.96%,8.91%,9.34%,9.87%,9.93%,,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49%,3.27%,3.27%,2.33%,2.36%,2.16%,2.11%,1.98%,1.88%,1.96%,,1.97%,2.77%,2.94%,2.97%,2.99%,3.84%,3.58%,,,,,,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36%,4.17%,4.91%,4.89%,4.91%,4.85%,4.87%,4.89%,4.94%,4.97%,,4.98%,4.97%,4.98%,4.99%,4.99%,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.40%,61.87%,68.75%,65.38%,65.05%,64.97%,,,,,,,,,,,71.09%,71.47%,,,,,,,,,,,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.48,39.92,33.87,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.65%,34.96%,27.26%,,,,,,,,,,,,,,,,,,,,,
Return on Total Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.92%,19.69%,12.92%,13.88%,43.40%,45.38%,41.97%,56.53%,75.53%,55.39%,,35.25%,31.90%,26.70%,26.88%,25.86%,,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.27%,7.10%,7.86%,7.21%,6.79%,6.35%,6.27%,6.13%,6.00%,6.32%,,6.29%,6.90%,6.93%,7.11%,7.03%,7.52%,6.06%,,,,,,,,,,,,,,,,,,,,,
