,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
net interest income,,,,,,,,,,,,,,,,,,"169,968",,"362,508","574,635","160,535","395,229","643,876","988,899","222,257","521,539","788,947","1,095,135","235,526","552,624","829,883","1,106,300","280,665","647,991","1,020,547","1,503,572","515,658","1,103,180","1,103,180","2,215,242","925,445","1,290,790","1,949,650","2,814,839","837,085","1,760,970","928,108,414","961,036,599","1,109,279,899","956,386,402","953,668,104","890,886,624","933,389,464","895,802,491","761,814,777","957,671,381","932,210,214","914,761,389","1,231,776,499","1,537,498,743","1,446,335,455","1,492,277,307","1,294,414,842",,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149,712,183","217,483,251","223,677,735","276,232,723","225,443,788","157,425,740","249,469,693","239,804,857","298,759,754","220,651,310","275,996,889","269,784,760","215,555,291","250,129,831","226,714,869","192,016,450","183,695,148",,,,
total operating income,,,,,,,,,,,,,,,,,,"197,291",,"477,831","753,480","229,005","549,638","858,818","1,258,882","304,370","679,897","1,022,050","1,403,731","323,240","734,704","1,112,225","1,493,267","388,615","871,226","1,383,818","2,060,220","679,680","1,445,556","1,449,000","2,894,500","708,070","1,691,782","2,552,160","3,661,798","1,118,415","2,301,900","1,150,312,177","1,288,622,977","1,391,228,864","1,335,385,415","1,257,221,300","1,115,523,244","1,273,798,360","1,242,521,101","1,195,716,648","1,384,410,387","1,418,784,165","1,319,203,577","1,504,117,633","1,787,997,546","1,725,622,006","1,759,638,498","1,549,962,677",,,,
staff expenses,,,,,,,,,,,,,,,,,,"48,857",,"139,175","194,357","55,879","103,103","155,974","218,546","69,108","124,247","187,728","263,898","71,952","131,549","196,122","271,911","89,063","162,300","244,315","354,752","112,238","207,943",,"400,900","400,400","312,843","473,687","698,315",,,"273,399,315","339,570,121","365,181,294","348,622,720","274,120,029","398,839,300","420,101,207","376,684,982","344,946,051","396,367,290","451,895,128","433,390,326","460,443,071","556,060,269","520,795,322","466,402,308","292,725,234",,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"627,507,766","872,844,849","650,804,569","709,934,157","2,322,212","640,812,586","558,577,705","831,420,330","362,414,300","671,221,478","531,940,427","494,836,836","765,473,139","938,679,164","245,752,556","667,983,452","782,347,328",,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,,,,,,"34,778",,"79,452","146,617","44,943","126,295","218,433","319,189","93,235","205,830","272,736","308,014","95,025","260,451","337,239","474,390","117,802","363,954","588,171","951,754","253,116","609,709","609,709","1,188,806","209,142",,,"1,331,155",,,,,,,,,,,,,,,,,,,,,,,
capital fund to rwa,,,,,,,,,,,,,,,,,,13.57%,,12.87%,12.75%,10.55%,11.16%,11.30%,11.89%,10.68%,11.28%,11.32%,11.71%,11.75%,11.39%,10.76%,11.18%,10.77,11.27,11.00,11.98,11.91,12.17,12.89,15.23,14.32,14.42,14.57,14.42,12.99,13.04,12.11%,13.39%,12.99%,15.34%,14.67%,14.80%,14.48%,14.74%,14.11%,13.94%,12.79%,12.85%,12.99%,12.60%,12.77%,12.82%,13.23%,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37%,1.03%,1.27%,1.69%,1.32%,1.86%,1.58%,1.06%,1.94%,1.38%,1.13%,1.41%,1.37%,1.40%,2.94%,3.36%,3.62%,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,,,,,,,,9.99%,,9.53%,9.34%,7.16%,6.68%,6.48%,6.49%,6.47%,6.03%,5.74%,5.61%,4.82%,4.68%,4.71%,5.15%,5.09,4.92,4.68,4.52,4.36,4.60,5.22,6.00,7.30,7.32,7.40,7.47,7.70,,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,9.50%,10.21%,10.29%,9.85%,8.98%,8.72%,8.62%,8.30%,7.48%,7.87%,8.36%,7.99,7.45,6.86,6.86,6.79,7.57,9.47,11.19,10.821,10.96,11.34,11.39,10.97,10.63,10.43%,10.32%,9.97%,9.99%,10.02%,8.95%,7.80%,7.29%,7.23%,6.70%,8.40%,8.94%,10.11%,10.01%,10.94%,11.62%,11.34%,,,,
net interest spread,,,,,,,,,,,,,,,,,,4.44%,,3.10%,3.43%,4.05%,3.95%,4.03%,4.66%,3.51%,4.38%,4.25%,4.45%,4.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,,6.44%,,4.76%,6.40%,8.26%,11.22%,12.42%,12.96%,14.59%,15.41%,13.34%,11.18%,12.82%,16.78%,14.10%,14.04%,13.32,18.13,18.01,15.49,15.83,18.05,15.44,12.71,8.44,11.58,11.99,11.85,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.54,76.74,78.64,77.90,75.47,77.56,76.02,79.73%,75.57%,78.06%,74.54%,76.37%,71.30%,76.32%,77.18%,78.63%,80.62%,84.65%,89.57%,91.86%,86.30%,89.80%,85.82%,87.10%,,,,
