,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
net interest income,,,,,,,,,,,,,,,,,,"169,968",218182,"362,508","574,635","160,535","395,229","643,876","988,899","222,257","521,539","788,947","1,095,135","235,526","552,624","829,883","1,106,300","280,665","647,991","1,020,547","1,503,572","515,658","1,103,180","1,627,428","2,215,242","925,445","1,290,790","1,949,650","2,814,839","837,085","1,760,970",928108.414,961036.599,1109279.899,956386.402,953668.104,890886.624,933389.464,895802.491,761814.777,957671.381,932210.214,914761.389,1231776.499,1537498.743,1446335.455,1492277.307,1294414.842,,,,
net fee and commission income,,,,,,,,,,,,,,,,,,"9,423",42191,"44,377","70,445","26,139","56,497","75,084","94,947","28,402","57,970","84,873","104,095","32,861","58,590","87,363","119,378",280665,57147,92112,162273,40688,91375,145474,218176,62910,145538,205319,297983,192960,340631,149712.183,217483.251,223677.735,276232.723,225443.788,157425.74,249469.693,239804.857,298759.754,220651.31,275996.889,269784.76,215555.291,250129.831,226714.869,192016.45,183695.148,,,,
total operating income,,,,,,,,,,,,,,,,,,"197,291",291699,"477,831","753,480","229,005","549,638","858,818","1,258,882","304,370","679,897","1,022,050","1,403,731","323,240","734,704","1,112,225","1,493,267","388,615","871,226","1,383,818","2,060,220","679,680","1,445,556","2,136,793","2,894,500","708,070","1,691,782","2,552,160","3,661,798","1,118,415","2,301,900",1150312.177,1288622.977,1391228.864,1335385.415,1257221.3,1115523.244,1273798.36,1242521.101,1195716.648,1384410.387,1418784.165,1319203.577,1504117.633,1787997.546,1725622.006,1759638.498,1549962.677,,,,
staff expenses,,,,,,,,,,,,,,,,,,"48,857",92675,"139,175","194,357","55,879","103,103","155,974","218,546","69,108","124,247","187,728","263,898","71,952","131,549","196,122","271,911","89,063","162,300","244,315","354,752","112,238","207,943",327716,"400,900","400,400","312,843","473,687","698,315",285559,532822,273399.315,339570.121,365181.294,348622.72,274120.029,398839.3,420101.207,376684.982,344946.051,396367.29,451895.128,433390.326,460443.071,556060.269,520795.322,466402.308,292725.234,,,,
operating profit,,,,,,,,,,,,,,,,,,"50,970",31214,"60,690","119,779","36,588","102,228","192,567","343,838","86,985","188,424","273,879","402,668","140,758","264,517","308,932","407,071",158906,405091,647051,952360,304946,820577,1208445,1609023,252615,842355,1202429,1757763,487174,1174379,627507.766,872844.849,650804.569,709934.157,2322.212,640812.586,558577.705,831420.33,362414.3,671221.478,531940.427,494836.836,765473.139,938679.164,245752.556,667983.452,782347.328,,,,
non operating income expense,,,,,,,,,,,,,,,,,,"11,494",-,94,106,-,-,83,"3,567",62,"1,674","1,709","2,489",288,46,"3,114","2,823",31,708,"1,145","1,359","20,468","24,230","23,741","44,154","4,944","15,980","18,095","27,375","96,180","155,338",1175.951,-46078.434,3300,675.533,2519.198,-774.34,-,-,-65760.866,-,636.442,1270.636,7850.499,16321.139,6710.246,1468.126,-12944.094,,,,
profit for the period,,,,,,,,,,,,,,,,,,"34,778",38549,"79,452","146,617","44,943","126,295","218,433","319,189","93,235","205,830","272,736","308,014","95,025","260,451","337,239","474,390","117,802","363,954","588,171","951,754","253,116","609,709","867,234","1,188,806","209,142",595563,957119,"1,331,155",338643,819686,440078.601,496738.545,457873.198,497426.783,137.89,460148.025,391004.394,581994.231,207657.404,401591.301,372803.808,324236.952,542854.014,888213.652,176723.962,454366.105,538582.263,,,,
capital fund to rwa,,,,,,,,,,,,,,,,,,13.57%,13.06,12.87%,12.75%,10.55%,11.16%,11.30%,11.89%,10.68%,11.28%,11.32%,11.71%,11.75%,11.39%,10.76%,11.18%,10.77,11.27,11,11.98,11.91,12.17,12.89,15.23,14.32,14.42,14.57,14.42,12.99,13.04,12.11%,13.39%,12.99%,15.34%,14.67%,14.80%,14.48%,14.74%,14.11%,13.94%,12.79%,12.85%,12.99%,12.60%,12.77%,12.82%,13.23%,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,3.8,3.81,4.01,3.03,2.12,2.94,3.74,3.74,3.11,2.91,3.62,4.51,4.25,3.97,3.77,2.9,2.69,2.3,2.28,1.24,1.69,1.4,1.5,1.37,1.49,1.65,1.45,1.28,1.12,1.26,1.37%,1.03%,1.27%,1.69%,1.32%,1.86%,1.58%,1.06%,1.94%,1.38%,1.13%,1.41%,1.37%,1.40%,2.94%,3.36%,3.62%,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,113.44,99.31,91.07,98.59,127.83,114.51,92.87,97.64,101.84,113.63,106.34,100.11,100.57,102.08,113.26,127.31,130.82,136.56,122.13,160.81,125.52,142.41,136.45,148.33,141.63,114.72,127.19,144.75,171.05,153.66,144.6,168.53,148.36,111.61,203.07,131.72,155.01,208.12,119.59,162.51,189.21,153.85,160.51,162.54,104.66,95.87,83.56,,,,
cost of fund,,,,,,,,,,,,,,,,,,9.99%,9.54,9.53%,9.34%,7.16%,6.68%,6.48%,6.49%,6.47%,6.03%,5.74%,5.61%,4.82%,4.68%,4.71%,5.15%,5.09,4.92,4.68,4.52,4.36,4.6,5.22,6,7.3,7.32,7.4,7.47,7.7,7.55,7.52,7.33,7.12,7.14,7.27,6.55,5.72,5.14,4.98,4.69,6.3,6.76,7.79,7.92,8.54,9.07,8.79,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,9.50%,10.21%,10.29%,9.85%,8.98%,8.72%,8.62%,8.30%,7.48%,7.87%,8.36%,7.99,7.45,6.86,6.86,6.79,7.57,9.47,11.19,10.821,10.96,11.34,11.39,10.97,10.63,10.43%,10.32%,9.97%,9.99%,10.02%,8.95%,7.80%,7.29%,7.23%,6.70%,8.40%,8.94%,10.11%,10.01%,10.94%,11.62%,11.34%,,,,
net interest spread,,,,,,,,,,,,,,,,,,4.44%,3.66,3.10%,3.43%,4.05%,3.95%,4.03%,4.66%,3.51%,4.38%,4.25%,4.45%,4.63%,4.79,4.31,4.3,4,4.2,4.2,4.42,4.69,4.46,4.43,4.27,4.24,4.2,4.05,4.15,,4.31,4.37,4.44,4.5,5.14,4.86,4.37,4.33,4.1,3.68,4.03,2.46,2.9,3.57,4.37,4.13,4.01,4.15,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,639,,,396,331,263,244,230,245,215,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,,6.44%,3.53,4.76%,6.40%,8.26%,11.22%,12.42%,12.96%,14.59%,15.41%,13.34%,11.18%,12.82%,16.78%,14.10%,14.04%,13.32,18.13,18.01,15.49,15.83,18.05,15.44,12.71,8.44,11.58,11.99,11.85,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,0.77,0.4,0.52,0.69,0.77,1.01,1.17,1.21,1.28,1.44,1.23,1.03,1.22,1.53,1.31,1.26,1.19,1.72,1.68,1.61,1.62,1.85,1.69,1.63,1.09,1.57,1.61,1.58,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,75.59,76.14,75.6,72.81,79.07,76.25,78.26,74.71,77.53,75.84,75.51,73.97,75.61,77.39,78.47,76.12,77.32,77.31,77.95,77.4,78.72,78.9,79.62,75.54,76.74,78.64,77.9,75.47,77.56,76.02,79.73%,75.57%,78.06%,74.54%,76.37%,71.30%,76.32%,77.18%,78.63%,80.62%,84.65%,89.57%,91.86%,86.30%,89.80%,85.82%,87.10%,,,,
