Particulars, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q3 2069, Q4 2069, Q2 2070, Q3 2070, Q4 2070, Q2 2071, Q3 2071, Q1 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Loans and Advances ,"11,831,565","12,376,193","12,795,118","12,514,232",,"12,616,380","13,526,517","14,415,393",,,,,,,,"29,200,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,"2,803,073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,"325,310",,"284,592",,,,,,,,,,"1,153,196",,"1,590.953","1,753,118",,"1,765,125","1,634,609","1,826,864",,,,,,,,,,,,,,,,,,,,
Business Complex & Residential Apartment Construction Loan,,,,"543,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,"127,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase & Plotting),,,,"1,813,049",,"1,755,843",,"1,770,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,"281,019","291,598","246,272","157,211",,"64,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,263,391",6*,,,"42,975,261","8,395,868","8,395,869","17,906,862"
Other Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"437,068,108","580,640,377","173,243,806","76,499,612","184,298,141","465,648,689","294,444,028","731,154,590",2*,"319,059,548","429,103,516","520,666,870","414,802,977","1,033,947,575","112,121,435","108,554,156","746,751,674"
-*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,799,466",,"2,799,466","2,799,466",1.43%,2.42%,1.83%,2.77%,1.91%,1.87%,1.72%,,2.89%,2.99%,3.98%
Interest Income,,,,"1,795,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,841,422,439",,,
Interest Expense,"288,221","568,952","876,666","1,236,322",,,,,,,,,,,,"1,498,682",,,,,,,,,,,,,,,,,,,,,,,,,,"10,959,079,993",,,
Net Interest Income ( 3.1-3.2),"134,806","278,996",4*,"558,910",,"215,016","360,841","574,460",,,,,,,,"1,268,743",,,,,,,,,,,,,,,,,,,,,,,,,,"1,446,769,571",,,
Other Operating Income,"3,579","7,061","10,856","65,121",,"5,249","10,874","71,927",,,,,,,,"180,653",,,,,,,,,,,,"153,465",,,,,,,,,,,,,,"177,136,458",,,
Foreign Exchange Gain/Loss,"3,784","8,508","12,098","13,283",,"12,263","16,544","23,092",,,,,,,,"98,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,"164,923","338,536",5*,"669,847",,"271,741","449,991","709,840",,,,,,,,"1,611,244",,,,,,,,,,,,,,,,,,,,,,,,,,"1,650,360,133",,,
Other Operating Expenses,"39,242","83,967","126,303","179,152",,"98,400","151,457","212,723",,,,,,,,"385,828",,,,,,,,,,,,"99,591",,,,,,,,,,,,,,"804,464,220",,,
Operating Profit before provision,"104,844","214,172",3*,"409,006",,"122,038","221,499","388,303","402,485","22,499",,,,"975,448","470,983","1,027,540","622,087",,,,"802,540","802,540","1,570,047",,"960,247","1,422,603","1,440,245",,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,"1,173","5,993","6,364","6,730",,"1,213","10,104","10,470",,,,,,,,"32,663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,"92,908","173,422",2*,"312,368",,"113,515","157,829","352,482","113,515",453.860,,"364,150",,,,"1,083,316","651,443",,,,4.392082,,"2,215,143",,"969,901","1,560,339","1,816,273",,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,"92,908","173,422",2*,"312,368",,"113,515","157,829","352,482",,,,,,,,"1,130,924","439,798",,,,"972,946",,,,,,"1,735,918",,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,"8,446","15,766","24,902","28,397",,"10,319","14,348","32,044",,,,,,,,"102,811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,"198,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,10.49%,15.98%,16.42%,15.31%,,16.47%,16.33%,15.58%,,,,,,,,13.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to NPL,331.84%,481.95%,450.36%,165.83%,,69.18%,75.28%,99.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.79%,6.38%,5.71%,5.85%,6.08%,7.05%,7.82%,,8.92%,9.22%,8.88%
Credit to Deposit Ratio ,89.67%,87.39%,,82.38%,,71.70%,,,,,,,,,,74.74%,,,,,,,,,,,,79.62%,,,,,,,73.50%,72.91%,78.13%,77.42%,87.39%,89.69%,90.69%,,86.86%,86.94%,86.86%
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81%,8.25%,7.44%,7.55%,8.11%,9.08%,9.81%,,11.14%,11.39%,11.14%
