,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
total operating income,,,,,,,,,,,,,,,,,,,"699,518","1,065,841","1,494,942","501,075","1,035,211","1,603,591","2,196,903","564,928","1,149,775","1,739,488","2,390,543","657,330","1,344,376",,"2,814,998","762,936","1,548,347","2,380,609","3,336,783","944,684","1,983,723","3,035,801","4,098,100",,,,"5,316,692","1,382,028",,"1,472,965,727","1,723,635,350","1,347,634,833","1,391,677,882",,"1,339,222,900","879,638,009","913,841,103","1,204,721,968","1,270,302,526","1,222,773,552",,,,,,,,,,
staff expenses,,,,,,,,,,"34,234","63,246","92,237","130,362","46,628","87,257","169,782","255,430","80,008","147,260","214,900","289,153","82,948","152,891","312,934","416,560","120,732","225,502","331,067","443,078","127,688","239,657",,"552,231","169,714","312,436","449,277","568,869","190,657","338,609","579,279","790,473",,,,"1,025,639","403,299","736,349","388,522,135","542,552,726","434,796,317","364,671,755",,"698,468,635","399,847,011","336,819,803","372,297,823","465,878,111","399,527,746",,,,,,,,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"698,289","1,434,347","776,934,047","936,670,736","627,859,147","793,627,742",,"150,199,877","288,667,714","453,597,019","537,822,202","106,486,090","547,556,430",,,,,,,,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,,,,3.123.13,3.123.13,3.123.13,"204,701","319,006","475,629","162,131","381,856","549,409","775,990","222,797","459,045","674,714","922,984","256,210","532,780",,"1,065,438","302,071","623,928","950,300","1,331,995","354,415","758,796","1,107,713","1,539,325",,,,"1,949,160",,,,,,,,,,,,,,,,,,,,,,,
capital fund to rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30%,14.01%,13.69%,12.98%,,15.44%,15.27%,14.60%,14.15%,13.93%,13.13%,13.28%,13.29%,13.32%,13.09%,12.66%,12.71%,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19%,0.20%,0.17%,0.17%,,0.23%,0.25%,0.19%,0.23%,0.23%,0.17%,0.14%,0.14%,0.15%,0.36%,0.47%,0.97%,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,4.14%,,,,,,,,5.36%,5.40%,5.49%,4.82%,4.60%,4.50%,4.44%,4.40%,4.25%,4.09%,3.99%,3.42%,3.23%,,3.17%,2.87%,2.70%,2.56%,2.55%,2.46%,2.53%,2.96%,3.54%,,,,5.45%,,,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,8.76%,9.31%,9.86%,9.66%,8.31%,8.02%,8.78%,8.17%,6.89%,,7.71%,6.47%,5.97%,5.55%,5.98%,6.08%,6.48%,8.21%,8.98%,,,,10.12%,,,9.73%,9.72%,9.94%,9.94%,,9.25%,8.37%,7.49%,7.46%,7.37%,8.11%,8.95%,,,,,,,,,
net interest spread,,,,,,,,,,,,3.13%,2.82%,3.07%,2.89%,3.04%,,,3.57%,3.33%,2.58%,3.98%,4.20%,4.30%,4.43%,4.44%,4.37%,4.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,22.02%,20.11%,15.34%,,,,,13.96%,14.37%,14.43%,19.99%,23.07%,21.55%,22.13%,22.86%,23.16%,22.64%,22.85%,22.02%,22.33%,,21.51%,21.29%,21.54%,21.47%,22.16%,20.36%,21.35%,20.41%,20.54%,,,,16.65%,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,,65.47%,68.72%,73.09%,80.05%,76.57%,79.89%,75.18%,74.67%,76.64%,76.40%,75.23%,78.17%,79.84%,,,74.82%,,,76.57%,79.51%,79.32%,,75.00%,,,,,,,75.58%,74.38%,78.58%,77.60%,,63.20%,66.33%,70.89%,76.98%,74.86%,95.08%,95.06%,95.35%,86.86%,84.57%,87.35%,81.37%,,,,
