,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
net interest income,,,,,,,,,,,,,,,,"473,439.51",3.13.2,"134,025.76",3.13.2,"470,120.27","711,960.49","188,469.30","487,921.94",3.13.2,"1,041,947.20","177,189.90","487,954.39","732,445.36",,"330,609.40","651,936.05","950,099.42","1,397,021.22","307,327.73","693,878.05",3.13.2,"1,588,504.83","380,251.03","808,157.85",3.13.2,"1,904,382.31","451,594.70","1,042,515.38","1,694,386.73","2,562,109.61","970,289","1,772,203","829,327,127",,,"1,104,104,928","1,176,247,632","1,276,953,103","1,550,836,633","1,364,214,101","1,491,370,467","1,545,689,811","1,401,886,760","1,362,339,079","1,870,911,076","1,844,300,371","1,885,328,037","1,651,721,915","1,935,523,218",,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146,680,858","97,642,736","150,718,360","593,294,709","206,041,086","236,369,668",,"381,825,927","243,653,371","222,822,525","164,791,879","369,955,273","189,550,553","233,930,037",,,,
total operating income,,,,,,,,,,,,,,,,"595,654.17",,"174,808.57","406,454.27","602,659.13","902,911.99","267,131.63","610,411.03","939,781.86","1,256,711.72","228,235.08","630,206.91","968,879.40",,"403,229.05","816,884.06","1,231,361.40","1,832,956.40","423,106.16","896,030.81","1,443,659.49","2,220,782.91","529,032.81","1,152,245.99","1,854,502.91","2,807,926.54","760,017.28","1,552,309.88","2,516,832.03","3,730,225.11","1,354,404","2,368,795","1,040,655,314",,,"1,323,122,359","1,374,735,263","1,512,342,403","2,251,953,395","1,681,154,191","1,904,727,365","2,024,336,368","1,967,566,963","1,695,522,772","2,203,276,828","2,092,070,425","2,350,025,526","1,930,930,579","2,270,353,065",,,,
staff expenses,,,,,,,,,,,,,,,,"52,704.48","854,397.33","22,846.51",43471.2,"64,389.34","90,820.48","20,773.98","48,346.77","73,989.74","111,019.81","31,758.08","58,999.83","87,344.88",,"44,776.55","82,783.50","122,928.48","171,702.20","47,335.83","85,984.90","128,857.41","204,356.56","67,236.45","124,417.24","185,959.56","281,130.48","99,349.01","179,166.75",,"388,407.60",,,"222,951,714",,,"232,955,360","289,963,481","300,672,360","359,898,840","400,379,565","424,522,899","404,234,388","457,046,018","362,978,006","450,706,326","434,224,317","506,649,701","422,062,752","472,352,103",,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"684,817,024",,,"911,230,609","1,042,579,522","373,897,614","1,447,651,712","1,145,419,424","1,440,885,249","665,259,305","1,409,011,959","1,000,735,377","1,490,138,170","1,337,071,340","1,252,341,981","1,110,023,278","1,161,578,436",,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,,,,,,"57,294.68","70,314.40",,"338,566.48","89,829.05",,"388,004.35","479,790.11","123,741.20",,"423,707.57",,"161,637.03","362,103.12","553,441.93","801,258.00","1,854,852.16",,"709,513.87","1,128,236.74","251,058.14",,"882,960.75","1,482,858.96","341,750.31",,,"1,892,038.67",,,"487,008,162",,,"641,019,567","729,887,775",,,,,,,,,,,,,,,,
capital fund to rwa,,,,,,,,,,,,,,,,16.01,16.48,14.04,14.02,14.04,14.85,13.16,12.70,12.91,13.82,12.23,12.15,12.27,,12.24,12.11,12.31,12.35,12.35,12.48,12.19,11.73,11.36,13.57,12.82,13.36,12.90,12.76,12.51,12.54,12.17,12.68,12.13,12.78,12.75,13.23,12.98,13.4,14.08,14.24,14.07,15.1,14.56,12.97,13.2,13.33,13.11,12.49,12.46,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,1.41,1.58,1.58,0.92,1.14,1.45,0.97,1.54,1.37,1.08,0.86,1.45,0.62,0.78,0.94,1.4,1.8,2.81,3.06,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.01,,,,144.24,,,,128.32,,,,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,,,,,,9.55,9.77,10.56,10.10,9.75,9.61,7.59,7.08,6.92,6.99,6.87,6.31,6.02,,4.81,4.68,4.62,4.68,4.76,4.52,4.23,4.33,4.23,4.48,4.98,8.15,8.22,8.16,8.53,8.04,7.80,8.29,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,10.19,10.01,10.08,,9.26,9.05,,7.85,7.69,7.61,7.62,7.45,7.20,6.93,6.97,6.93,,7.96,10.64,10.95,,11.10,10.47,10.39,10.17,10.2,10.03,9.67,9.45,9.85,8.62,8.12,7.85,7.14,7.21,8.27,8.98,9.68,9.99,10.91,11.34,11.01,,,,
net interest spread,,,,,,,,,,,,,,,,3.11,3.23,3.12,,3.09,3.55,3.48,2.99,3.18,3.30,2.83,2.93,,,3.45,3.50,3.17,3.43,2.59,2.93,3.11,3.34,2.85,2.79,2.90,3.45,3.53,3.49,4.28,4.23,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,16.55,17.13,9.11,,8.87,12.74,12.83,12.12,18.59,16.96,15.81,19.97,17.48,,17.18,18.81,18.7,19.94,19.59,20.55,20.18,23.04,17.98,17.52,17.96,19.96,14.21,14.35,16.10,17.18,,,,,,,,,,,,,15.68,13.14,13.64,13.36,12.29,11.9,11.5,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,1.66,1.8,1.76,1.69,1.56,1.54,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,87.05,79.67,78.37,78.30,79.37,72.51,79.80,78.75,77.95,69.10,76.31,79.19,77.43,,76.39,75.96,75.63,73.95,73.28,74.39,74.04,77.13,75.12,76.30,72.67,76.80,75.70,77.50,77.64,75.22,79.8,78.55,78.43,77.0,77.86,77.86,76.55,74.54,80.03,81.37,82.31,79.6,90.25,94.83,99.62,87.2,88.47,88.89,89.13,,,,
