,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
net interest income,,,,,,,,,,,,,,,,"456,470","684,917","166,836","334,840","546,937","819,079","211,802","431,489","693,616",,"157,634","351,795","587,127","835,450","179,779","434,110","670,690","897,989","177,914","464,706","750,480","1,175,433","262,524","555,043","813,786",,"356,747","821,671","1,341,692",,"699,840","1,314,992","716,030,104","793,653,430","924,037,629","909,519,986","934,935,705","882,457,021","1,317,511,766","1,196,288,688","1,330,006,772","1,409,759,771","1,291,610,557","1,344,418,111","1,811,387,135","1,967,743,121","1,983,908,777","2,284,799,059","3,256,443,592",,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,549,912","119,004,433","166,893,139","149,721,958","90,538,343","88,234,987","145,366,854","192,586,132","246,892,239","189,851,209","242,828,994","156,446,046","207,630,907","211,896,750","265,746,346","211,209,435","511,546,974",,,,
total operating income,,,,,,,,,,,,,,,,,"874,983","214,501","435,107","691,189","1,022,326","272,287","543,859","864,043",,"236,097","517,541","840,130","1,165,977","251,990","573,440","896,563","1,195,288","263,213","624,970","991,018","1,513,879","357,407","743,016","1,091,790",,"472,482","1,076,971","1,734,402",,"995,011","1,872,700",,,"1,193,042,648","1,152,468,391","1,151,625,690","1,053,177,461","1,619,320,221","1,643,845,675",,,"1,912,059,243","1,725,002,708","2,161,690,587","2,509,658,369","2,520,049,578","2,650,026,347","3,898,390,317",,,,
staff expenses,,,,,,,,,,,,,,,,"120,446","168,352","48,750","97,462","146,826","194,131","50,411","100,228","154,588",,"55,344","113,030","168,092","221,653","64,046","134,658","206,281","284,347","71,708","143,997","213,576","316,477","79,971","160,266","251,873",,"155,589","295,959","411,370",,,,,,"347,174,302","274,219,395","507,466,662","321,102,597","465,804,539","512,633,775",,,"692,716,364","588,422,477","689,088,584","389,991,056",,"651,072,201","568,170,071",,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"462,193,778","504,900,897","578,788,921","580,377,778","349,819,037","281,746,948","873,142,150","906,412,455","912,234,730","324,447,660","804,174,972","641,350,084","1,236,545,039","1,453,068,983","1,557,785,013","169,506,891","307,693,388",,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,,,,"181,430","276,817","42,326","25,131","85,964","275,622","19,965","97,116","168,244",,"46,463","61,775","192,389","340,909","32,836","181,674","251,348","352,734","48,682","210,194","354,984","740,111","137,436","279,352","375,897",,"112,096","480,206","705,676",,,,,,,,,,,,,,,,,,,,,,,,
capital fund to rwa,,,,,,,,,,,,,,,,13.73%,14.45%,13.43%,12.73%,12.72%,13.27%,12.78%,11.61%,11.61%,,11.92%,11.82%,11.73%,11.92%,11.29%,11.33%,10.98%,11.12%,11.34%,11.50%,11.53%,12.02%,11.33%,11.47%,11.45%,,15.25%,14.48%,14.09%,,12.98,12.81,12.73,12.07,11.57,11.52,13.06,14.42,14.93,14.91,13.98,13.71,12.14,11.69,12.18,12.98,13.7,12.73,12.9,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,1022.0,1.41,0.97,1.05,1.04,0.98,1.41,1.43,1.06,1.09,1.08,0.82,1.06,0.96,0.96,1.28,3.15,3.97,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,,,,,,9.46%,9.56%,8.83%,8.78%,8.61%,8.43%,7.02%,6.76%,6.60%,,6.55%,6.33%,6.17%,6.03%,5.03%,4.92%,4.91%,5.00%,4.89%,4.69%,4.50%,4.41%,4.38%,4.70%,5.32%,,7.75%,7.83%,8.67%,,7.91%,8.12%,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,9.92%,10.00%,,9.61%,9.01%,8.50%,8.86%,8.33%,8.05%,8.10%,8.66%,7.54%,7.09%,6.76%,7.15%,7.50%,8.07%,10.30%,,11.15%,11.17%,11.62%,,11.09,11.55,11.02,10.82,10.68,10.45,10.65,10.08,8.4,7.92,7.63,7.9,7.88,8.93,9.85,10.57,10.99,11.73,10.93,,,,
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37%,3.38%,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,12.80%,13.68%,7.75%,2.28%,6.93%,11.87%,10.62%,14.22%,14.25%,,12.14%,9.65%,11.57%,12.07%,11.34%,15.42%,12.99%,11.12%,11.26%,11.28%,14.21%,18.11%,21.30%,18.48%,17.31%,,5.15%,11.22%,10.71%,,12.7,11.72,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,1.52,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,81.22%,82.02%,77.64%,75.91%,75.63%,78.93%,77.07%,77.95%,,76.45%,74.79%,77.10%,77.37%,75.62%,77.65%,79.63%,74.66%,74.13%,75.35%,76.95%,74.31%,75.77%,77.37%,74.01%,,77.59%,76.82%,78.69%,,79.91,78.07,78.59,78.32,79.8,78.61,79.8,75.85,75.31,76.15,81.23,81.01,92.13,95.55,91.77,85.12,88.95,89.58,89.69,,,,
