Particulars, Q1 2068, Q2 2068, Q3 2068, Q1 2070, Q4 2070, Q2 2071, Q3 2071, Q1 2072, Q2 2072, Q4 2072, Q1 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q2 2073.PDF
Net Profit/Loss ,,,,,,,,,"147,343","810,181","810,181",,"1,232,738","1,511,386","477,098","1,055,111","1,477,606",,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,12.68%,,,,,11.09%,11.37,11.08%,13.73%,13.57%,13.82%,13.79%,13.03%,12.88%,15.78%,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,0.40%,1.69%,1.74%,1.87%,1.68%,1.64%,1.66%,1.24%,1.15%,0.93%,,,,,,,,,,,,,,,,,,,
Average Yield,,,,,,,,,,,,,8.54%,,10.50%,10.89%,10.89%,11.06%,10.83%,10.90%,10.94%,10.97%,11.14%,11.14%,10.82%,9.31%,9.12%,8.84%,8.90%,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,7.52%,7.40%,7.32%,7.32%,7.19%,7.75%,7.16%,7.05%,5.94%,5.52%,5.38%,5.80%,5.36%,5.82%,6.15%,5.90%,8.07%,8.20%,8.35%,
Net Interest Spread,,,,,,,,,3.52%,4.38%,444%,3.93%,3.85%,3.91%,3.28%,,3.42%,3.54%,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,77.72%,,,,,,,,,,,,,,,,,,,
Earning Per Share(Annualized),,,,,,,,,,,,,,,,,,31.24,25.21,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,23.64%,22.37%,23.96%,28.28%,25.40%,24.19%,23.13%,27.33%,23.73%,21.87%,22.78%,27.52%,22.16%,24.61%,24.40%,27.99%,25.23%,25.40%,27.31%,
Return on Equity(Annualized),,,,,,,,,15.45%,19.29%,19.28%,17.73%,18.14%,17.11%,16.80%,18.61%,17.13%,16.11%,12.66%,13.30%,13.96%,15.54%,15.72%,12.46%,11.21%,13.49%,14.51%,15.15%,12.51%,17.50%,14.41%,14.59%,14.86%,13.31%,14.18%,13.17%,
Cost of Deposit,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,10.70%,10.11%,9.95%,9.86%,10.33%,10.12%,9.99%,8.95%,7.85%,7.40%,7.19%,7.33%,7.96%,8.58%,8.96%,9.38%,10.15%,10.68%,10.61%,
