,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
net fee and commission income,,,,,,,,,,19561,29534,34207,94325,"26,376","44,166","60,796",67518,"26,804","67,236",101083,177377,"71,479",118389,163784,"171,529",58997,"116,125","192,812",226361,57692,"116,623","174,542",300478,59766,112034,171984,332973,90975,168411,257528,410095,"121,447",202700,307217,"436,772",281552,510345,249097.444,347152.459,419812.154,358955.027,345740.841,239889.007,478877.426,405175.737,484366.886,340193.367,678805.184,385746.284,430008.701,497191.905,575199.852,448641.388,550554.086,,,,
total operating income,,,,,,,,,,130502,"265,178",446643,"708,391","239,611","445,839","647,181","858,986","216,117","418,722","633,335","1,250,269","390,322","825,045",1283079,"1,839,261","474,662","1,035,014","1,617,021","2,407,756",758297,"1,521,098","2,316,505","3,176,323","830,712","1,798,298","2,786,971","3,988,408","1,127,070","2,294,902","3,554,676","4,872,376","1,052,097","2,420,531","5,049,452","5,155,693","1,669,731","3,235,454",1743304.653,2057253.049,2217398.515,2601308.429,3092628.567,2861349.96,3405347.996,3108371.799,3410536.587,3228885.426,3491927.704,3500978.352,3235286.764,3906058.95,3972137.778,4238876.577,6085121.086,,,,
staff expenses,,,,,,,,,,25386,46911,72648,"100,257","32,396","61,032","97,299","155,004","37,413","69,624","108,670","225,211","67,619","124,575",192814,"289,775","91,949","168,049","248,495","377,602",150579,"272,142","419,005","633,791","201,249","354,703","507,343","671,382","278,568","414,199","613,919","810,236","265,518","506,988","770,066","1,006,705","454,071",835099,421341.42,424481.367,572117.851,668599.236,860642.943,533009.973,894785.171,848944.351,798091.333,886969.209,969541.746,931302.124,874098.481,939502.953,1027136.036,959698.27,1352226.505,,,,
operating profit,,,,,,,,,,66485,"36,696",108274,213187,"138,323","208,352","248,021",215791,"89,635","161,778",267618,455617,"108,956",336222,444807,"732,545","153,183","438,819","713,641",1057731,332232,"665,274","1,038,622",1272499,435928,1041041,1358344,1877030,545311,1191668,1990283,2759629,"396,548",1184974,1837606,"2,785,461",752925,1795893,941145.921,1322776.093,1073748.732,1406153.351,1506764.342,673447.14,1560413.719,2092669.438,2152195.132,964353.562,1672997.84,2306000.605,1490103.547,2229920.187,1637187.407,2292708.435,2248125.118,,,,
non operating income expense,,,,,,,,,,-,-,61,440,210,210,139,133,-,"3,148","3,127","5,929","22,769",232,232,291,30745,"78,350","30,908","49,617",159,334,322,"17,448","8,810","11,901","23,030","34,494","7,218","40,724","37,298","88,481","70,008","86,214","105,641","160,373","2,373",5778,9484.649,34691.563,3154.503,7246.191,7429.875,-54397.666,4585.295,6166.671,2023.57,1761.638,10175.292,21227.005,4829.718,-159689.69,1567.179,1277.041,1467.369,,,,
profit for the period,,,,,,,,,,42309,"23,352",68940,"105,190","87,890","132,454","157,743","226,316","57,040","104,952","172,292","353,050","83,825","244,906",361016,"552,487","271,428","532,806","727,373","1,027,148",223487,"541,898","812,441","1,010,970","311,892","761,160","1,040,986","1,408,914","420,004","917,768","1,492,170","2,083,664","346,785","961,023","1,461,093","2,164,075","533,451",1273901,674889.75,971071.135,784585.84,994484.947,1079541.534,429660.329,1105957.997,1465636.812,1571528.169,635016.21,1212388.348,1695683.772,1060448.75,1372499.097,1152154.696,1730463.879,1562389.878,,,,
capital fund to rwa,,,,,,,,,,10.6,11.51,10.77,11.49,10.74%,11.19%,11.21%,11.65,11.01,10.63%,10.52,12.68,11.10%,10.82,11.21,12.03%,11.15,11.50%,13.04%,13.13,12.89,13.06%,12.83%,12.98,12.86,12.47,12.78,12.41,11.95,11.87,12.28,12.2,10.97%,11.65,11.82,11.93%,11.27,11.3,12.02,12.39,12.02%,11.34%,11.13%,12.33%,12.42%,12.53%,13.13%,13.09%,12.57%,12.60%,12.55%,12.61%,12.69%,12.51%,12.67%,,,,
non performing loan to total loan,,,,,,,,,,0.13,0.13,0.18,0.82,0.74,2.39,2.88,2.52,2.76,2.89,1.89,1.54,2.2,2.1,2.3,1.64,2.59,3.22,2.82,2.26,2.88,2.57,2.55,2.19,1.98,1.64,1.93,1.87,1.71,1.61,1.53,1.57,1.57,1.61,1.29,0.69,1.05,0.75,0.76,0.55,0.84,1.21%,1.15,1.81,1.87,1.78%,1.63,1.46,1.66,1.16,1.47,1.23%,2.14,2.96,4,,,,
total loan loss provision to npl,,,,,,,,,,833.31,816.42,618.32,154.79,232.97,89.57,93.26,126.4,118.37,109.03,115.31,136.63,94.44,118.49,101.87,146.96,107.62,85.6,99.21,111,104.48,110.86,108.55,114.44,124.84,136.02,132.33,140.65,147.09,149.43,148.24,144.82,137.76,132.92,148.92,223.61,162.47,211.38,206.16,273.67,195.16,151.31%,168.09,138.32,148.59,143.90%,143.58,181.28%,153.22,204.87,167.25,202.84%,128.50%,98.97,88.95,,,,
cost of fund,,,,,,,,,,,7.58,6.71,7.48,8.67%,8.68%,8.80%,9.08,9.17,9.14%,8.59,8.5,6.82%,6.41,6.74,6.64%,6.03,5.05%,4.68%,4.84,4.13,4.20%,4.17%,4.19,3.72,3.06,2.93,5.14,3.19,4.05,5.37,7.09,7.23%,6.98,8.22,7.04%,7.32,7.57,6.97,7.18,7.13,6.79,6.84,6.21,5.39,5.12,4.64,4.66,5.02,6.16,6.99,7.48,8.17,8.72,8.62,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,9.58,9.64,9.98%,9.3,8.46%,8.21%,7.92,7.75,7.60%,7.46%,7.59,7.11,6.29,5.98,6.15,6.29,7.14,8.56,10.4,10.54%,10.31,11.68,10.55%,10.59,10.09,9.6,9.54,9.44%,9.64%,9.41%,8.42%,7.25%,6.76%,6.40%,6.60%,7.41%,7.99,8.95%,9.40%,10.19%,10.8,10.69%,,,,
net interest spread,,,,,,,,,,,,,3.42,3.89%,3.76%,3.57%,3.27,3.66,3.24%,3.48,4.16,4.16%,4.3,4.12,4.20%,-,5.96,5.77,5.34,4.75,4.64,4.24,4.11,4.48,4.69,4.63,4.52,4.24,4.14,4.93,3.36,3.25,4.12,2.98,4.86,,3.81,4.63,4.47,4.99,5.31,5.18,4.43,5.03,4.69,4.17,3.65,3.49,3.52,3.52,4.26,4.14,4.38,5.2,,,,
market share price,,,,,,,,,,510,,,,235,221,197,209,155,169,160,,252,400,513,432,,430,,695,690,528,445,479,520,315,480,515,513,423,428,388,386,315,311,290,318,270,255,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,7.59,6.47,21.85%,15.63%,12.22%,12.22,12.93,10.36%,12.21,13.57,9.08%,17.61,16.6,16.50%,25.15,22.07%,13.79%,15.93,13.53,13.56%,14.54%,13.68,16.22,18.77,16.5,16.01,18.24,18.88,19.03,16.88,11.86%,15.5,15.18,16.00%,18.24,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,0.63,0.61,1.98,1.52,1.63,1.26,1.21,0.93,1.06,1.13,0.78,1.41,1.37,1.38,2.62,2.46,1.65,1.63,1.39,1.66,1.57,1.42,1.67,1.94,1.64,1.54,1.77,1.81,,1.7,1.1,1.55,1.57,1.67,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,84.52,74.15,79.22,81.82,80.26,77.64,76.35,79.48,75.77,71.37,75.56,77.32,77.27,74.14,74.84,76.06,76.53,73.35,77.12,77.9,78.54,75.91,75.97,79.71,77.99,76.81,78.85,1847,78.85,72.44,76.8,77.7,15.29,75.35%,77.64,79.06,78.76,78.69,78.36,78.98%,79.69,73.18,72.52,73.64%,76.54,76.31,89.14,90.73,93.07,89.21,90.59%,98.97,87.17,,,,
