Particulars, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Other Operating Expenses,"164,746","300,382",4*,"585,132","166,999","282,560","429,619","633,670",1*,"297,415","659,808","171,906","330,937",5*,"681,824",,,,,,,,,,,,,,,,,,,
Operating Profit before provision,"132,166","343,659",3*,"898,249","221,335","818,944",1*,"2,568,331",6*,"1,572,863","3,730,145","958,174","2,010,693",3*,"4,563,422",,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,"8,094","222,888",2*,"513,201","10,734","438,063","782,515","1,735,412",1*,"1,193,213","1,248,913","473,014","494,928",5*,"522,432",,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,"369,399","516,980",4*,"1,349,117","612,832","1,543,656",2*,"4,576,542",1*,"2,848,397","4,710,150","1,494,153","2,512,411",3*,"5,217,802",,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,"371,770","537,243",4*,"1,411,022","631,764","1,606,150",2*,"4,689,041",1*,"2,917,806","4,947,553","1,498,605","2,525,424",3*,"5,237,920",,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,2*,,,,,"118,974","185,926","382,050",1*,"216,131","362,900","111,008","185,035",2*,"385,394",,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,,,,,"3,399,718",,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,,,,9*,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,5.28%,4.78%,4.58%,7.80%,7.83%,9.11%,9.55%,11.41%,12.12%,12.21%,15.61%,16.59%,16.41%,18.02%,17.60%,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,,,,,,2.90%,,,,,,,,,,,,,,,,,,,
Average Yield,,,,,,,,,,,,,,,9.93%,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,2.99%,,,4.11%,5.50%,5.22%,5.19%,4.91%,4.19%,3.97%,3.57%,3.42%,,,5.52%,5.79%,5.94%,6.92%,8.31%,7.19%
Net Interest Spread,3.36%,4.17%,4.91%,4.89%,4.91%,4.85%,4.87%,4.89%,4.94%,4.97%,4.98%,4.97%,4.98%,4.99%,4.99%,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,56.40%,61.87%,68.75%,65.38%,65.05%,64.97%,,,,,,,,,,71.09%,71.47%,74.32%,70.17%,68.63%,74.93%,73.65%,65.78%,66.54%,69.49%,75.55%,,,89.62%,90.36%,87.57%,85.14%,82.12%,77.74%
Earning Per Share(Annualized),,,,,,,,,,,,,,,37.48,39.92,3*,,27.15,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,42.27,,,,,,,,,,21.37,23.87,24.26,,,,,16.77,15.93,16.17
Return on Equity(Annualized),26.92%,19.69%,12.92%,13.88%,43.40%,45.38%,41.97%,56.53%,75.53%,55.39%,35.25%,31.90%,26.70%,26.88%,25.86%,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,7.03%,,,6.92%,7.98%,7.84%,7.82%,7.49%,6.99%,6.81%,6.19%,5.98%,,,6.92%,8.19%,7.99%,8.92%,9.90%,9.92%
