Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Assets ,,,,,,,,,,,,,,,"17,459,569",,,,"20,178,314",,,,,,,,,"58,951,807",,,"65,450,039","68,805,589",,"74,437,291",,,,,,"101,609,015","101,609,015","125,558,244",,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Bank Balance,,,,,,,,,,,"1,555,284",,,"1,925,883","1,412,453","1,386,007",,"2,095,658","1,661,122",,,"3,666,387",,"3,625,470","5,576,054",,"5,764,999","9,041,168",,,"6,843,944","5,973,267",,"8,456,556",,,,,,"8,190,762,","18,969,127","10,214,191",,"11,221,391","9,085,955",,,,,,,,,,,,,,,,,,,,,,,
Money at Call & Short Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,,,,"3,072,347",,,,,,,,,,,,,,,,,,,,,"17,080,845",,"22,007,323",,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,"11,898,069",,,"12,805,039","12,910,088","12,892,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,025,520","100,848,641",,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,"2,754,946",,,,"3,029,711","2,664,016",,2,"2,506,198",,,"2,762,532",,"2,431,226","2,287,240",,"1,829,727","1,845,053",,,"2,107,130","2,463,980",,"3,445,130",,,,,"3,464,260","3,464,260,","3,759,850","3,335,680",,"3,669,570","3,547,940",,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,"510,030","209,599",,"160,658","77,204",,,,,,,,,,,,,,,"635,490",,,,,,,4,,,,"1,217,100",,,,,,,,,,,,,,,,,,,,,,,
Business Complex & Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,"669,839",,,,,,,,,,,,,,,,,"383,730,","383,790,","313,240,","304,550,","289,450",,"282,550","282,370",,"316,562","316,530",,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,"150,000",,,,,,,,,,,,,"166,488",,,,"158,090",,"736,450",,,,,"459,180","495,130","414,700","405,770",,"309,547","281,890",,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase & Plotting),,,,,,,,,,,,,,,,,,"1,593,954","1,600,423",,,,,"1,638,389",,,,"940,461",,,,,,"1,500,940","1,701,950,","1,662,260,",,"1,524,720,","1,527,630",,"1,870,110","1,793,300",,"1,809,040,","1,732,420",,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,,,"468,048","452,870",,"385,393","319,267",,,,,"207,264","315,880",,"573,411","743,945",,,"437,450","825,110",,,,,,,"1,711,950","1,503,080","1,503,080","1,927,930",,"1,959,345",,,,,,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,,,,"905,513",,,,"947,629",,,,,,,,,,,,,,,,,,,,,"9,744,110","9,744,110","11,584,690",,,,,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,"1,591,968",,,,"1,593,277",,,,,,,,,,,,,,,,,,,,,,,"16,167,732",,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,,,,,"255,939",,,,"226,491",,,,,,,,,,,,,"903,197",,,,,,,,"987,507","1,030,475","1,104,140",,,,,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,,,,"117,457","221,807",,"98,595","98,595",,,"97,359","123,613",,"123,266",,,,,"121,373","142,294","144,690","144,690",,"141,202","91,917",,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,,,"302,027",,,,"360,846",,,,,,,,,"1,692,051",,,"1,282,227","1,917,707",,"1,154,361",,,,,,"2,417,127","2,508,605","2,944,588",,,,,,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,"1,601,452",,,,,,,,,,,,,,,"6,164,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"809,337",,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,,,,,"976,127","1,458,819",,,"1,047,078",,,,,"2,352,658","3,205,206",,"1,759,963","2,655,970",,,"2,294,772","3,448,960",,"586,744",,,,,,"3,009,010","5,050,508","2,692,313",,"2,656,291",,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,"409,166",,,,"622,418","941,831",,"369,224","743,191",,,"492,802",,"1,355,985","1,826,785",,"970,192","1,425,601",,,"1,140,766","1,718,055",,"587,949",,,,,"1,319,245","1,319,245,",,"1,985,569",,"1,184",,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,,"184,406",,,"176,595","353,709","516,988",,"165,690","303,887",,,"282,570",,"996,672","1,378,421",,"789,771","1,230,369",,,"1,154,006","1,730,905",,"586,744",,"2,073,595,",,,,"2,677,081","2,677,081","706,744",,"2,656,291","3,903,960",,,,,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,,"33,161",,,"28,086","32,585","47,967",,"9,739","22,779",,,"18,373",,"75,971","216,163",,"62,103","96,292",,,"173,302","269,122",,"98,180",,,,,"298,459","421,071","540,831","147,539",,,"442,397","161,093",,,,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,,,,,,,,,"13,884","24,820",,,"17,899",,"46,648","73,148",,"67,015","97,548",,,"77,167","141,936",,"86,022",,,,,"138,267","198,996","279,708","76,367",,"247,225","352,241",,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,,,,,,,,,,,"265,178",,,"239,611","445,839","647,181",,"216,117","418,722",,,"390,322",,"1,283,079","1,839,261",,"1,035,014","1,617,021",,,"1,521,098","2,316,505",,"828,465","1,792,852","2,786,971",,,"2,294,902","3,554,676","4,738,441","1,052,097",,"2,360,150,","5,155,693","1,669,731",,,,,,,,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,,,,,,,,,"61,032",,,,"69,624",,,,,,,,,"248,495",,,"272,142","419,005",,"198,291",,,,,,"613,919","810,236","265,518",,"770,066",,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,"61,223",,,"51,465","103,393","157,572",,"57,119","121,031",,,"85,396",,"289,243","485,099",,"238,783","371,407",,,"294,511","461,032",,"747,206",,,,,"418,101","644,688","935,861","224,356",,"818,328","1,005,992","257,964",,,,,,,,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,,,,,"157,043",,,"155,750","281,414","392,310",,,,,,,,,,,,"997,119",,,"954,445","1,436,468",,"477,773","480,284,","1,787,330,","2,457,024","699,062,","1,462,602","2,296,069","2,469,446","562,223","562,223","2,035,709","3,034,661",,,,,,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Operating Profit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,,,,,210,,139,,,"3,148",,,"22,769",,232,291,,"78,350","30,908",,,334,322,,"8,810",,,,,"40,724","37,298","88,481","70,008",,"105,641","160,373",2373,,,,,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,,,,,,,,,,,"36,696",,,"138,113","208,142","247,882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,509","5,375",,,,,,,,,,"1,680",,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,,,,,"36,696",,,"138,113","208,142","247,882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,,,,,,,,"3,336",,,"12,556","18,922","22,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"310,538",,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,,,,,"132,454","157,743",,,"104,952",,,,,,"552,487",,,"728,835",,,"542,858","814,306",,"313,565",,,,,"917,768","1,492,776","2,083,664","350,036",,"1,467,893",,,,,,,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,,,,,,,,,11.01%,10.63%,,,11.10%,,11.21%,12.03%,,11.50%,13.04%,,,13.06%,12.83%,,12.86%,,,,,11.87%,12.28%,12.12%,10.97%,,11.82%,11.93%,,,,,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,,0.13%,,,0.74%,,,,2.76%,2.89%,,,2.20%,,2.30%,1.64%,,3.22%,2.82%,,,2.57%,2.55%,,1.98%,,,,,1.61%,1.53%,1.57%,1.57%,,1.29%,,1.05%,,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Yield,,,,,,,,,,,,,,,12.44%,,,,12.38%,,,,,,,,,10.45%,,,10.09%,9.49%,,8.98%,,,,,,11.44%,11.89%,12.13%,,12.52%,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,8.68%,,,,9.14%,,,,,,,,,4.68%,,,4.20%,4.17%,,3.72%,,,,,,5.37%,7.09%,7.23%,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,,,,,,,,,3.89%,3.76%,3.57%,,3.66%,3.24%,,,4.16%,,4.12%,4.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.64%,,,,,,,,,,,,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share(Annualized),,,,,,,,,,,2.34,,,,.17.67,14.02,,,,,,.15.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,"5,584,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Net Assets (Annualized),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity(Annualized),,,,,,,,,,,,,,,15.63%,12.22%,,12.93%,10.36%,,,,,16.60%,16.50%,,22.07%,13.79%,,,13.56%,14.54%,,16.23%,,,,,18.88%,19.03%,16.88%,11.86%,,15.18%,,,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.40%,10.54%,,,,,,,,,,,,,,,,,,,,,,,,,,
