Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080,Bank
non operating income expense,,,,,,,,,,,,,,,5993.0,6364.0,6730.0,893.0,1213.0,10104.0,10470.0,2963.0,3480.0,7169.0,10300.0,391.0,9284.0,6611.0,8231.0,7514.0,23107.0,29511.0,32663.0,31643.0,100739.0,121071.0,143464.0,22834.0,20771.0,51876.0,57130.0,6901.0,20771.0,2653.0,2497.0,3954.0,8605.0,3994.601,17904.139,6886.428,14138.216,18573.043,72143.491,1084.278,107463.152,103241.813,90020.39,52424.058,4857.994,4051.138,54653.307,1712.302,4550.587,2718.091,,,,,Citizen Bank
profit for the period,,,,,,,,,,,,,,59123.0,110359.0,174313.0,198354.0,52745.0,72237.0,100437.0,222974.0,67057.0,100975.0,228585.0,399608.0,103787.0,236461.0,304056.0,561269.0,110343.0,279872.0,457883.0,723890.0,142780.0,418483.0,728893.0,1101302.0,340651.0,611993.0,869120.0,1208652.0,320215.0,616412.0,988971.0,1405557.0,463387.0,774364.0,300936.111,446320.178,351051.018,346790.569,408519.156,39293.347,523211.764,383150.146,682537.099,755083.311,688376.381,560159.374,345583.383,653576.049,475033.6,376585.003,401207.642,,,,,Citizen Bank
capital fund to rwa,,,,,,,,,,,,,,10.49,15.98,16.42,15.31,16.3,16.47,16.33,15.58,13.3,12.56,12.69,13.33,10.55,13.69,12.97,13.64,12.49,12.26,12.04,13.45,12.11,12.39,11.85,13.77,13.42,13.37,13.83,16.99,16.11,15.18,15.8,15.64,15.67,13.72,13.54,13.37,12.93,12.96,14.37,15.73,14.54,13.84,13.98,14.0,13.12,13.66,13.73,,12.56,12.01,12.04,,,,,Citizen Bank
non performing loan to total loan,,,,,,,,,,,,,,0.39,0.31,0.451,1.17,3.06,2.89,3.1,2.01,2.4,3.6,2.45,2.02,2.66,2.46,2.39,2.4,2.35,2.01,1.79,1.53,2.35,2.43,1.78,1.31,1.73,1.32,1.55,1.28,1.99,1.94,1.46,1.25,1.23,1.62,1.58,1.19,0.98,0.99,0.97,1.46,1.43,2.42,1.83,2.77,1.91,1.87,1.72,,2.89,2.99,3.98,,,,,Citizen Bank
total loan loss provision to npl,,,,,,,,,,,,,,331.84,481.95,450.36,165.83,65.76,69.18,75.28,99.71,104.0,66.04,99.85,109.76,88.42,108.57,100.83,101.62,101.63,129.63,143.24,156.23,109.93,113.99,140.75,169.57,144.21,152.14,133.64,161.43,135.31,134.2,155.64,174.3,171.23,140.09,144.99,168.98,196.15,193.96,190.89,176.16,166.69,100.57,120.03,97.19,122.93,124.01,142.93,,92.61,97.85,82.26,,,,,Citizen Bank
cost of fund,,,,,,,,,,,,,,8.8,9.78,10.38,9.6,9.56,9.4,8.62,7.74,6.44,6.21,6.38,6.72,6.44,5.64,5.32,5.24,4.58,4.55,4.7,5.0,4.82,4.45,3.95,4.3,4.34,5.2,7.1,8.0,8.02,8.16,8.35,8.45,8.74,8.21,8.54,8.58,8.3,7.94,7.79,7.19,6.79,6.38,5.71,5.85,6.08,7.05,7.82,,8.92,9.22,8.88,,,,,Citizen Bank
base rate,,,,,,,,,,,,,,,,,,,,,,,8.92,9.38,9.72,8.99,7.88,8.22,8.16,7.59,7.46,7.32,7.3,7.6,7.27,6.43,6.05,7.02,7.78,10.03,11.17,10.72,11.02,11.15,11.78,11.47,10.79,10.58,10.52,10.75,10.35,9.88,9.04,8.81,8.25,7.44,7.55,8.11,9.08,9.81,,11.14,11.39,11.14,,,,,Citizen Bank
net interest spread,,,,,,,,,,,,,,3.7,2.64,2.35,3.27,,,,,,5.81,5.25,4.82,4.99,6.59,6.03,4.99,4.82,4.71,4.47,4.13,4.06,4.17,4.39,3.96,3.88,3.49,3.95,3.19,3.62,3.23,3.74,3.84,,,3.64,3.15,4.16,3.69,4.05,4.03,4.4,4.08,3.86,3.59,3.53,3.11,3.71,,3.8,4.31,4.2,,,,,Citizen Bank
market share price,,,,,,,,,,,,,,,,,,164.0,,,,199.0,276.0,274.0,267.0,250.0,453.0,434.0,539.0,453.0,431.0,448.0,489.0,547.0,597.0,725.0,680.0,580.0,490.0,440.0,403.0,307.0,285.0,260.0,236.0,248.0,218.0,,,,,,,,,,,,,,,,,,,,,,Citizen Bank
return on equity,,,,,,,,,,,,,,17.68,10.3,,,,,,,,8.48,13.36,14.97,16.72,18.08,15.11,19.08,15.39,18.43,18.99,19.2,14.98,20.82,23.66,22.92,21.66,19.47,17.77,17.17,13.94,12.87,13.71,13.92,,,,,,,,,,,,,,,,,,,,,,,,Citizen Bank
return on total assets,,,,,,,,,,,,,,1.46,1.3,,,,,,,,0.89,1.21,1.51,1.42,1.62,1.36,1.7,1.28,1.53,1.5,1.72,1.3,1.8,2.03,1.99,2.28,2.05,1.9,1.28,1.85,1.75,1.84,1.94,,,,,,,,,,,,,,,,,,,,,,,,Citizen Bank
credit to deposit ratio,,,,,,,,,,,,,,89.67,87.39,83.91,82.38,72.08,71.7,,,79.79,78.28,76.91,72.05,75.72,75.46,77.63,74.98,76.61,78.77,75.75,74.74,78.53,76.92,77.95,77.74,77.4,79.4,67.19,77.34,76.55,77.6,78.38,77.87,79.62,78.86,78.48,76.79,78.41,77.58,78.78,70.76,73.5,72.91,78.13,77.42,87.39,89.69,90.69,,86.86,86.94,86.86,,,,,Citizen Bank
debt ratio,,,,,,,,,,,,,,10.27,10.19,6.08,4.72,0.87,1.7,0.7,0.43,0.2,0.38,2.23,1.27,2.81,4.48,1.31,1.39,1.18,2.09,0.87,2.14,5.35,1.17,5.33,2.0,2.58,2.51,1.21,2.28,4.7,3.05,4.92,4.12,4.07,5.09,,,,,,,,,,,,0.03,0.02,0.02,0.04,0.05,0.01,,,,,Citizen Bank
interest income to assets ratio,,,,,,,,,,,,,,2.62,4.98,7.24,10.52,2.67,4.96,7.57,9.73,2.46,4.44,6.32,8.35,2.01,4.08,6.04,7.46,1.88,3.56,4.9,6.56,1.67,3.44,4.58,6.15,1.57,3.13,5.01,7.31,2.25,4.3,6.39,8.82,2.65,5.1,2.34,2.59,2.48,2.39,2.37,2.12,2.17,1.94,1.69,1.86,2.02,2.07,2.22,2.49,2.65,2.69,2.76,,,,,Citizen Bank
interest income margin,,,,,,,,,,,,,,0.83,1.64,2.35,3.28,0.71,1.13,1.92,2.82,1.13,2.09,3.01,3.91,0.78,1.72,2.6,3.26,0.87,1.68,2.32,3.01,0.67,1.53,2.14,2.89,0.69,1.31,1.88,2.6,0.68,1.21,1.89,2.66,0.92,1.75,0.71,0.81,0.75,0.75,0.78,0.58,0.71,0.61,0.6,0.64,0.69,0.68,0.7,0.74,0.76,0.73,0.82,,,,,Citizen Bank
return on investment,,,,,,,,,,,,,,0.37,0.65,0.97,1.16,0.29,0.38,0.53,1.1,0.32,0.44,0.91,1.51,0.35,0.8,1.02,1.7,0.32,0.77,1.13,1.72,0.31,0.89,1.34,1.96,0.54,0.94,1.3,1.8,0.45,0.82,1.27,1.79,0.57,0.92,0.35,0.5,0.37,0.36,0.39,0.04,0.44,0.3,0.44,0.45,0.39,0.32,0.19,0.34,0.25,0.2,0.21,,,,,Citizen Bank
commission to operating income,,,,,,,,,,,,,,13.8,12.99,12.38,4.86,7.88,14.43,13.72,5.69,6.89,5.66,5.01,4.27,6.44,4.86,4.6,3.88,6.68,5.24,3.8,2.82,3.8,4.0,4.42,4.53,4.23,4.78,5.3,6.47,4.55,4.84,5.09,5.67,13.7,13.42,15.99,14.75,16.09,16.06,11.51,14.01,14.81,15.97,16.73,14.74,17.64,13.35,13.9,11.12,14.19,11.65,12.45,,,,,Citizen Bank
staff expense to income ratio,,,,,,,,,,,,,,12.63,11.93,11.51,12.2,18.06,18.88,17.12,15.33,13.31,11.82,11.07,11.53,13.95,11.84,11.77,11.72,13.96,13.71,13.78,11.09,16.86,15.62,14.7,13.81,17.67,17.77,18.66,16.92,16.33,17.72,17.24,17.32,24.29,25.65,25.1,30.64,26.39,28.4,25.64,16.68,24.39,24.39,25.34,19.83,23.91,29.75,30.63,29.18,28.96,26.41,26.8,,,,,Citizen Bank
net profit margin,,,,,,,,,,,,,,35.85,32.6,34.4,29.61,33.05,26.58,22.32,31.41,22.46,17.25,25.03,31.95,34.22,35.44,30.25,39.82,28.54,35.46,38.4,32.39,34.26,45.07,47.97,51.1,55.98,50.89,49.56,49.71,45.73,43.44,46.81,47.02,44.9,41.07,37.35,43.53,36.9,36.82,37.84,4.56,43.62,33.87,51.35,54.27,39.76,37.33,22.54,39.6,28.72,21.75,22.1,,,,,Citizen Bank
income tax portion of operating profit,,,,,,,,,,,,,,28.44,,,,,,,3.06,9.73,,,,42.86,42.86,42.86,23.22,42.86,42.86,42.97,,42.96,,0.12,0.36,40.04,1.25,,,,,3.77,0.01,,,,,38.03,0.01,42.94,5.97,14.21,16.64,19.5,29.57,23.71,32.76,37.83,7.45,,,,,,,,Citizen Bank
loan to deposit ratio,,,,,,,,,,,,,,95.47,98.83,92.28,92.85,79.76,80.93,88.47,83.06,88.63,86.04,84.33,78.95,83.07,84.42,86.93,82.87,84.34,85.89,82.59,81.61,86.29,83.82,85.28,85.6,86.91,88.97,86.06,91.21,91.65,91.58,92.76,94.4,91.71,93.09,95.27,91.66,95.77,94.08,98.72,91.51,86.51,85.88,88.82,86.79,91.4,93.11,93.87,88.42,89.89,89.09,88.61,,,,,Citizen Bank
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,3320963.0,3194561.0,3504515.0,3644846.0,3340210.0,3652226.0,3846306.0,4185782.0,3261974.0,3779076.0,4375384.0,4813778.0,4002759.0,4633125.0,5274461.0,5686669.0,4696945.0,5202468.0,6085632.0,6869602.0,6066040.0,5190960.075,5325987.259,5796006.031,6116985.95,6790001.798,5670966.635,6080706.759,5986630.811,6198834.933,6588789.341,6952623.632,7154346.379,7544894.397,6472136.45,7353753.114,7426425.805,13457609.7,,,,,Civil Bank
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,606428.0,627374.0,,,,,,,,,,,,,,,,,,,,,,Civil Bank
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,688450.0,192500.0,,1400033.0,,,,,,,1000000.0,,1350053.0,,40000.0,311405.0,1404500.0,,40000.0,,,,,,,,,,,,,,,,,,,2090265.961,,,,,Civil Bank
deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,59767196.0,62917185.0,64674848.0,68912484.0,67025508.0,68307233.0,73523334.0,77529981.0,81137740.0,80877838.0,87323146.0,93226213.0,91098628.0,92890828.0,92881114.0,96136781.0,92972795.0,96324191.0,99743045.0,102459114.0,106107324.0,108582107.1,109390482.2,115354807.5,112679085.0,116274482.6,125096979.3,128720746.5,129717593.5,132208163.9,140848614.8,142122886.1,165391999.0,165122544.8,168177158.5,170398206.9,175843875.9,264080419.5,,,,,Civil Bank
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,1702.0,,,92551.0,,,,40942.0,10266.0,,,130293.0,18642.0,,,92945.0,13962.0,,,,,126353.02,119344.357,167107.334,94312.58,270364.565,96016.544,100478.165,95362.284,109459.221,101754.246,104991.988,109229.927,104467.905,88759.997,41156.753,43497.127,28093.736,,,,,Civil Bank
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,2476402.0,3451171.0,2815559.0,2931477.0,3297058.0,3057707.0,3610648.0,3609990.0,3569671.0,3987007.0,3382423.0,3290081.0,3251567.0,3297543.0,3210023.0,3852708.0,3512730.0,3488907.0,3413374.0,5588057.0,8028416.0,2785105.278,2698182.324,2909460.164,3726389.021,3357343.036,3644360.056,3442622.983,3484216.313,3707990.235,3278372.724,3900373.787,4578958.325,4466150.377,5192330.623,5632895.309,6011156.042,8860198.251,,,,,Civil Bank
total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,70114713.0,73753417.0,74992922.0,80979391.0,78095476.0,79449866.0,84912988.0,89299395.0,93078796.0,93743066.0,101180098.0,107024722.0,106797969.0,107913120.0,108497222.0,113172132.0,111315061.0,113730095.0,117956580.0,123656730.0,129349410.0,132459875.5,133295794.2,144318003.6,142495930.1,147752172.1,156687158.9,162367083.0,165830015.8,172754542.5,179645363.0,190827854.1,209050305.0,219526002.6,217380413.6,213408793.8,215888088.0,336926047.9,,,,,Civil Bank
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,43957460.0,45715752.0,46449329.0,50548652.0,52944631.0,55500982.0,55428007.0,57494720.0,58997068.0,65288179.0,69100890.0,72183928.0,75567818.0,78083492.0,77654974.0,80788349.0,82757606.0,85456212.0,86846646.0,94240786.0,98836632.0,97857944.05,97593660.14,102447740.0,102450971.2,110963619.7,106651426.7,104380091.7,114541099.2,127129314.7,132060348.6,145224919.4,158475379.7,158267080.0,155805724.8,160418223.2,161274939.0,253491710.7,,,,,Civil Bank
interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,2372978.0,3528870.0,4744599.0,1087063.0,2226787.0,3384674.0,4626793.0,1149115.0,2371728.0,3596250.0,4974339.0,1334006.0,2865154.0,4692774.0,6936742.0,2137024.0,4506780.0,6871036.0,9630075.0,2811404.0,5572143.0,2979258.613,3084971.678,3146490.296,3030662.471,3076757.231,2867639.182,2775235.002,2368442.048,2515028.9,2725758.074,2950864.75,3535167.328,4714544.729,5501644.878,5676937.291,5651742.308,8088334.864,,,,,Civil Bank
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,1195824.0,1733624.0,2248798.0,496686.0,970284.0,1450691.0,1956513.0,451865.0,816326.0,1152812.0,1565896.0,507824.0,1060478.0,1923181.0,3173334.0,1361566.0,2637273.0,3960452.0,5403047.0,1498599.0,3078705.0,1719260.589,1796059.933,1823558.193,1769285.515,1807846.711,1945741.303,1831626.557,1543701.093,1558772.133,1642616.701,1833816.518,2723564.558,3262460.227,3732211.626,3862527.716,3802747.963,5209149.293,,,,,Civil Bank
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,1177154.0,1795246.0,2495801.0,590377.0,1256503.0,1933983.0,2670280.0,697250.0,1555402.0,2443438.0,3408443.0,826182.0,1804676.0,2769593.0,3763408.0,775458.0,1869507.0,2910584.0,4227028.0,1312805.0,2493438.0,1259998.024,1288911.745,1322932.103,1261376.956,1268910.52,921897.879,943608.445,824740.955,956256.767,1083141.373,1117048.232,811602.77,1452084.502,1769433.252,1814409.575,1848994.345,2879185.571,,,,,Civil Bank
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,297504.0,456148.0,657823.0,172899.0,363718.0,548599.0,710744.0,145779.0,298199.0,472361.0,594296.0,162236.0,340884.0,484567.0,713468.0,148240.0,309739.0,474033.0,693151.0,186871.0,359343.0,142265.895,252290.914,176465.435,200516.575,145339.742,164440.439,156240.728,137037.122,204282.591,211958.863,202202.778,213187.249,211840.567,287748.468,223019.117,205758.814,210925.758,,,,,Civil Bank
total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,1784424.0,2678746.0,3745176.0,896089.0,1901794.0,2942825.0,4056196.0,1028419.0,2238233.0,3508424.0,4722705.0,1168716.0,2516309.0,3778046.0,5216016.0,1111052.0,2610219.0,3960576.0,5753569.0,1759217.0,3309410.0,1598081.43,1782030.164,1713623.876,1667417.46,1600956.93,1391601.54,1279218.463,1113463.964,1369306.738,3426847.017,1521215.666,1206030.959,1829281.675,2237559.59,2180228.592,2170458.04,3204444.127,,,,,Civil Bank
staff expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,317792.0,480054.0,713823.0,183209.0,360822.0,609677.0,910246.0,208757.0,411762.0,644656.0,908344.0,240855.0,475988.0,750954.0,1058219.0,257985.0,510222.0,829689.0,1057831.0,377412.0,753644.0,416753.107,415293.787,414728.925,454609.917,416425.339,358472.37,375681.39,370249.542,425097.873,693585.411,413475.15,342469.176,381953.378,493359.455,419112.561,429150.813,679770.035,,,,,Civil Bank
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,853538.0,1226464.0,1786913.0,415013.0,916988.0,1385819.0,665491.0,506476.0,1261775.0,2055544.0,2990680.0,684369.0,1609071.0,2397244.0,2491178.0,445324.0,1404656.0,2126360.0,2656851.0,926230.0,1950402.0,915073.379,1161787.761,990587.027,1127126.337,969418.653,262152.538,519558.651,476852.422,895621.041,2209787.905,652649.08,417563.711,935954.048,1542353.341,796312.053,603730.911,1131292.141,,,,,Civil Bank
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,14653.0,15033.0,,1786.0,18201.0,23209.0,208.0,9580.0,21460.0,22276.0,119.0,928.0,5895.0,26807.0,223.0,45293.0,47179.0,69981.0,1950.0,1950.0,3883.421,24964.005,1458.507,229985.731,-149502.928,64554.849,2404.484,-44761.479,4952.821,322970.88,-814.305,840.516,-8771.777,451968.17,-28686.922,3291.99,700.0,,,,,Civil Bank
