,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"596,489","1,386,612","2,202,975","3,316,459","699,190","1,810,363","2,907,696","4,691,265","1,174,379","2,546,314",4073426,"5,833,902","1,394,026","2,940,329","4,592,488","6,429,360","337,309","1,331,899",1558006.45,1453876.389,1328262.344,1416817.366,1473166.992,1400701.241,1481592.585,1489806.203,1742669.326,1746567.995,1659017.367,1365913.023,1706122.862,2153708.07,1907195.935,1941678.526,2642250.585,,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,143","100,044","160,719",257577,"52,417","129,480","185,343",254453,"63,993","183,541",259935,376106,"206,163","353,510","652,737",763905,"501,701","546,819",141954.845,256232.016,160233.911,203949.057,141084.384,201193.08,181907.633,175086.609,235656.2,295605.026,272700.116,214085.399,192341.871,203446.89,220197.22,181659.302,226936.364,,,,
total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"741,848","1,596,063","2,506,577",3920602,"861,101","2,144,629","3,363,405",5384254,"1,364,107","2,995,669",4718358,6746156,"1,742,441","3,561,829","5,661,665",7710133,"1,443,053","3,994,362",1828270.902,1866016.282,1622408.818,1771574.223,1844591.795,1869377.382,1804198.497,1840383.805,2354908.42,2228081.19,2078214.378,1730281.121,1992971.606,2480111.001,2156989.228,2255017.631,2974611.783,,,,
staff expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"444,936","952,022","1,704,405","2,437,221","472,767","1,043,125","1,525,902","2,182,252","540,894","1,125,391",1680211,"2,356,203","612,360","1,220,199","1,772,620","2,464,887","517,856","1,224,590",671513.2,218141.165,679980.133,440753.561,559809.095,488825.615,656259.595,578136.723,598127.932,493196.213,751206.676,548128.41,519048.311,706202.641,876568.128,927784.162,1025530.376,,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,364","139,757","31,310",455629,"136,445","643,664","1,221,652",2211816,"479,016","1,383,829",2200631,3209880,"728,223","1,779,156","3,117,837",4213696,"1,281,314","2,312,491",810871.594,1425267.682,610461.609,1124180.053,915869.015,839731.147,778923.807,1267299.048,1393143.963,1054057.326,950085.629,685251.043,977444.806,1498229.695,794029.353,720555.941,707032.23,,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,094","222,888","230,916","513,201","10,734","438,063","782,515","1,735,412","1,189,443","1,193,213",1243568,"1,248,913","473,014","494,928","507,899","522,432","24,235","61,078",14598.364,3990.903,75579.009,134974.877,18953.729,46303.211,2414.803,27032.472,128455.991,67105.922,8139.151,42480.384,1074.226,167633.538,1126.837,9475.164,5600.737,,,,
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269,199","387,461","360,658",526122,"444,366","1,048,189","1,642,750",3018782,"1,166,084","1,895,076",2515852,3219560,"971,318","1,638,459","2,567,728","3,399,718","979,175","1,576,875",584078.639,366404.041,581823.651,770573.212,644186.288,483665.569,550419.393,800003.708,911854.209,803180.391,754855.918,662202.917,775872.982,1073153.198,604098.054,566557.37,611674.574,,,,
capital fund to rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28%,4.78%,4.58%,7.80%,7.83%,9.11%,9.55%,11.41%,12.12%,12.21%,13.52,15.61%,16.59%,16.41%,18.02%,17.60%,23.92%,15.98%,17.02%,17.41%,18.01%,17.41%,15.90%,16.68%,17.03%,16.13%,13.67%,17.91%,16.42%,15.39%,15.17%,15.04%,15.43%,14.35%,13.89%,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,4.62,4.48,3.95,3.82,3.85,3.67,2.72,3.1,2.85,2.85,3.17,3.42,3.23,2.91,2.9,2.78,2.74,2.71%,2.58,2.75,2.66,2.64,2.59,3.02%,2.88%,2.29%,2.10%,2.00%,1.91%,2.06%,1.90%,2.36%,3.11%,4.16%,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.22,109.13,105.2,109.8,111.39,111.76,111.87,115.49,107.28,109.02,110.48,109,99.27,102.81,108.77,105.99,123.07,114.05,118.30%,115.95%,111.73%,114.61%,119.46%,123.52%,112.77%,109.57%,124.80%,137.29%,141.18%,142.83%,133.96%,139.76%,120.85%,102.52%,88.10%,,,,
cost of fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49%,3.27%,3.27%,2.33%,2.36%,2.16%,2.11%,1.98%,1.88%,1.96%,1.91,1.97%,2.77%,2.94%,2.97%,2.99%,3.84%,3.58%,4.11,5.5,5.22,5.19,4.91,4.19,3.97,3.57,3.42,3.56,4.22,5.52,5.79,5.94,6.92,8.31,7.19,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.27%,7.10%,7.86%,7.21%,6.79%,6.35%,6.27%,6.13%,6.00%,6.32%,5.93,6.29%,6.90%,6.93%,7.11%,7.03%,7.52%,6.06%,6.92%,7.98%,7.84%,7.82%,7.49%,6.99%,6.81%,6.19%,5.98%,5.73%,5.93%,6.92%,8.19%,7.99%,8.92%,9.90%,9.92%,,,,
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36%,4.17%,4.91%,4.89%,4.91%,4.85%,4.87%,4.89%,4.94%,4.97%,4.96,4.98%,4.97%,4.98%,4.99%,4.99%,,4.99,5.5,4.45,4.47,4.44,4.49,3.7,4.38,4.39,4.37,4.34,3.69,2.91,3.39,4.08,3.66,4.26,4.1,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,297,297,336,345,277,251,249,324,366,459,443,484,381,325,298,296.8,293,260.8,,,,
return on equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.92%,19.69%,12.92%,13.88%,43.40%,45.38%,41.97%,56.53%,75.53%,55.39%,46.52,35.25%,31.90%,26.70%,26.88%,25.86%,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,0.97,0.58,0.61,2.06,2.29,2.15,2.79,4.17,3.57,3.16,2.86,3.21,2.9,3,2.81,2.64,2.27,2.03,1.57,1.49,1.65,1.57,1.34,1.13,1.3,1.43,1.38,1.3,1.18,1.19,1.37,0.96,0.89,0.85,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.40%,61.87%,68.75%,65.38%,65.05%,64.97%,68.08,66.16,70.28,75.89,79.16,70.79,69.84,75.3,76.48,69.63,71.09%,71.47%,74.32%,70.17%,68.63%,74.93%,73.65%,65.78%,66.54%,69.49%,75.55%,74.34%,86.23%,89.62%,90.36%,87.57%,85.14%,82.12%,77.74%,,,,
