,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,118","1,443,053","3,994,362","1,828,270,902","1,866,016,282","1,622,408,818","1,771,574,223","1,844,591,795","1,869,377,382","1,804,198,497","1,840,383,805","2,354,908,420","2,228,081,190","2,078,214,378","1,730,281,121","1,992,971,606","2,480,111,001","2,156,989,228","2,255,017,631","2,974,611,783",,,,
staff expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"444,936","952,022","1,704,405","2,437,221","472,767","1,043,125","1,525,902","2,182,252","540,894","1,125,391",,"2,356,203","612,360","1,220,199","1,772,620","2,464,887",,,"671,513,200","218,141,165","679,980,133","440,753,561","559,809,095","488,825,615","656,259,595","578,136,723","598,127,932","493,196,213","751,206,676","548,128,410","519,048,311","706,202,641","876,568,128","927,784,162","1,025,530,376",,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"810,871,594","1,425,267,682","610,461,609","1,124,180,053","915,869,015","839,731,147","778,923,807","1,267,299,048","1,393,143,963","1,054,057,326","950,085,629","685,251,043","977,444,806","1,498,229,695","794,029,353","720,555,941","707,032,230",,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,399,718",,,,,,,,,,,,,,,,,,,,,,,
capital fund to rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28%,4.78%,4.58%,7.80%,7.83%,9.11%,9.55%,11.41%,12.12%,12.21%,,15.61%,16.59%,16.41%,18.02%,17.60%,23.92%,15.98%,17.02%,17.41%,18.01%,17.41%,15.90%,16.68%,17.03%,16.13%,13.67%,17.91%,16.42%,15.39%,15.17%,15.04%,15.43%,14.35%,13.89%,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71%,,,,,,3.02%,2.88%,2.29%,2.10%,2.00%,1.91%,2.06%,1.90%,2.36%,3.11%,4.16%,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49%,3.27%,3.27%,2.33%,2.36%,2.16%,2.11%,1.98%,1.88%,1.96%,,1.97%,2.77%,2.94%,2.97%,2.99%,3.84%,3.58%,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.27%,7.10%,7.86%,7.21%,6.79%,6.35%,6.27%,6.13%,6.00%,6.32%,,6.29%,6.90%,6.93%,7.11%,7.03%,7.52%,6.06%,6.92%,7.98%,7.84%,7.82%,7.49%,6.99%,6.81%,6.19%,5.98%,5.73%,5.93%,6.92%,8.19%,7.99%,8.92%,9.90%,9.92%,,,,
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36%,4.17%,4.91%,4.89%,4.91%,4.85%,4.87%,4.89%,4.94%,4.97%,,4.98%,4.97%,4.98%,4.99%,4.99%,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.92%,19.69%,12.92%,13.88%,43.40%,45.38%,41.97%,56.53%,75.53%,55.39%,,35.25%,31.90%,26.70%,26.88%,25.86%,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.40%,61.87%,68.75%,65.38%,65.05%,64.97%,,,,,,,,,,,71.09%,71.47%,74.32%,70.17%,68.63%,74.93%,73.65%,65.78%,66.54%,69.49%,75.55%,74.34%,86.23%,89.62%,90.36%,87.57%,85.14%,82.12%,77.74%,,,,
