,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
net interest income,,,,,,,,,,43860,"93,787",155646,"216,228",58223,127384,238300,"355,059",100574,185735,286589,"418,584","138,623",296083,465498,"655,532","167,551","362,785","579,121","818,718","244,992",531621,821793,"1,139,390","124,435","736,728",1208621,"1,722,885","534,392",1093085,1699851,2294500,"601,732",1344638,"2,094,257",2939055,982618,,1012396.714,1186194.767,1150340.645,1027460.07,1079184.84,977124.382,980511.509,1021915.274,1280122.75,1253357.738,1164228.526,1028337.464,1183944.041,1418896.543,1607417.142,1621249.5,1741763.669,,,,
net fee and commission income,,,,,,,,,,386,,2315,3908,1308,2259,3613,5534,2337,5142,8661,12447,"4,184",8945,15036,"23,668",8508,17056,29012,40458,12276,24590,38307,"53,493",17728,"37,359",59204,88543,29969,67802,103688,154931,38841,85260,128203,185958,232710,,178928.063,164604.006,194597.759,180070.252,190653.801,86394.919,207769.233,257043.116,250080.099,173633.118,251896.142,249361.53,219499.006,222811.219,241041.001,193554.864,211245.734,,,,
total operating income,,,,,,,,,,"58,535","118,787",186446,"256,483",69909,145720,270068,"394,972",107380,204185,321528,"474,281","172,887","356,700",555822,"777,889","228,517","493,756","780,634","1,091,503","342,946","720,652",1099078,"1,503,363","429,563","955,252",1542756,"2,207,262","692,140",1416623,2159192,"2,947,005","835,109",1838910,"2,820,998","3,926,654",1337217,,1295231.547,1466137.794,1464464.39,1347961.7,1369822.539,1120362.708,1283548.905,1476985.189,1681339.902,1517772.494,1619465.031,1378900.503,1488658.058,1694091.428,1947214.544,1938426.479,1976939.481,,,,
staff expenses,,,,,,,,,,"9,104","17,417",28711,"41,791",14041,26468,40675,"55,836",19845,37635,57752,"79,571","29,523","53,498",76698,"99,776","38,988","70,994","101,447","134,381","49,200","94,353",138490,"182,321","66,428","125,093",184604,"259,435","86,428",165289,258051,"345,159","127,065",237634,"382,078","540,365",305051,,270245.966,337439.352,374758.375,254555.376,326105.066,310334.4,328737.494,354411.103,389955.277,393880.332,390212.15,410180.222,441978.535,439315.024,429560.074,480360.609,437604.33,,,,
operating profit,,,,,,,,,,28264,"59,321",94869,136376,33260,67999,149472,241087,47696,93093,123218,194362,"77,279",184376,313090,"459,197",134379,299264,496047,695553,203205,432386,659050,"934,318",266796,"627,061",1027820,1476689,446400,958891,1477189,2042014,499194,1253403,1866564,2609127,753204,,858278.115,986153.293,809827.95,800756.686,676123.259,130970.523,570310.908,996278.249,1184595.962,624935.124,770524.897,728000.781,737862.321,1016206.202,747014.035,1084701.391,673613.958,,,,
non operating income expense,,,,,,,,,,-,-,-,34,-,324,300,348,-,11,54,678,541,"1,180",1922,"2,571",637,"6,483","8,182","13,082","1,935","3,453",4632,"7,377","9,261","4,368",8733,"154,295","22,000",15133,42494,"45,929","29,595",28555,"22,706","25,612",432,,46.235,-4682.435,447.229,-140.033,-707.909,42.475,5.595,33.429,672.005,-2434.76,-471.146,13116.72,-4343.482,389.032,257.305,-483.857,-50352.937,,,,
profit for the period,,,,,,,,,,17985,"37,750",60372,85086,21166,43421,95309,154518,30352,59139,78336,120985,"54,244",130528,211542,"304,950",86309,194367,320823,453878,130925,278174,423212,"604,196",176844,"408,025",670416,1049675,270543,622555,42494,1329381,344391,828387,1215590,1693663,527545,,599883.643,684555.958,567192.625,561592.741,472790.907,90215.448,399221.552,700185.182,827478.938,433001.089,539037.688,519971.37,513466.899,713997.465,521956.544,759610.984,437024.853,,,,
capital fund to rwa,,,,,,,,,,20.34,17.99%,18.89,17.64,15.35,14.08,29.37,30.51,29.82,28.26,24.57,21.8,16.95,16.27,15.23,15,14,13.94,13.21,12.55,11.72,11.03,10.65,11.19,11.72,11.26,11.12,12.65,12.45,13.12,13.42,15.74,13.85,13.42,13.46,12.91,12.49,,13.3,13.11,12.61,12.78,12.46,12.97,12.54,15.04,13.99,13.54,13.45,13.28,13.51,13.75,13.03,13.39,13.45,,,,
non performing loan to total loan,,,,,,,,,,0.2,0.12,0.11,0.08,0.07,0.06,0.05,0.004,0.97,0.63,0.87,0.48,0.47,0.19,0.06,0.03,0.09,0.1,0.05,0.02,0.05,0.04,0.1,0.07,0.05,0.05,0.12,0.02,0.05,0.01,0.04,0.01,0.14,0.03,0.17,0.03,0.08,,0.12,0.08,0.24,0.41,0.36,0.48,0.4,0.58,0.21,0.16,0.11,0.31,0.38,0.35,0.91,0.77,2.27,,,,
total loan loss provision to npl,,,,,,,,,,557.54,927.76,1068.79,1233.12,1465.07,1895.61,2131.54,22587.9,128.49,189.13,147.41,237.92,243.15,559.38,1848.95,3750.43,"1,147.13","1,046.30","1,977.81","5,832.14","2,322.48","2,705.74","1,306.81",1533.19,"2,456.41","2,304.23",912.7,"5,982.92","2,067.80","11,201.06",2938.08,"11,578.19",831.91,"4,181.94",689.32,4082.07,1536.63,,1094.49,1544.8,551.97,335.62,417.55,425.19,527.32,321.63,753.84,1103.58,1609.91,531.7,437.71,465.33,206.39,252.54,103.3,,,,
cost of fund,,,,,,,,,,,7.42%,7.78,9.38,9.6,10.01,10.35,10.48,10.08,9.61,10.38,9.91,7.88,7.67,7.45,7.24,7.06,6.91,6.57,6.29,5.2,4.93,4.96,5.02,4.65,4.18,3.91,3.83,3.77,4.09,4.68,5.35,7.43,7.24,7.32,7.42,7.43,,7.29,7.39,7.72,7.33,7.29,6.66,5.99,5.16,4.71,4.75,5.84,6.41,7.26,7.63,8.47,8.92,8.7,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,10.36,10.1,10.04,9.73,9.54,8.4,8.22,7.85,7.19,7.62,7.5,7.85,6.19,5.58,6.07,6.28,7.2,9.11,10.2,10.27,9.71,10.63,10.66,10.55,,9.31,9.45,9.21,9.29,9.25,8.62,7.73,6.83,6.23,6.34,7.45,8.08,9,9.71,10.5,10.86,10.63,,,,
net interest spread,,,,,,,,,,,,,,,,,,2.39,2.6,3.55,3.57,4.6,4.09,3.99,3.85,4.43,4.12,4.1,4.35,4.57,4.61,3.81,3.91,4.18,4.47,4.95,4.4,4.08,4.12,4.61,3.97,3.93,4.18,4.05,4.66,4.44,,4.64,4.35,4.44,4.17,5.08,3.47,3.61,4.21,4.07,3.73,2.69,2.91,3.2,3.86,3.91,4.39,4.2,,,,
market share price,,,,,,,,,,,,,,,,,,,,160,225,188,276,277,260,265,524,467,638,490,539,558,555,672,670,806,750,652,539,476,431,347,340,358,324,335,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,,5.54,5.45,4.8,5.4,9.75,11.58,12.13,12.53,13.35,14.81,15.68,15.77,17.33,17.93,17.5,17.58,19.24,21.32,22.02,23.36,16.94,18.51,18.03,14.35,14.22,16.64,15.77,15.76,18.01,,21.95,23.36,20,20.34,19.41,15.27,12.2,17.57,20.56,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,1.29,1.22,0.92,0.88,1.36,1.5,1.39,1.39,1.53,1.66,1.73,1.54,1.53,1.57,1.46,1.5,1.6,1.81,1.81,1.86,1.78,2.01,2.02,1.86,1.75,2.02,1.88,1.84,2.07,,2.06,2.07,1.93,1.88,1.73,1.34,1.19,1.64,1.73,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,83.86,79.14,80.39,83.38,79.71,75.41,70.83,72.72,75.05,72.19,77.42,79.34,78.47,73.94,73.24,78.38,78.96,75.2,77.66,78.18,77.75,76.1,79.13,78.01,77.66,76.07,79.26,18.62,75.17,72.04,79.17,78.99,18.18,76.99,79.14,,78.58,77.91,78.84,78.05,78.64,74.72,78.23,81.6,82.73,82.31,85.25,86.85,87.22,86.36,86.11,83.03,82.29,,,,
