Particulars,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079
total operating income,"977,506","2,006,809","3,087,717","4,205,394","985,817","2,324,680","3,806,098","5,486,787","1,605,019","3,335,508","5,007,125","6,885,567","1,818,380","3,745,786","5,699,489","7,864,642",2231289,"4,452,795","2,098,357","1,943,010","2,137,161","2,119,389","2,111,195","1,805,960","2,148,953","1,866,993","2,316,251","2,374,514","2,070,474","1,765,374","2,016,391","3,690,204","2,755,007"
staff expenses,"111,322","223,905","337,228","492,081","124,072","250,115","378,570","589,760","151,293","305,239","457,330","701,960","201,090","403,389","611,716","937,625",414274,816160,"345,481","432,229","394,356","393,474","395,210","293,554","352,275","426,838","479,821","525,372","449,442","420,580","442,353","694,890","517,213"
operating profit,"535,815","1,151,677","1,839,560","2,562,858","586,081","1,458,659","2,480,521","3,770,025","1,131,762","2,405,634","3,581,877","4,997,712","1,241,036","2,484,784","3,800,119","4,757,016",1532069,2867393,"858,047","573,300","1,167,773","1,196,178","1,206,320","104,148","921,407","1,428,340","1,851,647","1,193,399","1,310,926","1,125,530","1,235,915","3,135,300","1,650,467"
non operating income expense,"1,361","1,361","17,934","15,592","4,056","10,825","14,495","19,433","41,886","53,635","73,605","80,005","91,140","101,400","113,849","18,695",-,-,"23,528",416066,"13,806",1633,"13,873",-684,-42,"-55,776","25,720","93,009","21,815",-75749,"20,656",-800899,"34,488"
profit for the period,"488,412","965,427","1,531,420","1,974,541","429,777","1,091,323","1,862,552","2,598,840","770,146","1,640,294","2,377,699","3,296,980","911,396","1,856,639","2,868,649","3,624,838",1069734,1990064,"620,529","919,857","813,446","840,199","859,023","103,056","644,943","946,379","1,320,810","942,515","919,456","738,212","885,797","1,645,992","1,189,806"
capital fund to rwa,12.00%,11.92%,11.88%,11.99%,11.31%,11.69%,16.12%,16.19%,13.93%,14.28%,13.78%,14.47%,12.78%,13.07%,13.25%,13.34%,13.02,11.9,11.97,13.65,13.17,13.37,12.59,13.23,12.63,13.98,14.78,14.64,14.52,14.5,14.79,15.99,15.44
non performing loan to total loan,1.55,1.13,1.28,1.25,1.07,1.1,0.78,0.68,0.71,0.7,0.64,0.83,1.04,1.12,0.76,1.03%,1.21,2.04,3.04,2.78,2.84,2.9,2.67,2.91,2.8,2.75,2.32,2.46,2.27,20.6,2.2,1.47,1.57
total loan loss provision to npl,150.41,199.81,162.66,173.96,192.25,180.32,234.71,261.17,250.21,252.56,266.86,223.71,191.98,176.28,244.93,196.79%,168.23,116.17,93.18,118.86,121.09,121.97,134.18,150.08,166.45,167.18,168.34,165.59,174.61,185.11,174.7,211.72,196.48
cost of fund,3.69%,3.60%,3.67%,3.63%,3.49%,3.16%,2.65%,2.76%,2.89%,3.53%,4.55,5.84%,6.08%,6.21%,6.35,6.31,6.27,6.59,6.48,6.31,6.34,6.37,6.38,5.85,5.48,4.69,4.31,4.04,2.59,5.84,6.64,7.06,7.68
base rate,6.49%,6.07%,6.16%,6.54%,5.83%,5.45%,4.80%,5.08%,5.22%,5.69%,6.89%,8.36%,8.91%,9.00%,9.12%,9.02%,9.03,8.96,8.54,8.33,8.48,8.53,8.53,7.51,7.34,6.56,5.95,5.74,6.09,7.21,8.06,8.54,9.18
net interest spread,4.52,4.54,4.5,4.46,4.57,4.43,4.96,4.45,4.37,4.46,4.88,3.9,4.32,4.05,4.28,4.59,4.53,4.24,4.24,4.38,4.36,4.41,4.18,3.99,4.14,4.14,3.57,3.33,4.89,2.69,3.27,4,3.38
market share price,,,,,,,,,,,,,,,,621,646,549,549,,,,373,431,414,485,466,460,460,460,460,265,265
return on equity,23.20%,21.70%,21.57%,19.93%,16.77%,20.00%,14.49%,14.54%,18.01%,18.22%,17.43,15.55%,18.46%,17.95%,17.61,16.13,16.18,16.11,,,,,,,,,,,,,,,
return on total assets,2.18,2.05,2.13,1.8,1.54,1.91,1.62,1.98,2.12,2.29,2.22,2.13,2.25,2.34,2.35,2.1,2.43,2.27,,,,,,,,,,,,,,,
credit to deposit ratio,78.1,75.92,77.42,72.76,74.63,76.67,70.05,75.74,78.69,78.03,69.17,77.63,75.92,78.47,78.03,75.01%,77.25,76.43,76.19,72.97,75.62,75.39,75.35,72.93,73.68,74.07,79.05,75.12,95.37,95.69,92.43,85.14,86.12
