Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,333,182","51,757,678",,,"60,042,834","66,643,907","67,583,586","68,735,591","69,591,181",,,,"85,690,415",,,,,,,,,,,,,,,,,,,,,,,
Cash & Bank Balance,,,,,,,,,,"1,835,640","2,286,602",,"2,459,717","2,470,571","2,323,133","2,168,034","2,207,561","2,850,428","3,079,236","3,451,868","5,440,360",,,"3,642,676","5,044,181","5,110,688","5,401,613","6,306,175","6,546,046","5,890,952","5,299,919","6,430,169","8,387,445","7,119,391","6,242,546","6,933,634","7,997,353","8,684,705","7,226,897","8,344,260","9,676,312","8,353,999","7,082,059",,"7,805,425",,,,,,,,,,,,,,,,,,,,,,,
Money at Call & Short Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,479,041","4,523,504",,,"6,007,962","6,129,654","6,384,757","5,098,598","6,132,981",,,,"7,859,023",,,"1,073,260,624","3,904,253,403","407,724,184",",",",",",",",",",",",",",",",",",",",",",",",",",",",",,,,
Loans and Advances ,,,,,,,,,,,"15,386,502",,"14,972,534","15,465,117","15,857,339","15,618,282","14,731,040","13,830,498","13,773,921","13,631,491",,,,"20,069,529","21,648,499",,"25,270,092",,,,,"35,098,975","34,819,452","36,967,816","37,389,421","40,816,697","44,234,232","49,874,341","51,853,541","53,058,958","51,866,770","54,421,881","60,265,569",,"64,365,665",,,"10,505,000,765","13,085,321,841","8,610,745,903",,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,,,,,,,,,,,"2,625,414",,,"2,691,329","2,300,212","2,411,300","2,447,570",,,,,"2,178,469","2,246,488","2,348,815","2,259,870","2,259,590","2,335,737","3,059,319","3,421,025","3,489,068","3,480,229","3,845,579","4,172,246",,"4,635,362",,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,"799,395","780,724",,,,,,,,,,,,,,,,,,,"318,180","361,700","471,440",,,"701,826","718,508","699,564",,,,"85,690,415",,,,,,,,,,,,,,,,,,,,,,,
Business Complex & Residential Apartment Construction Loan,,,,,,,,,,,,,,"480,873","501,389","535,269",,,,,"562,971",,,,,"628,750","631,506",,"517,426","454,585",,,"50,000","49,176","50,000",,"119,954","144,783",,"216,748","261,467",,"353,289",,"429,460",,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,"138,422",,"129,560","130,135","139,154","132,218",,,"496,119","493,553","506,640","622,432","577,469","495,261","501,202","489,381","481,577","687,520","688,324","690,080","586,360","368,708","297,402","368,681","362,177","354,001","618,550","607,030",,"501,161",,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase & Plotting),,,,,,,,,,,,,,,,,,,,,"1,943,304",,,,,"1,060,810","982,250",,"1,034,199","1,042,135",,,"1,207,938","1,293,135","1,158,090","1,201,790","1,370,815","1,971,908","2,143,507","2,191,635","2,165,198",,"2,374,744",,"2,821,492",,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,,,,,,,,,"128,662",,,"97,240","108,527",,,,,,,,"124,519","126,166","125,587","81,680","65,751","31,801","34,476","36,420","121,132","229,608","384,338",,"228,728",,,,,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,811,057",,,,,,"5,668,592","6,091,862",,,,"9,125,192",,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,791,687",,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"638,743","649,631",,,"647,218","657,390","660,712","669,324","628,142",,,,"800,764",,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,"4,500",,,,,,,,"6,000","6,000","7,192",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,930,433",,,,
Other Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,008,501","2,497,336",,,"1,156,069","1,297,817","1,457,680","1,564,450","1,286,975",,,,"1,947,524",,,"657,538,566","75,820,218","135,221,487",,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,080,188",,,,,,0.45%,0.45%,0.54%,0.42%,0.76%,0.51%,0.62%,0.50%,0.57%,0.87%,0.84%,1.30%,1.41%,2.37%,,,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,090,181","824,707",,"2,525,891","3,495,353","1,023,443","2,197,855","3,581,498","5,116,209",,,,"7,757,329",,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,,,,,,,,,,,,,,"1,485,592",,,,,,,,"1,753,136","444,802","844,766","1,215,269","1,637,980","488,171","1,076,766","1,829,887","2,791,035","1,103,632","2,305,079",,"2,821,492",,,,,............................................................................................................,............................................................................................................,.......................................................................................................,...........................................................................................................,.......................................................................................................,.......................................................................................................,.......................................................................................................,.......................................................................................................,.......................................................................................................,.......................................................................................................,.......................................................................................................,.......................................................................................................,.......................................................................................................,.......................................................................................................,.......................................................................................................,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,"125,222","264,954",,,"109,404","225,323","374,858","535,578","104,061","151,101","205,274",,,,"661,509",9,"210,487","489,940",,,,,"1,011,838","1,337,045","379,904","821,148","1,310,623","1,857,373","535,271","1,121,089","1,751,611","2,325,174","612,136","1,066,486",,"2,730,773","842,583",,,,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,"107,751","150,768","29,512","51,964",,,,,"58,545","183,863","14,876","47,599","75,669","231,930","87,474","180,765","233,028","309,055","73,915","167,398",,"175,741","93,145",,,,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,,,,,,,,,,,,"51,744",,,"21,061","35,314","8,987","13,829","29,000","45,798","16,387","41,154","67,738","90,097","33,306","56,613","84,626","116,511","35,123","63,982","102,289","133,253","38,398","77,576",,"172,548",,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,,,,,,,,,,"167,237","346,382",,"699,676","147,345","307,188","486,612","690,600","141,910","226,781","320,843",,,,"828,043","1,179,314","264,641","616,403",,,,,"1,273,874","1,702,630","472,479","1,006,207","1,599,779","2,298,112","683,845","1,418,380","2,178,077","2,890,223","755,737","1,378,429",,"3,346,014","1,124,488",,,,,,,,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"356,981","107,632",,,"469,881","132,076","245,321","368,544","499,067",,,,"681,650",,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"381,316",,,,"412,916",,,,,,,,,,,,"519,444","172,170",,,,,,,,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,,,,"85,505","183,736",,"328,489","33,493","100,191","175,796","252,025","34,613","5,806","4,462",,,,"401,906",5,"110,190","317,806",,,,,"765,445","932,733","282,275","624,701","971,236","1,396,691","448,118","956,614","1,476,262","1,916,124","492,749","828,334",,"2,055,465",,,,,,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,556,211",,,,
"Operating Profit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,24,,300,,"1,411","1,389",,,,,,,,,"12,541",,"19,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,,,,,,,,"30,839","31,694",42,,"117,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,,,,,,,,,,"75,181","163,391",,"191,544","14,787","109,435","171,816","698,494","69,688","67,248","68,654",,,,"154,479",4,"91,262","305,174",,,,,"688,042","979,173","272,053","625,030","975,300","1,418,179","371,565","887,558","1,561,592","2,034,890","442,514","742,527",,"1,926,007",,,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,532,,,"9,670","9,970","104,008","155,508",,"58,142","58,144","58,143","402,410",,,,"187,957",,,"16,288","63,496","0,078",,,"5,770","5,770","9,705",,,"16,500",,,,,,,"1,672",,,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,927,679",,,,,,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,,,,,,,"6,835","14,854",,"18,292","1,344",493,"1,482","1,177","1,050","0,828",956,,,,,"21,149",,,,,,,,,,,,,,,,,,,,"175,244",,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,210,679",,,,,,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",775,962",,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,10.79,10.92,,11.18%,10.58%,10.69%,10.73,10.92%,11.68%,11.43%,11.51%,14.61,,,1,12.66,12.13,11.43%,10.66%,10.38%,11.01%,10.43%,11.12%,12.47%,12.57%,12.59%,12.49%,12.23%,11.29%,13.81%,16.30%,17.48%,16.63%,15.67%,,15.60%,,,,,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Yield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08%,6.85%,,,8.02%,7.80%,9.02%,10.35%,11.48%,,,,12.69%,,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68%,4.42%,,,3.44%,3.75%,3.79%,4.26%,4.82%,,,,7.61%,,,,,,7.64%,7.35%,6.71%,6.15%,5.54%,5.10%,5.29%,5.66%,6.78%,7.56%,7.75%,8.42%,8.84%,8.60%,,,,
Net Interest Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.13%,78.92%,77.64%,,,,78.72%,77.65%,73.81%,76.94%,78.53%,80.39%,80.12%,88.10%,88.21%,89.13%,86.16%,86.44%,85.18%,81.87%,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share(Annualized),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.14,,,,,,,,,,,,,16.41,,,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,378.00,320.00,,282.00,275.00,201.00,130.00,130.00,115.00,107.00,107.00,107.00,,,228.00,203.00,244.00,368.00,475.00,576.00,485.00,559.00,567.00,596.00,540.00,540.00,540.00,680.00,830,402,447,360,329,273,,209,,,,,,,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,,,,,,,,116.86,22.76,,32.58,356.64,236.76,152.88,256.72,6,150.26,195.22,245.23,,,5,33.99,22.43,22.35,27.78,31.68,17.68,22.55,26.82,28.67,,,,29.47,39.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.67%,,,,,25.26%,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Net Assets (Annualized),,,,,,,,,,0.25,,,0.80%,0.06%,,0.06%,,0.15%,2.82%,,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity(Annualized),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.91%,20.25%,17.68%,16.23%,16.04%,14.27%,12.13%,9.93%,,11.82%,,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.06%,,,,,,10.26%,9.97%,9.21%,8.31%,7.56%,7.09%,7.26%,7.63%,8.79%,9.63%,9.93%,10.36%,11.39%,11.31%,,,,
